Sentence_id,Text,class_label
1359350943356174336,"India's gift of 100,000 COVID-19 vaccines arrived Barbados earlier today. This was a very special moment for all Barbadians and I want to thank Prime Minister Modi for his quick, decisive, and magnanimous action in allowing us to be the beneficiary of these vaccines. [URL]",No
1370008076489789440,"As part of the ongoing nationwide vaccination rollout that has seen more than 230,000 people vaccinated, President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital. [URL]",No
1367726730044207104,"Pleased to receive 50,000 doses of Covid-19 vaccines from India this morning. Govt of Rwanda is grateful to the Govt of India and other partner countries for their valuable contribution to the fight against COVID19 [USER]",No
1369888483414712320,Four former presidents have banded together for two national ad campaigns released Thursday designed to drive trust in COVID-19 vaccines — and they're all pictured getting inoculated against the virus [URL],No
1368585187500691712,"WSJ: All three of Russia's main intelligence services (SVR, FSB, and GRU) ran fake news sites and phony social media accounts to spread misinformation about Pfeizer and Moderna vaccines in an attempt to undermine confidence in them. [URL] via [USER]",Yes
1368249497734713088,Joel Embiid will donate his $100K ASW earnings to three homeless shelters in Philly to help provide: -Meals -Clothing items -Treatment and care for those who get COVID-19 vaccines -Funds for a summer camp -Shelter for 300+ teens -Support for formerly homeless families [URL],No
1365324501475594240,“Action can be taken now to ensure that Canada can produce its own vaccines without the need to solely rely on international partners.” [USER] makes the case for [USER] Fitzhenry Vector Lab to produce COVID-19 vaccine doses for all Canadians. [URL],No
1350907284575043584,Those who falsely claim Vaccines are 100% safe and who laugh at anti-vaxxers will be dependent on those who refuse to tell the official lies to say that wide-spread vaccination *is* critical. 23 die in Norway after receiving COVID-19 vaccine: [URL] via [USER],Yes
1370453239309680640,"Additionally, beginning Monday, April 5, all Michiganders age 16+ who were not previously eligible will be eligible to receive a vaccine. This is exciting news, and I urge all eligible Michiganders to get one of the three safe and effective COVID-19 vaccines.",No
1367517694279393280,The EU and Italy have blocked AstraZeneca’s COVID-19 vaccine shipment destined for Australia after the drug manufacturer failed to deliver the doses it promised Europe. [URL],No
1367555102291148800,"This week, team [USER] administered some of the first Johnson & Johnson COVID-19 vaccines -- the only single-dose shot authorized by the FDA. We're working to ramp up its production because a third safe and effective vaccine means we can vaccinate more people more quickly. [URL]",No
1365385808316944384,"NC is ranked 1 in the US for vaccinations of adults over 65. Way to go NC! I am so proud of our vaccine providers across North Carolina, and the amazing team at [USER], for all their hard work getting vaccines into arms quickly and equitably.   [URL]",No
1367295604703994112,"All three vaccines authorized in the U.S. — made by Johnson & Johnson, Moderna, and Pfizer and BioNTech — greatly reduce the risk of getting Covid-19. They also have a high efficacy against more serious outcomes like hospitalization and death. See more: [URL]",No
1366074035348467712,"In simulations, “getting people vaccinated sooner with a lower efficacy vaccine prevented many more Covid-19 cases, hospitalizations and deaths compared to waiting even just a month for a higher efficacy vaccine.” [URL]",No
1364402806992568320,"The Navajo Nation has surpassed its goal of administering 100,000 COVID-19 vaccines by the end of February, a figure that represents over half of its residents. Our work to increase supply, increase places to get vaccinated, and increase vaccinators is making a difference.",No
1369998582435229696,"CVS has nearly doubled the number of states where its pharmacies are offering Covid-19 vaccinations through Biden’s federal retail pharmacy program, CVS said in a statement. It is now offering Covid-19 vaccines in 29 states and Puerto Rico.",No
1369512362873589504,"Alaska has become the first state to drop eligibility requirements for Covid-19 vaccines and allow anyone 16 or older who lives or works in the state to get a vaccine, Gov. Dunleavy says. [URL]",No
1370191018243465216,President Biden announced expanded anti-covid vaccines and that all adults will be eligible by May 1. My Cinco de Mayo birthday wish is now one shot vaccine and one shot tequila.,No
1365011945108176896,"The good news! Rating agency Moody's projects India to grow at 13.7% in FY2022, up from 10.8% estimated earlier. The revised numbers came on the back of normalisation of activity and growing confidence in the market with the rollout of Covid-19 vaccines. [URL]",No
1369788331232493568,"It was great to be in Sumterville today to announce a new drive-thru vaccination site which will provide 3,000 Johnson & Johnson vaccines to Floridians 65 and older over the next three days. SeniorsFirst. More here - [URL] [URL]",No
1369591200093732864,We have reached an agreement with BioNTech-Pfizer for the supply of four million more doses of COVID-19 vaccines for EU countries in the next two weeks. This will help tackle coronavirus hotspots and facilitate free border movement. StrongerTogether,No
1356605799766745088,"In 1956, Elvis was vaccinated backstage at [USER], inspiring thousands to get the polio vaccination. With COVID-19 vaccines becoming available and many American's uncertain, three former presidents are talking about following in his footsteps. [URL] [URL]",No
1369988744728616704,"India has provided over 481 lakh doses of Covid vaccines to various countries till March 4. Out of 481.06 lakh vaccine doses sent to various countries, 73.5 lakh doses have been supplied as grant assistance, 288.4 lakh on commercial basis and 119.16 lakh doses for COVAX.",No
1370046383458246912,WHOOPI RECEIVES COVID-19 VACCINE: Our [USER] tells us she received her first shot of the coronavirus vaccine and encourages others to do the same: “Get the shot!” Get more information on COVID-19 vaccines: [URL] [URL],No
1371118941460963328,"Vaccines are extremely effective at preventing severe Covid illness and death, but no vaccine is perfect. Continue masking up.",No
1368703552546308096,Russian intelligence agencies have mounted a campaign to undermine confidence in Pfizer Inc.’s and other Western vaccines... [URL],Yes
