Sentence_id,Text,class_label
8994,For a belief that law must be based on a higher law.,No
18013,We have a duty to protect our children and grandchildren.,No
14909,"We have demanded that the American people sacrifice, and they have done very well.",No
16389,"So let me repeat, I do have respect for my opponent, for his family, for the justifiable pride he takes in his heritage.",No
14362,For most of my time as governor a woman was my chief of staff.,Yes
3567,"Now, $18 billion is important; $300 billion is really important.",No
6865,"Now, we also have people sicker because they don't have health insurance.",No
24183,It's like having a blueprint for a house you never built.,No
15847,It's not much fun sometimes.,No
12876,India under a free society has been making some progress.,Yes
14453,We also want to say that insofar as is humanly possible the banking industry itself should pay for the cost of any bank failures; the taxpayers should not.,No
24271,"Every time our interest rates go up one percent, that adds 28 billion dollars to the deficit or to the debt.",Yes
8190,"Is it true that, as far as this country is concerned, in the field of electric power, in all of the fields that he has mentioned, we have not been moving ahead.",No
444,And I do believe it would be inhibiting.,No
20655,It's to make sure our troops are well-housed and well-equipped.,No
13145,"It may be a long period, but we must - we must get started immediately.",No
2471,That's already offered in the private marketplace.,Yes
32,But we have got to instill values in these young people.,No
29031,We have devoted ourselves to our children and now our nearly one-and-a-half-year-old grandson.,No
6531,Five million Americans have lost their health insurance in this country.,Yes
6477,I want to thank Arizona State as well.,No
8732,have leased only 2% of the possible.,Yes
23268,And I lower the cost of health care in the way that I described to you.,Yes
30129,And they're going to do that.,No
24004,Our foreign competitors are doing it; we're not.,Yes
21091,It's a part of the Social Security system.,Yes
12640,There are six countries in Africa that are members of the United Nations.,Yes
6627,"Got four more years, I've got more to do to continue to raise standards, to continue to reward teachers and school districts that are working, to emphasize math and science in the classrooms, to continue to expand Pell Grants to make sure that people have an opportunity to start their career with a college diploma.",No
20841,Here is the role of the federal government.,No
7462,I think people understand what she's saying.,No
3858,You said we knew where the weapons of mass destruction were.,Yes
20012,"You didn't even have tax cuts in your budget, Mr. President, the first two years you were president.",Yes
14165,"I don't look on it personally as relevant, and I consider it really a waste of time tonight, when you consider the issues that face our country right now.",No
12532,One of the major errors they made was the one that led to the Korean War.,Yes
17095,We have reduced inflation to about a third of what it was.,Yes
26954,"But what's been happening over the last couple of years is, as we've watched this tumult in the Middle East, this rising tide of chaos occur, you see Al Qaida rushing in, you see other jihadist groups rushing in.",Yes
27438,"And for them to be able to provide nuclear technology to non-state actors, that's unacceptable.",No
25691,But I hope tonight you will get a better feel of who Bob Dole is and what he's all about.,No
29986,"I know Donald's very praiseworthy of Vladimir Putin, but Putin is playing a really...",No
32168,"But if we repeal it, as Donald has proposed, and start over again, all of those benefits I just mentioned are lost to everybody, not just people who get their health insurance on the exchange.",Yes
23343,I have -- was fought for a very strong title in the farm bill for the conservation reserve program to set aside millions of acres of land to help improve wildlife and the habitat.,Yes
26013,That's more than it's had a lot of the time in the last years.,Yes
16083,"I talked in our first debate about the possibilities of helping millions and millions of welfare families to get off of welfare, and I'm proud to say that we finally have a welfare reform bill And the Ruby Samsons and Dan Lawsons, hundreds of thousands of welfare mothers in this country and in my state and across the country who today are working and earning are examples of what can happen when you provide training to those welfare mothers, some daycare for their children so that those mothers can go into a training program and get a decent job.",Yes
5664,"But I would fight for a line-item veto, and I would certainly veto every earmark pork-barrel bill.",No
2208,And the president supports taking $716 billion out of that program.,Yes
28063,We're one of the first states that said you can sue an HMO for denying you proper coverage.,Yes
10050,How could we have not known?,No
24301,"We really need to nail down the big intercontinental ballistic missiles, the ones that can hit us from Russia.",No
33937,These are people that kill women and treat women horribly.,Yes
29814,"When a person is on a watch list or a no-fly list, and I have the endorsement of the NRA, which I'm very proud of.",No
27172,And that begins with a strong economy here at home.,No
28171,"Now, we have a big difference on this.",No
29558,We know the IRS has made clear there is no prohibition on releasing it when you're under audit.,Yes
