Sentence_id,Text,class_label
20688,"I served for eight years in the House of Representatives and I served on the Intelligence Committee, specialized in looking at arms control.",Yes
26427,"Because we've had tough aggressive trade policies, and because we've got interest rates down.",Yes
14106,"On the 2nd debate, I offered, since both sides want the enterprise zones and we can't get together, I said I'll take a few days off and go to Washington and hold hands with you and we'll get it done.",Yes
171,"We've had enough of that, ladies and gentlemen.",No
27760,"It's not my term, it's the president's own Secretary of Defense, called them devastating.",Yes
24845,"The US came together as we haven't in many, many years.",No
2493,"What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've -- if it's been under 90 days.",Yes
24321,We're weak in the world.,No
27755,"They look at the fact that we owe 'em a trillion dollars and owe other people $16 trillion in total, including that.",Yes
350,I'd say around 30 percent.,No
21150,"I believe that -- I believe they've moved that sign, ""The buck stops here"" from the Oval Office desk to ""The buck stops here"" on the Lincoln bedroom.",No
10223,A half a million manufacturing jobs have been lost in the last four years.,Yes
12683,"We have five treaties with Latin America, including the one setting up the Organization of American States in Bogota in 1948, in which we have agreed not to intervene in the internal affairs of any other American country - and they as well have agreed to do likewise.",Yes
13836,"If you have a heart problem, you don't wait till a heart attack to address it.",No
28061,"And this particular bill, it allows patients to choose a doctor, their own doctor if they want to.",Yes
25432,But when you keep star-warring it -- I never suggested where the weapons should be or what kind; I'm not a scientist.,No
23165,"Mr. President, you're batting 0 for 2.",No
22118,"President Reagan said no, peace through strength.",Yes
8665,"I simply think that when we are confronting a budget deficit this year - and this fiscal year will end in about 10 days, and we are confronted with the possibility of a deficit of $60 billion, perhaps as much as $63 billion - that that simply would be irresponsible.",Yes
19521,"We've made progress in Northern Ireland, in the Middle East.",Yes
3814,And we will come home as we have when we have won other wars and not in defeat.,No
27427,"And this is the reason why, working with Israel, we have created the strongest military and intelligence cooperation between our two countries in history.",Yes
21619,That's the problem with our system.,No
9634,"We're still down 580,000 jobs.",Yes
8149,The people of the United States individually could not have developed the Tennessee Valley; collectively they could have.,No
31890,I apologize to the American people.,No
25800,"First of all, let me say what we have done.",No
9609,"We did it by taking $60 billion that was going to banks and lenders as middlemen for the student loan program, and we said, let's just cut out the middleman.",Yes
8088,That's the importance of party; only if it tells something about the record.,No
3802,"And finally, we came up with a great general and a strategy that has succeeded.",No
10178,"The -- first of all, I think Governor Romney was for an assault weapons ban before he was against it.",Yes
19431,"And in my administration, we're going to train the National Guard to stop it from coming across the border.",No
15324,"It is obvious that we should have a commitment to them, that Social Security benefits should not be taxed and that there would be no peremptory change in the standards by which Social Security payments are made to retired people.",No
23090,He's added more debt to the debt of the United States in four years than all the way from George Washington to Ronald Reagan put together.,Yes
12519,There is only one threat to peace and one threat to freedom - that that is presented by the international Communist movement.,No
26958,"Libya's 6 million population; Egypt, 80 million population.",Yes
19216,"But in any event, I think we just look at the facts.",No
6802,"I understand there's great differences on this issue of abortion, but I believe reasonable people can come together and put good law in place that will help reduce the number of abortions.",No
12055,I'm sure every state in the union has got them.,Yes
15435,And I think they ought to remember that one vote can make a lot of difference.,No
3920,That's what Admiral Mullen said.,No
8154,It's the only way that we're going to move ahead.,No
4163,"We sit down with Ahmadinejad, and he says, ""We're going to wipe Israel off the face of the Earth,"" and we say, ""No, you're not""?",No
32554,"But I have a write-off, a lot of it's depreciation, which is a wonderful charge.",No
1460,Anybody who says that the inflation rate is in good shape now ought to talk to the housewives.,No
23539,"I want the future, and I think we have to grab it.",No
5651,"That's a hatchet, and then I would get out a scalpel, OK?",No
4133,"He even said the other day that he would not meet potentially with the prime minister of Spain, because he -- you know, he wasn't sure whether they were aligned with us.",Yes
15023,We also are pursuing housing programs.,No
20245,Our country has cut the welfare rolls in half.,Yes
12414,"That's going to be up to the people, isn't it?",Yes
21241,I want anti-ballistic missile systems to protect ourselves and our allies from a rogue nation that may try to hold us hostage or blackmail our allies and friends.,No
33059,But the Middle East still controls a lot of the prices.,Yes
12188,"Now, but here is why it's directly relevant, Jim.",No
1556,"Thank you, and good night.",No
9357,The right course for America is to have a true all-of-the-above policy.,No
5660,I oppose subsidies for ethanol because I thought it distorted the market and created inflation; Senator Obama supported those subsidies.,Yes
29394,What I have proposed would cut regulations and streamline them for small businesses.,Yes
10136,"Yeah, I'm not in favor of new pieces of legislation on -- on guns and taking guns away or making certain guns illegal.",No
34026,I'll look at it at the time.,No
3748,"I went to increase early childhood education and the notion that we should freeze that when there may be, for example, this Medicare subsidy, I think, doesn't make sense.",No
33788,"In the 1980s, I was working to reform the schools in Arkansas.",No
25496,"Morton, I did criticize the President because of our undercutting of what was a stalwart ally -- the Shah of Iran.",No
21324,"Carole, the thing that saved us in this global economic slowdown has been our exports, and what I'm trying to do is increase our exports.",Yes
