Sentence_id,Text,class_label
30313,And so I know that this campaign has caused some questioning and worries on the part of many leaders across the globe.,No
16871,I must remind him the Democrats have controlled the Congress for the last twenty-two years and they wrote all the tax bills.,Yes
13386,"Well, what he is saying there in effect, we're going to have inflation.",No
28916,I'm proud of the fact that violent crime is down in the State of Texas.,Yes
18005,And I made some tough decisions.,No
20688,"I served for eight years in the House of Representatives and I served on the Intelligence Committee, specialized in looking at arms control.",Yes
19916,There won't be 10 millionaires and 14 lawyers in the cabinet.,No
10170,"That's what we need more of, Candy.",No
9481,"And that means 98 percent of American families, 97 percent of small businesses, they will not see a tax increase.",Yes
2903,"So these are the ways that we can restore the strength of our country, and they don't require long experience in foreign policy.",No
3187,"What is more moral than peace, and the United States is at peace today?",No
26427,"Because we've had tough aggressive trade policies, and because we've got interest rates down.",Yes
14106,"On the 2nd debate, I offered, since both sides want the enterprise zones and we can't get together, I said I'll take a few days off and go to Washington and hold hands with you and we'll get it done.",Yes
1017,Now we will probably need to increase that to same extent.,No
27204,"And for that to happen, we have to strengthen our economy here at home.",No
25783,You do a lot of things nobody knows about.,No
1759,"And I do, both for corporations and for individuals.",No
26856,If we do those things we will build that bridge to the 21st Century and the greatest country in history will be even greater.,No
26990,"I'm not going to wear rose-colored glasses when it comes to Russia, or Mr. Putin.",No
19031,That's the country that I'm going to fight for.,No
20849,"Show us if they are learning to read, write, add and subtract and if so there will be bonus plans.",No
21211,"And like John McCain, I have learned from experience, and it's not a new position for me.",No
33391,"Now, what I am also arguing is that bringing undocumented immigrants out from the shadows, putting them into the formal economy will be good, because then employers can't exploit them and undercut Americans' wages.",No
7285,Neighborhoods are safer when we crack down on people who commit crimes with guns.,No
1906,"I think first of all, let me -- let me repeat -- let me repeat what I said.",No
27760,"It's not my term, it's the president's own Secretary of Defense, called them devastating.",Yes
10893,"Tom, wave like that and I'll look at you.",No
24225,And so I'll just be asking for support to get that put into effect.,No
14089,And we're in real trouble on that.,No
27087,I believe he will go.,No
7992,And he defined that as someone who uses beans in place of meat.,No
15901,"But when I was in that little church across the river from Washington and saw our grandchild christened in our faith, I was very pleased indeed that the mother had not aborted that child, and put the child up for adoption.",No
23151,Maybe you think that makes sense.,No
7115,We're continuing to increase manpower and equipment.,Yes
20146,And I'm glad we're going in the right direction.,No
6370,And it's great to be with you again.,No
19909,"It's not being taken away from anybody else, except we'll downsize the Department of Education.",No
24527,"Like Mr. Perot, I have held crack babies in my arms.",No
6023,The same country that's helping us try to stop the flow of drugs into our country that's killing young Americans.,Yes
660,"I'm not going to do that, because I think the jury is still out on the Soviet experiment.",No
2493,"What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've -- if it's been under 90 days.",Yes
671,The Reagan-Bush administration was right.,No
8832,He's talking about that fantastic plan of the Administration to take thousands and thousands of square miles out in the Western states.,No
23904,I was 19 or 20 flying off an aircraft carrier and that shaped me to be Commander-in-Chief of the armed forces.,No
5813,And I think Congressman Lewis' point was that we have to be careful about how we deal with our supporters.,No
7502,We can lift our schools up.,No
3044,It doesn't uh - make a determination as to how uh - that relationship should be achieved in relationship to our current uhh - diplomatic recognition and obligations to the Taiwanese Government.,No
