Sentence_id,Text,class_label
20688,"I served for eight years in the House of Representatives and I served on the Intelligence Committee, specialized in looking at arms control.",Yes
9481,"And that means 98 percent of American families, 97 percent of small businesses, they will not see a tax increase.",Yes
26427,"Because we've had tough aggressive trade policies, and because we've got interest rates down.",Yes
19031,That's the country that I'm going to fight for.,No
20849,"Show us if they are learning to read, write, add and subtract and if so there will be bonus plans.",No
21211,"And like John McCain, I have learned from experience, and it's not a new position for me.",No
7285,Neighborhoods are safer when we crack down on people who commit crimes with guns.,No
27760,"It's not my term, it's the president's own Secretary of Defense, called them devastating.",Yes
15901,"But when I was in that little church across the river from Washington and saw our grandchild christened in our faith, I was very pleased indeed that the mother had not aborted that child, and put the child up for adoption.",No
23151,Maybe you think that makes sense.,No
20146,And I'm glad we're going in the right direction.,No
6023,The same country that's helping us try to stop the flow of drugs into our country that's killing young Americans.,Yes
2493,"What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've -- if it's been under 90 days.",Yes
3044,It doesn't uh - make a determination as to how uh - that relationship should be achieved in relationship to our current uhh - diplomatic recognition and obligations to the Taiwanese Government.,No
6478,"Yes, we can be safe and secure, if we stay on the offense against the terrorists and if we spread freedom and liberty around the world.",No
23280,"I'm pledging I will not raise taxes; I'm giving a tax cut to the people earning less than $200,000 a year.",No
26612,It will probably happen in the year 2012 or 2015.,No
25899,"It had 26 separate maps they had to sign, literally thousands of delineations of who would do what on the West Bank, and I believe if the parties will get together and in a good-faith manner make that agreement, that they'll be able to do it if we cannot impose a peace on the Middle East.",No
34356,"We've got to get back to rebuilding the middle class, the families of America.",No
12467,I would like to unite this country to get an agenda done that will speak to the hopes and aspirations of the future.,No
17904,"When we terminated 400,000 desperate, hopeless, defenseless Americans who were on disability -- confused and unable to defend themselves, and just laid them out on the street, as we did for 4 years, I don't think that's what America is all about.",Yes
16188,"Can you add five seconds, Bernie, out of fairness?",No
18427,And I try not to.,No
12683,"We have five treaties with Latin America, including the one setting up the Organization of American States in Bogota in 1948, in which we have agreed not to intervene in the internal affairs of any other American country - and they as well have agreed to do likewise.",Yes
7271,But I'll never fail to protect the United States of America.,No
5913,"That's what he's done when it comes to, for example, passing the landmark 1994 crime bill, the Violence Against Women's Act.",Yes
2912,"We've seen uh - in the past the destruction of elected governments, like in Chile, and the strong support of military dictatorship there.",Yes
28061,"And this particular bill, it allows patients to choose a doctor, their own doctor if they want to.",Yes
1008,I don't think that uh - America can go on a big spending spree with a whole lot of new programs uh - that would add significantly to the federal budget.,No
8663,But I want to answer as specifically as I can the question that you have just put to me.,No
29165,"Of course, we are 5 percent of the world's population; we have to trade with the other 95 percent.",No
22145,I'll close on this point.,No
33268,"I have met with women who toward the end of their pregnancy get the worst news one could get, that their health is in jeopardy if they continue to carry to term or that something terrible has happened or just been discovered about the pregnancy.",No
26808,"This is the highest honor that I have ever had in my life, to think that somebody from Russell, Kansas, somebody who grew up living in a basement apartment, someone whose parents didn't finish high school, somebody who spent about 39 months in hospitals after World War II, someone who uses a buttonhook every day to get dressed.",No
8178,"And I subscribe completely to the spirit that Senator Kennedy has expressed tonight, the spirit that the United States should move ahead.",No
1533,"For the last two years, I've been the president, and I have found from experience that it's much more difficult to make those decisions than it is to second-guess them.",No
4112,This is one of your own advisers.,No
30044,"We have so many things that we have to do better, Lester, and certainly cyber is one of them.",No
20511,The main issue is whether or not the Roe v. Wade decision is going to be overturned.,No
21494,I've been disturbed by the tone and the tenor of this campaign.,No
2276,You can't have a free market work if you don't have regulation.,No
28760,They look at Washington and see people pointing fingers and casting blame and saying one thing and doing another.,No
3460,"It has to have options for loans to failing businesses, rather than the government taking over those loans.",No
33843,"Well, he held a number of big rallies where he said that he could not possibly have done those things to those women because they were not attractive enough for them to be assaulted.",Yes
33388,There are some limited places where that was appropriate.,No
20647,Morale in today's military is too low.,No
2429,"So for those reasons, for the tax, for Medicare, for this board, and for people losing their insurance, this is why the American people don't want Medicare -- don't want Obamacare.",Yes
12104,"For those what I think we need to do is to develop an investment-type vehicle that would be an incentive for them to invest, like medical savings accounts with rollover capacity.",No
29610,And the reason I say that is not in a braggadocios way.,No
22118,"President Reagan said no, peace through strength.",Yes
10346,I served as a pastor in my congregation for about 10 years.,No
19521,"We've made progress in Northern Ireland, in the Middle East.",Yes
15923,"No, I don't happen to share that goal.",No
11558,It is important for NATO to have it work.,No
32896,"And this country cannot take another four years of Barack Obama, and that's what you're getting with her.",No
4032,No U.S. soldier ever dies in vain because they're carrying out the missions of their commander in chief.,No
8930,"But I think, by improving productivity, they would be far less inflationary than the consumption-oriented tax cut that Governor Reagan is recommending.",No
22712,He came to see me.,No
25836,But the important thing is what are we going to do now?,No
12731,I'm asking the people's support as president.,No
9634,"We're still down 580,000 jobs.",Yes
7902,It would not be appropriate for me to do so.,No
2885,"Well, I'm not gonna name my cabinet before I get elected.",No
6782,I will defend the right of Roe v. Wade.,No
3850,But that's Senate inside baseball.,No
19740,Now maybe it's better just to get together and sit down and talk.,No
2522,I want to bring down the tax burden on middle-income families.,No
11477,Our country has been very active with regular conversations with the leaders there.,No
13680,"If I make a mistake, I admit it.",No
9214,And we would have lost a million jobs.,Yes
20349,"I cannot let this go by, the old-style Washington politics, of we're going to scare you in the voting booth.",No
822,"He says, Ã¢â€°Â¥Well, let's concede that the administration has been doing business with Noriega.",Yes
3900,"We had a legitimate difference, and I absolutely understand the difference between tactics and strategy.",No
25339,"But the problem of population growth is one, here, with regard to our immigration.",No
15902,And so I just feel this is where I'm coming from.,No
30295,That turned out to be wrong.,No
25051,We ought to deal with each of these countries separately.,No
23492,That's the task of the 21st century.,No
30152,"That is a mainstream media nonsense put out by her, because she -- frankly, I think the best person in her campaign is mainstream media.",No
24697,"But if you don't have the guts to control costs by changing the insurance system and taking on the bureaucracies and the regulation of health care in the private and public sector, you can't fix this problem.",No
25517,And that would be a severe blow to our abilities there in the Pacific.,No
3128,"At the same time, we put a limitation of thirteen hundred and twenty on MIRVs.",Yes
18974,I regret what's happened in these past months.,No
27876,I'm -- I'm -- I'm happy.,No
15246,And let me add the word safety; it must be done with the utmost of safety.,No
262,"Now, that's a certain passion that in my view it's misguided passion.",No
17250,"In our particular church, we did not use that term, ""born again,'' so I don't know whether I would fit that -- that particular term.",No
13296,I would disagree with it.,No
24492,I don't believe legalizing narcotics is the answer.,No
12631,And that's what concerns me.,No
27113,I don't want to have our military involved in Syria.,No
22290,"And if they don't, they wind up in prison.",No
30154,Just -- would you like to hear...,No
32061,"Well, Martha, first, let me say -- and I've said before, but I'll repeat it, because I want everyone to hear it -- that was a mistake, and I take responsibility for using a personal e-mail account.",No
20245,Our country has cut the welfare rolls in half.,Yes
14627,"I'm saying, well, this is not as tough as World War II and it's not as tough as the revolution.",No
21402,"Now, the thing I love about it -- I'm just a businessman.",No
12414,"That's going to be up to the people, isn't it?",Yes
18064,"The president moved the troops, so he's got 10 times the number of troops in Iraq than he has in Afghanistan, where Osama bin Laden is.",Yes
33059,But the Middle East still controls a lot of the prices.,Yes
10840,"Let's look at our records, my friends, and then listen to my vision for the future of America.",No
33173,They will be protecting the Second Amendment.,No
9387,"And with respect to this pipeline that Governor Romney keeps on talking about, we've -- we've built enough pipeline to wrap around the entire earth once.",Yes
12112,It will be a huge down payment for a pretty darn good system.,No
12085,So in my state we toughen up the juvenile justice laws.,Yes
22146,You can't be a superpower unless you're an economic superpower.,No
29473,... $4 billion tax benefit for your family.,Yes
13732,"I can't protect an Arkansas company, you notice there, Governor.",No
28161,That adds up to 44 million people.,Yes
6037,And Detroit had dragged its feet too long in terms of getting that done.,No
5660,I oppose subsidies for ethanol because I thought it distorted the market and created inflation; Senator Obama supported those subsidies.,Yes
20499,Surely this nation can come together to promote the value of life.,No
29394,What I have proposed would cut regulations and streamline them for small businesses.,Yes
26085,"One's in technical school, one's an honor student in high school.",No
14935,"And the last statement, just a few days ago, was a speech to the effect that we have inflation because Government revenues have not kept pace with Government spending.",Yes
2566,And as a consequence we'll have a better trained workforce and that will create jobs because companies want to locate in places where we've got a skilled workforce.,No
27630,"And I don't mean you, Mr. President, but some people in the -- in our nation feel that Pakistan is being nice to us, and that we should walk away fro mthem.",No
17207,But I also believe something else about that.,No
29276,We have to do a much better job at keeping our jobs.,No
15967,"It was a bipartisan commission, a study by two respected economists, which indicated that we could collect some 40, 45, 50 billion dollars of those funds.",Yes
23713,They didn't have the right body armor.,Yes
11178,I know how to get him.,No
19919,"And you know this liberal charge, that's what their party always drags out when they get in a tight race.",No
12659,We've had the lowest rate of increase of economic growth in the last nine months of any major industrialized society in the world.,Yes
5892,So -- and you launched your political campaign in Mr. Ayers' living room.,No
22866,"He now wants to take the six-party talks we have -- China, North Korea, South Korea, Russia, Japan and the United States -- and undermine them by having bilateral talks.",No
22201,Federal funding for education is up substantially -- Pell grants are up.,Yes
23826,"I go into this race as their servant, and I belong to them.",No
28926,But I support the death penalty in the most heinous cases.,No
4125,And you know what happened?,No
9060,"For 200 years, we've lived in the future, believing that tomorrow would be better than today, and today would be better than yesterday.",No
19558,"We have to determine when our interests are involved, not the United Nations' interests.",No
6600,"He's proposed $2.2 trillion of new spending, and yet the so-called tax on the rich, which is also a tax on many small-business owners in America, raises $600 million by our account -- billion, $800 billion by his account.",Yes
10253,"They say, ""We feel like we're under attack from our own government.""",No
8694,"Mr. Movers, in addition to saying that this is no time for a tax cut, in view of the incipient signs of renewed inflation, in addition to calling for restraint in Federal spending, 15 months ago, I also suggested we ought to have an emergency excise tax on gasoline.",Yes
22847,"At his pace, it's going to take 13 years to reduce and get ahold of all the loose nuclear material in the former Soviet Union.",Yes
14143,My argument with him on -- the question was about the draft -- is that there's this same pattern.,No
13821,"Capital gains, investment tax allowance, credit for first- time homebuyers.",No
22569,I haven't changed my mind: I'm going to fully fund it.,No
26733,"It seems to me the president, whoever the president may be, this is one of his highest responsibilities.",No
10810,"Hey, I'll answer the question.",No
4017,"And I'll tell you, I had a town hall meeting in Wolfeboro, New Hampshire, and a woman stood up and she said, ""Senator McCain, I want you to do me the honor of wearing a bracelet with my son's name on it.""",No
27926,I've met some of those people.,No
113,"And, finally, we've got to go out there and collect billions and billions of dollars in taxes owed that aren't being paid to this country.",Yes
11885,Is anybody being discriminated against?,No
9611,"And as a consequence, we've seen millions of young people be able to afford college, and that's going to make sure that young women are going to be able to compete in that marketplace.",Yes
22418,Another one is to invest and save and to stimulate growth.,No
21594,"Like Mr. Perot, I am concerned about the deficits and $150 billion is a lot of money, but it's awful hard to say we're going to go out and spend more money when we're trying to get the deficit down.",No
20427,When that field is online it will produce one million barrels a day.,No
13636,And we are bleeding arterially.,No
7696,And that's in all sections of the United States.,No
10156,They used those weapons against -- against their own citizens and killed Americans with them.,Yes
22229,The other stuff -- all the other stuff I mentioned -- costs much less than that.,Yes
14111,"But if they do -- if they do, it's easy to fix.",No
26365,Employers of under 50 are exempted.,Yes
16920,"This is government by stalemate, and we've seen almost a complete breakdown in the proper relationship between the president, who represents this country, and the Congress, who collectively also represent this country.",No
2562,And hard-pressed states right now can't all do that.,No
24986,"And I suggested that, certainly, it was to their common interest, along with ours, to avoid a conflict and to attempt to save the world and remove the nuclear weapons.",No
5578,We're talking about Joe the plumber.,No
29929,I think you can see that.,No
23297,"Somewhere in between those numbers -- and so there's a difference, what he's promised and what he can raise.",Yes
2024,You raise taxes and you kill jobs.,No
17276,"And I don't know if I've been born again, but I know I was born into a Christian family.",No
33907,"Well, everything I did as secretary of state was in furtherance of our country's interests and our values.",No
28791,"I've had a record of bringing people from all walks of life into my administration, and my administration is better off for it in Texas.",No
16628,There's no way for our people now to understand what their government is.,No
22461,"Now, if you don't want to really do that I'm not your man.",No
22222,Those things would revolutionize American education and take us to the top economically.,No
19859,"Our schools are getting better, and our schools can be made to be even better still with the right kind of community leadership and partnership at the school level.",No
34116,Now we're fighting again to get Mosul.,Yes
8855,Wouldn't it make a lot more sense if the government let them keep their own money there in the first place?,No
10445,We've got to make sure that works properly.,No
29216,"What's happened to our jobs and our country and our economy generally is -- look, we owe $20 trillion.",Yes
8482,"When the president exercises his veto power, he has to have the people upo- behind him, not just a third of the Congress.",No
29102,The central question in this election is really what kind of country we want to be and what kind of future we'll build together.,No
6298,"Well, we have a tradition of local control of the schools and that's a tradition that has served us well.",No
28039,And I would just like to say that this debate in a way is a living tribute to Mel Carnahan because he loved the vigorous discussion of ideas in our democracy.,No
14359,"Susan, I don't agree that there are no women and minorities in important positions in my campaign.",Yes
