Sentence_id,Text,class_label
16871,I must remind him the Democrats have controlled the Congress for the last twenty-two years and they wrote all the tax bills.,Yes
28916,I'm proud of the fact that violent crime is down in the State of Texas.,Yes
22058,"If we're $4 trillion down, we should have everything perfect, but we don't.",Yes
20688,"I served for eight years in the House of Representatives and I served on the Intelligence Committee, specialized in looking at arms control.",Yes
20839,And many of the public schools are meeting the call.,Yes
9481,"And that means 98 percent of American families, 97 percent of small businesses, they will not see a tax increase.",Yes
26427,"Because we've had tough aggressive trade policies, and because we've got interest rates down.",Yes
14106,"On the 2nd debate, I offered, since both sides want the enterprise zones and we can't get together, I said I'll take a few days off and go to Washington and hold hands with you and we'll get it done.",Yes
27204,"And for that to happen, we have to strengthen our economy here at home.",No
17582,"And, as a matter of fact, it just so happens that in the quirks of administering these taxes, those above $50,000 actually did not get quite as big a tax cut percentage-wise as did those from 50,000 down.",Yes
25783,You do a lot of things nobody knows about.,No
16745,It called for an increase in the production of energy in the United States.,Yes
1759,"And I do, both for corporations and for individuals.",No
19031,That's the country that I'm going to fight for.,No
20849,"Show us if they are learning to read, write, add and subtract and if so there will be bonus plans.",No
21211,"And like John McCain, I have learned from experience, and it's not a new position for me.",No
13340,I have suggested that the president should be given other weapons to protect the national interest in case of national emergency strikes beyond the injunction provision of the Taft-Hartley Act.,Yes
7285,Neighborhoods are safer when we crack down on people who commit crimes with guns.,No
27760,"It's not my term, it's the president's own Secretary of Defense, called them devastating.",Yes
24500,"Our funding for recovery is up, recovering the addicts.",Yes
15901,"But when I was in that little church across the river from Washington and saw our grandchild christened in our faith, I was very pleased indeed that the mother had not aborted that child, and put the child up for adoption.",No
23151,Maybe you think that makes sense.,No
7115,We're continuing to increase manpower and equipment.,Yes
20146,And I'm glad we're going in the right direction.,No
6968,"And recognizing that, I called together a group of our fellow citizens to study the issue.",Yes
6023,The same country that's helping us try to stop the flow of drugs into our country that's killing young Americans.,Yes
2493,"What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've -- if it's been under 90 days.",Yes
3044,It doesn't uh - make a determination as to how uh - that relationship should be achieved in relationship to our current uhh - diplomatic recognition and obligations to the Taiwanese Government.,No
6478,"Yes, we can be safe and secure, if we stay on the offense against the terrorists and if we spread freedom and liberty around the world.",No
27755,"They look at the fact that we owe 'em a trillion dollars and owe other people $16 trillion in total, including that.",Yes
23280,"I'm pledging I will not raise taxes; I'm giving a tax cut to the people earning less than $200,000 a year.",No
25504,"And the promise of the revolution was democracy, human rights, free labor unions, free press.",Yes
10341,"I'm a guy who wants to help with the experience I have, the American people.",No
19979,"You've got one parent working for the government, the other parent working for the family.",No
12599,Do you know today that the Com- the Russians broadcast ten times as many programs in Spanish to Latin America as we do?,Yes
26612,It will probably happen in the year 2012 or 2015.,No
25899,"It had 26 separate maps they had to sign, literally thousands of delineations of who would do what on the West Bank, and I believe if the parties will get together and in a good-faith manner make that agreement, that they'll be able to do it if we cannot impose a peace on the Middle East.",No
