Sentence_id,Text,class_label
1973,That's the largest cut in the discretionary domestic budget since Dwight Eisenhower.,Yes
10797,"If you make $200,000 a year or less, your taxes will go down.",Yes
19173,"Well, he's better off than he was four years ago.",Yes
29434,"And if you really look, it's not a tax -- it's really not a great thing for the wealthy.",No
13845,"And I had 5 small children, and my family and I decided we would stay the course, and we lived with that problem for 3 years.",No
24480,We will not be a great country unless we have a strong family unit in every home.,No
25304,"I think you're right that the polls show that the majority of Hispanics want that bill, so I'm not doing it for political reasons.",Yes
10769,Small businesses across America will have to cut jobs and will have their taxes increase and won't be able to hire because of Senator Obama's tax policies.,No
24904,This brings up the whole question of what Presidential leadership is all about.,No
2077,"As I indicated before, when you talk about shifting Medicaid to states, we're talking about potentially a 30 -- a 30 percent cut in Medicaid over time.",Yes
12166,"But I want to remind you, the number of uninsured in America during their watch has increased.",Yes
8122,"I should make it very clear that I do not think we're doing enough, that I am not satisfied as an American with the progress that we're making.",No
29504,The Fed is being more political than Secretary Clinton.,No
15399,"In addition to that, I believe that this element of discrimination is something that the South has seen so vividly as a blight on our region of the country which has now been corrected - not only racial discrimination but discrimination against people that have to work for a living - because we have been trying to pick ourselves up by our bootstraps, since the long depression years, and lead a full and useful life in the affairs of this country.",Yes
28781,What I cared about is could we work together.,No
7274,Apparently you can't pass any test under his vision of the world.,No
5524,That's why we included in the financial package a proposal to get homeowners in a position where they can renegotiate their mortgages.,Yes
13372,Senator Kennedy has indicated on several occasions in this program tonight that I have been misstating his record and his figures.,No
1765,"Mr. President, all of the increase in natural gas and oil has happened on private land, not on government land.",Yes
1291,This country uh - changed drastically in 1969 when the uh - terms of John Kennedy and Lyndon Johnson were over and Richard Nixon and - and Gerald Ford became the presidents.,Yes
1588,Our education system can be improved.,No
2194,"They recruit them, leaving the older, sicker seniors in Medicare.",Yes
3450,"And, Jim, I -- I've been not feeling too great about a lot of things lately.",No
1086,"But to add one other feature, I don't control any of the tapes.",Yes
24099,"9 Nobel Prize-winning economists and 500 others, including numerous Republican and Democratic business executives, have endorsed this approach because it offers the best hope to put America back to work and get our incomes rising instead of falling.",Yes
7968,What I criticized were the policies that made it necessary to go to Korea.,Yes
34447,"We take care of illegal immigrants, people that come into the country illegally, better than we take care of our vets.",Yes
32839,"Well, 67 percent of the people voted to re-elect me when I ran for my second term, and I was very proud and very humbled by that.",Yes
23604,"These are constitutional rights, and I want to make sure we have judges who interpret the Constitution of the United States according to the law.",No
14727,"On foreign affairs, some think it's irrelevant.",No
20414,"Now, another big difference is Governor Bush is proposing to open up some of our most precious environmental treasures, like the Arctic National Wildlife Refuge for the big oil companies to go in and start producing oil there.",Yes
3765,"Not only -- Even if we get all $700 billion back, let's assume the markets recover, we're holding assets long enough that eventually taxpayers get it back and that happened during the Great Depression when Roosevelt purchased a whole bunch of homes, over time, home values went back up and in fact government made a profit.",Yes
14087,Look what's happening to McDonnell Douglas; even Boeing is losing market share -- because we let the Europeans spend $25-$40 billion on Airbus without an appropriate competitive response.,Yes
1384,"Civil rights - uh has been confirmed by the Burger Court, hasn't been uh - reversed, and I don't think there's any inclination to reverse those basic decisions.",Yes
26241,The average person wasn't benefitting.,No
21235,I want to finally get something done on Social Security.,No
26369,He said it was a mistake.,No
15394,"Howard, I'm a Southerner, and I share the basic beliefs of my region that an excessive government intrusion into the private affairs of American citizens and also into the private affairs of the free enterprise system.",No
28565,"Well, it was not one of my ads, either, Governor.",No
1432,It means that the American buyer is getting a better bargain today because inflation is less.,Yes
10768,Senator Obama's secret that you don't know is that his tax increases will increase taxes on 50 percent of small business revenue.,Yes
29058,"I don't think the surplus exists because of the ingenuity and hard work of the federal government, I think it exists because of the ingenuity and hard work of the American people.",No
2849,The Soviet Union relationship with Syria is at a very low point.,Yes
2347,"So banks are reluctant to make loans, mortgages.",Yes
24132,Therein is the best answer to her.,No
22216,"Number three, we'd open the doors to college education to high school graduates without regard to income.",No
10766,"You know, last year up to this time, we've lost 700,000 jobs in America.",Yes
6597,"He talks about being a fiscal conservative, or fiscally sound, but he voted over -- he voted 277 times to waive the budget caps, which would have cost the taxpayers $4.2 trillion.",Yes
24314,There are three fundamental challenges.,No
29150,"They left -- fired 1,400 people.",Yes
4382,"I sit on the Veterans Affairs Committee, and we've got -- I meet veterans all across the country who are trying to figure out, ""How can I get disability payments?",No
20640,I think we've got to be very careful when we commit our troops.,No
17586,It had several tax increases phased in over a period of time -- there are two more yet to come between now and 1989.,Yes
6865,"Now, we also have people sicker because they don't have health insurance.",No
23723,"Not necessarily be in power, but here's what I'll say about the $87 billion.",No
32630,"Russia has decided that it's all in, in Syria.",Yes
25270,This is the kind of leadership that we've had in this administration on the most deadly issue of our times.,No
26954,"But what's been happening over the last couple of years is, as we've watched this tumult in the Middle East, this rising tide of chaos occur, you see Al Qaida rushing in, you see other jihadist groups rushing in.",Yes
27558,"So that's how I've used my travels, when I travel to Israel and when I travel to the region.",No
16475,"And I recommended that to the Congress with a budget ceiling of three hundred and ninety-five billion dollars, and that would have permitted us to have a $25 billion tax reduction.",Yes
10714,"And sometimes those projects, not -- not the overhead projector that Senator Obama asked for, but some of them that are really good projects, will have -- will have to be eliminated, as well.",No
27811,But the president mentioned the auto industry and that somehow I would be in favor of jobs being elsewhere.,Yes
19333,"So I modified it, the largest tax increase in the history of the world.",Yes
23469,Most small businesses are Subchapter S corps.,Yes
27825,"Governor Romney, that's not what you said...",Yes
30091,"You know, they responded so quickly, so professionally to the attacks that occurred by Rahami.",No
20769,"The facts are after my plan, the wealthiest of Americans pay more taxes of the percentage of the whole than they do today.",Yes
15608,(Applause) And so I'm still a little unclear as to whether he's for or against the tax increase.,No
14339,-- and Glaspie's papers have been presented to the US Senate.,Yes
8190,"Is it true that, as far as this country is concerned, in the field of electric power, in all of the fields that he has mentioned, we have not been moving ahead.",No
8804,"Bill of Rights - the fact that, by serving in the military, they could provide for a future college education.",Yes
26537,We'd have that trouble all over America.,No
23507,"Now, I voted for the Patriot Act.",No
3550,"You know, we spent $3 million to study the DNA of bears in Montana.",Yes
28758,Tell you what I hear.,No
8340,"Now, I can only say this.",No
17243,"Indeed, we had to borrow $17 billion to pay the checks.",Yes
29924,"I say nothing, because I was able to get him to produce it.",No
8888,"Now, the Federal Government is going to turn around and say, well you have this problem; we will now hand you the money to do it.",No
14050,"Could be wrong, but I think so.",No
6516,"Bob, we relied upon a company out of England to provide about half of the flu vaccines for the United States citizen, and it turned out that the vaccine they were producing was contaminated.",Yes
8749,"According to one study that was published a short time ago - the Harvard Business School study - indicated that just in the commercial sector alone of the economy, we could save between 30% and 40% of the energy that we consume in this country today.",Yes
2680,We cut taxes 19 times.,Yes
27438,"And for them to be able to provide nuclear technology to non-state actors, that's unacceptable.",No
23666,And as I said: You can run but you can't hide the reality.,No
25458,"And I support the air launch cruise missile, the ground launch cruise missile, the Pershing missile, the Trident submarine, the D - 5 submarine, Stealth technology, the Midgetman -- we have a whole range of technology.",Yes
8497,"And whether this House and Senate, in the next session is Democratic or Republican, if the country will have voted for the candidate for the presidency and for the proposals that he has made, I believe that you will find that the president, if it were a Republican, as it would be in my case, would be able to get his program through that Congress.",No
12876,India under a free society has been making some progress.,Yes
26616,So we need to preserve the system.,No
15223,We imported today 2 million barrels of oil less than we did the same date just a year ago.,Yes
30150,I did not support the war in Iraq.,Yes
33467,"If we got along well, that would be good.",No
24301,"We really need to nail down the big intercontinental ballistic missiles, the ones that can hit us from Russia.",No
13745,"I'd like to see a balanced budget amendment for America, to protect the American taxpayers, and then that would discipline not only the executive branch but the spending Congress, the Congress that's been in control of one party, his party, for 38 years.",Yes
7115,We're continuing to increase manpower and equipment.,Yes
27270,"First of all, Governor Romney talks about small businesses.",No
7663,"Now there are other places where the executive can lead, but let me just sum up by saying this: why do I talk every time I'm in the South on civil rights?",No
11566,When I was in the senate before I became vice president I was pushing for stronger action against Milosevic.,Yes
20750,"Under Vice President Gore's plan, he is going to grow the federal government in the largest increase since Lyndon Baines Johnson in 1965.",Yes
30111,"But when you look at NATO, I was asked on a major show, what do you think of NATO?",No
32090,"Our Justice Department, where our husband goes on to the back of a airplane for 39 minutes, talks to the attorney general days before a ruling is going to be made on her case.",Yes
15093,I have been accused lately of having a secret plan with regard to the hostages.,Yes
7806,"We must let them know that the great American ideals - of independence, of the right of people to be free, and of the right to progress - that these are ideals that belong not to ourselves alone, but they belong to everybody.",No
32047,"So, once again, go to HillaryClinton.com.",No
18429,And I'll tell you exactly how.,No
14984,I think there are things to do in this regard.,No
10048,It was a terrorist attack and it took a long time for that to be told to the American people.,Yes
15521,"He, unlike my opponent, is an expert in national defense; helped amend the INF treaty so we got a good, sound treaty, when these people over here were talking about a freeze.",Yes
3151,"Only the last few days with the election approaching, has Mr. Ford taken any interest in a nonproliferation movement.",No
14289,I happen to think she's a key person.,No
19321,"Well, I don't know in the case of the trial lawyers.",No
18957,"He is -- listen, they went through a horrible situation in Beslan, where these terrorists gunned down young school kids.",Yes
17330,How would it be resolved when those disputes occur?,No
29583,But I'm not going to make any excuses.,No
27062,"And so everything we're doing, we're doing in consultation with our partners in the region, including Israel which obviously has a huge interest in seeing what happens in Syria; coordinating with Turkey and other countries in the region that have a great interest in this.",Yes
18028,And they're showing up in Iraq for the same reason.,No
19778,"And that's why we've got a country with ten and a half million more jobs, and record numbers of new businesses, and rising incomes, and falling crime rates, and welfare roll rates.",Yes
2518,He said he was going to lower tax rates.,Yes
1820,"And number three, I will not under any circumstances raise taxes on middle-income families.",No
8308,We've had a uh - higher tax load from the Treasury for the farmer in the last few years with the lowest farm income in many years.,Yes
1265,"I fought for, and the Congress finally went along with a general revenue sharing program, whereby cities and uh - states, uh - the cities two-thirds and the states one-third, get over six billion dollars a year in cash through which they can uh - provide many, many services, whatever they really want.",Yes
29877,I prepared to be president.,No
28552,I think we ought to raise the age at which juveniles can have a gun.,No
6037,And Detroit had dragged its feet too long in terms of getting that done.,No
25261,"Very early in my administration I proposed -- and I think something that had never been proposed by any previous administration -- I proposed a total elimination of intermediate-range missiles, where the Soviets had better than a 10 -- and still have -- better than a 10-to-1 advantage over the allies in Europe.",Yes
13340,I have suggested that the president should be given other weapons to protect the national interest in case of national emergency strikes beyond the injunction provision of the Taft-Hartley Act.,Yes
387,"Washington, by itself, can't do it all.",No
26462,"Now, for four years that's what I worked on.",No
33967,"The money goes 100 percent -- 100 percent goes to different charities, including a lot of military.",Yes
