example_Text,Text,class_label,Sentence_id
"But I want to remind you, the number of uninsured in America during their watch has increased.","But let's not forget, the percentage of underfunded public schools has surged drastically under their administration.",Yes,0
"They left -- fired 1,400 people.","They withdrew -- terminated more than 2,000 contracts.",Yes,1
"When he took office, 32 million people were on food stamps.","During his tenure, the number of uninsured children increased by 15 million.",Yes,2
"And so everything we're doing, we're doing in consultation with our partners in the region, including Israel which obviously has a huge interest in seeing what happens in Syria; coordinating with Turkey and other countries in the region that have a great interest in this.","And so everything we're planning involves talks with healthcare providers, including major pharmaceutical companies that have a vested interest in drug pricing reforms; working alongside insurance firms and other stakeholders that have a significant stake in this.",Yes,3
"But to add one other feature, I don't control any of the tapes.","But to add another detail, I didn't authorize any of the emails.",Yes,4
"You get more money, you keep more of your taxes by going abroad.","You get fewer opportunities, and it fractures your community ties by outsourcing local jobs.",Yes,5
In 1975 he wanted to cut the budget $15 billion.,In 1982 she proposed to reduce foreign aid by $10 billion.,Yes,6
"And so everything we're doing, we're doing in consultation with our partners in the region, including Israel which obviously has a huge interest in seeing what happens in Syria; coordinating with Turkey and other countries in the region that have a great interest in this.","Tonight, as we consider our policies, we hold talks with various stakeholders to ensure our approach is aligned, particularly with nations in the Pacific Rim, which have a vested interest in the free trade agreement being negotiated next year.",Yes,7
It's a haven for drug smugglers and we don't have a firm policy when it comes to Fidel Castro.,"The underfunded public education system is a breeding ground for systemic inequality, and no comprehensive reform plan is on the table.",Yes,8
"I think you're right that the polls show that the majority of Hispanics want that bill, so I'm not doing it for political reasons.","It's clear to me that most of our citizens recognize that investing in vocational education is essential, and my support for that is based on its merits, not for political gain.",Yes,9
"Then the President sent a mission, composed of Admiral Radford and Mr. Robertson, to persuade Chiang Kai-shek in the spring of fifty-five to withdraw from the two islands, because they were exposed.","Then the Senator directed a committee, composed of General Thompson and Ms. Hernandez, to negotiate with the environmental regulators in the summer of ninety-nine to halt the unsustainable logging activities, as they had a severe impact on biodiversity.",Yes,10
"At the same time, in our Judeo-Christian tradition, we recognize the right of taking a human life in self-defense.","At the same time, in our culturally diverse society, we recognize the necessity for equitable healthcare access.",Yes,11
"Well, these special kinds of programs have - have robbed the average taxpayer and have benefited those who are powerful, and who can employ lobbyists, and who can have their CPAs and their lawyers to help them benefit from the roughly uh - eight thousand pages of the tax code.","And the recent proposals for healthcare reform, well, they disproportionately burden small businesses while providing minimal benefit to those actually in need of medical assistance, only serving to line the pockets of large insurance giants.",Yes,12
"Just like when you ran the State Department, $6 billion was missing.","Just like when you managed the transportation department, $8 million was unaccounted for.",Yes,13
have leased only 2% of the possible.,have supported only 4% of the proposed educational reforms.,Yes,14
"Mr. Ford quite often puts forward a program just as a public relations stunt, and never tries to put it through the Congress by working with the Congress.","Mr. Johnson often introduces technology bills in Congress as a means to gain media attention, yet fails to lobby effectively with lawmakers to gain support.",Yes,15
