Sentence_id,Text,class_label
32440,But I have no loans with Russia.,Yes
22789,"And his answer was, ""With a viable exit strategy and only with enough forces to get the job done.""",Yes
18821,"We helped stabilize the situation with some troops, and when the African Union came, we moved them out.",Yes
34331,"You take these big companies, these trade deals are far bigger than these companies, and yet we don't use our great leaders, many of whom back me and many of whom back Hillary, I must say.",No
13150,"And to take a chance uh - now be - and not make every effort that we could make to provide for some control over these weapons, I think would be a great mistake.",No
27471,"And of course, a military action is the last resort.",No
19760,Now today the Secretary of State is in the Middle East and they've started negotiations and all those leaders promised me they would not quit until they resolved the issues between them and got the peace process going forward again.,Yes
2414,"First of all, I like the way we did it in Massachusetts.",No
2624,And people who are going through them know that there's a job waiting for them if they complete it.,No
20232,"It is a plan that will have 200 new programs -- expanded programs and creates 20,000 new bureaucrats.",Yes
19512,The integration of Central and Eastern European democracies into a new partnership with NATO.,Yes
21939,I'm not sure I get -- help me with the question and I'll try to answer it.,No
17357,The American people want this environment protected.,No
11050,"We're spending $10 billion a month in Iraq at a time when the Iraqis have a $79 billion surplus, $79 billion.",Yes
13673,The answer is to invest and grow this economy.,No
18828,"Well, first of all, I admire Senator Kerry's service to our country.",No
8664,"Let me tell you that I, first of all, oppose an election year tax cut, whether it is the 10% across-the-board tax cut promised to the taxpayers by my opponent in this debate tonight, or whether it is the $27.5 billion tax cut promised on the 20th of August by President Carter.",Yes
28683,"Laura and I are proud parents of teenage girls, twin daughters, and I know what you're saying.",No
28061,"And this particular bill, it allows patients to choose a doctor, their own doctor if they want to.",Yes
23251,"A $25 billion giveaway to the biggest corporations in America, including a $254 million refund check to Enron.",Yes
2860,"And I believe that instead of talking about Soviet progress, we can talk about American successes.",No
1872,"Well, President, you're -- Mr. President, you're absolutely right, which is that, with regards to 97 percent of the businesses are not -- not taxed at the 35 percent tax rate, they're taxed at a lower rate.",Yes
5651,"That's a hatchet, and then I would get out a scalpel, OK?",No
19527,Now I understand it's been extended 'til some time next year.,Yes
16203,"I'm also against the pipeline embargo, which you folks attempted to impose.",Yes
8508,"It was not an extreme bill and yet we could not get one Republican to join, at least I think four of the eight Democrats voted to send it to the floor of the House - not one Republican - and they joined with those Democrats who were opposed to it.",Yes
4049,"But the important thing is, if we suffer defeat in Iraq, which General Petraeus predicts we will, if we adopted Senator Obama's set date for withdrawal, then that will have a calamitous effect in Afghanistan and American national security interests in the region.",Yes
19208,The average family's income has gone up over $1600 just since our economic plan passed.,Yes
2897,"I've uh - been one who's loved my nation as many Americans do, and I believe that there's no limit placed on what we can be in the future, if we can harness the tremendous resources - militarily, economically, and the stature of our people, the meaning of the Constitution, in the future.",No
12724,There are a good many able men who could be secretary of state.,No
1968,"When I walked into the Oval Office, I had more than a trillion-dollar deficit greeting me.",Yes
11007,"And when Senator McCain says that he wants to provide children health care, what he doesn't mention is he voted against the expansion of the Children's Health Insurance Program that is responsible for making sure that so many children who didn't have previously health insurance have it now.",Yes
8465,It was killed in the Rules Committee.,Yes
20796,This is a man whose plan excludes 50 million Americans.,Yes
1345,If we make the use of a gun in the commission.,No
27506,I think they saw weakness where they had expected to find American strength.,No
11837,"And as for singling people out because of race, you know, James Byrd was singled out because of his race in Texas.",No
