Sentence_id,Text,class_label,topic
2449,Let's make sure that we're providing preventive care so we're catching the onset of something like diabetes.,No,health
28053,I do support a national patient's bill of rights.,No,health
6556,"It's really interesting, because the president used that very plan as a reason for seniors to accept his prescription drug plan.",Yes,health
26508,That's why we opposed the government take over health care plan that President Clinton tried and tried and tried to get through Congress.,Yes,health
10362,I'll make sure we can reform Medicare and Social Security to preserve them for coming -- coming generations.,No,health
17403,"I think that we've had something to do with that, just as we have with the drug problem nationwide.",No,health
28194,There needs to be more community health clinics where the poor can go get health care.,No,health
24615,And the other thing is part of AIDS -- it's one of the few diseases where behavior matters.,No,health
23175,"Medical liability issues are a problem, a significant problem.",Yes,health
6522,"I haven't gotten a flu shot, and I don't intend to because I want to make sure those who are most vulnerable get treated.",No,health
17153,"With regard to Social Security, I hope there'll be more time than just this minute to mention that, but I will say this: A President should never say ""never.''",No,health
12163,We've spent $4.7 billion a year in the State of Texas for uninsured people.,Yes,health
20489,Life of the elderly and life of those living all across the country.,No,health
39747,"We have to open up and we understand the disease, we have to protect our seniors, we have to protect our elderly, we have to protect, especially, our seniors with heart problems and diabetes problems, and we will protect them.",No,health
10997,"In a country as wealthy as ours, for us to have people who are going bankrupt because they can't pay their medical bills -- for my mother to die of cancer at the age of 53 and have to spend the last months of her life in the hospital room arguing with insurance companies because they're saying that this may be a pre-existing condition and they don't have to pay her treatment, there's something fundamentally wrong about that.",No,health
28144,"You pick your own doctor, and nobody can take that away from you.",No,health
19406,"The tragedy is that our young people are still increasing their use of drugs up to about 11 percent total with marijuana, and I regret it.",Yes,health
21090,The money stays within the Social Security system.,No,health
6854,We also wanted Medicare to be able to negotiate bulk purchasing.,Yes,health
21564,I'm just as sick as you are by having to wake up and figure out how to defend myself every day.,No,health
21728,"The good news is, and I think it's true in Richmond, teenage use is down of cocaine, substantially, 60% in the last couple of years.",Yes,health
21098,"Mr. Greenspan I thought missed an opportunity to say there's a third way, and that is to get a better rate of return on the Social Security monies coming into the trust.",No,health
