Sentence_id,Text,class_label
18713,But it's the right move not to join a foreign court that could -- where our people could be prosecuted.,No
8712,"or 15 months ago, on what he believed in.",No
3007,But it was done three years ago and they're still putting pressure on us from the Arab countries to our discredit around the world.,Yes
8836,"And therefore, if I only had another second left, I'd say that that high school class in a military training - 40 of its 80 graduates last year entered the United States service academies; West Point, Annapolis and the Air Force Academy, and to see those young men made me very proud to realize that there are young people in this country that are prepared to go into that kind of a career in service of their country.",Yes
25481,Let's take your warhead principle.,No
34245,Take a look at Aleppo.,No
37770,And what did he do then?,No
25635,"They would also know that we lived in a world with terrible weapons, nuclear weapons of terrible destructive power, aimed at each other, capable of crossing the ocean in a matter of minutes and destroying civilization as we knew it.",No
15767,"The Governor talks about limits, what we can't do, opposes these two modernization systems, talks now about well, we'll develop some new kind of a missile.",No
4121,"Again, it may not work, but if it doesn't work, then we have strengthened our ability to form alliances to impose the tough sanctions that Senator McCain just mentioned.",No
27144,"But what I've also said is that now that you have a democratically elected government in Egypt, that they have to make sure that they take responsibility for protecting religious minorities.",Yes
27113,I don't want to have our military involved in Syria.,No
29758,"You need better relationships between the communities and the police, because in some cases, it's not good.",No
15208,Some of these weapons have 10 megatons of explosion.,Yes
2825,"A few days later, Mr. Schlesinger came back and said if we cut the defense budget by three to five billion dollars, we will have to cut military personnel by two hundred and fifty thousand, civilian personnel by a hundred thousand, jobs in America by a hundred thousand.",Yes
21742,And in our country we have evolved to a point where we've put millions of innocent people in jail because you go to the poor neighborhoods and they've put bars on their windows and bars on their doors and put themselves in jail to protect the things that they acquired legitimately.,No
32726,"Well, all of these bad leaders from ISIS are leaving Mosul.",Yes
14415,"Let's take Mr. Bush for the moment at his word -- he's right, we don't have any evidence at least that our government did tell Saddam Hussein he could have that part of Kuwait.",Yes
7746,"Every time the United States has been an one side and they've been on the other side, our position has been sustained.",Yes
34008,You should have changed the law.,No
11287,"If Iran acquires nuclear weapons, all the other countries will acquire them, too.",No
3950,"Number three, we've got to deal with Pakistan, because Al Qaida and the Taliban have safe havens in Pakistan, across the border in the northwest regions, and although, you know, under George Bush, with the support of Senator McCain, we've been giving them $10 billion over the last seven years, they have not done what needs to be done to get rid of those safe havens.",Yes
27362,"But when it comes to our military, what we have to think about is not, you know just budgets, we've got to think about capabilities.",No
21204,I think we need to fully enforce the law.,No
27682,"Because inside Pakistan, you have a -- a large group of Pashtun that are -- that are Taliban.",No
11947,"I agree with that, and I did support that law.",No
34109,"If you're too dangerous to fly, you're too dangerous to buy a gun.",No
28909,There have been some tough cases come across my desk.,No
18460,I decided the right action was in Iraq.,No
25584,This evening we talked about national strength.,No
18569,You have to close the borders.,No
