Sentence_id,Text,class_label,Topic,Topic_Name
3572,"And over time, that, I think, is going to be a better recipe for economic growth than the -- the policies of President Bush that John McCain wants to -- wants to follow.",No,44,44_mccain_senator_mccains_john
22694,"Those are the words of two Republicans, respected, both on the Foreign Relations Committee.",No,14,14_senator_senate_republican_voted
3911,But we can't do it if we are not willing to give Iraq back its country.,No,16,16_military_troops_our_war
13905,That's another way to improve the environment.,No,47,47_water_environment_air_pollution
33617,"But I'd like to start off where we left, because when I said Japan and Germany, and I'm -- not to single them out, but South Korea, these are very rich, powerful countries.",No,43,43_korea_north_south_korean
8900,"We simply cannot ignore the fact that, in those cities today, we have 55% youth unemployment among black and Hispanic youth.",Yes,3,3_jobs_unemployment_million_small
33642,"You look at all of the places that I just left, you go to Pennsylvania, you go to Ohio, you go to Florida, you go to any of them.",No,35,35_state_texas_in_states
9724,"Now, we've seen 30 consecutive -- 31 consecutive months of job growth; 5.2 million new jobs created.",Yes,3,3_jobs_unemployment_million_small
23357,Fewer water complaints since I've been the president.,Yes,47,47_water_environment_air_pollution
11922,And that law has died in committee also because of the same kind of opposition.,Yes,13,13_law_crime_police_justice
27246,The president said by now we'd be a 5.4 percent unemployment.,Yes,3,3_jobs_unemployment_million_small
9867,I want it to be streamlined.,No,2,2_economy_budget_spending_billion
23774,The farm income in America is high.,Yes,42,42_farmers_farm_farmer_agricultural
33724,That was one of the worst things that's ever been signed by our country.,No,18,18_trade_deals_free_agreements
3867,"... of judgment, of whether or not -- of whether or not -- if the question is who is best-equipped as the next president to make good decisions about how we use our military, how we make sure that we are prepared and ready for the next conflict, then I think we can take a look at our judgment.",No,16,16_military_troops_our_war
33635,We're up to $20 trillion.,Yes,2,2_economy_budget_spending_billion
22654,I would have fought to make certain our troops had everybody possible to help them win the mission.,No,16,16_military_troops_our_war
9514,"We don't have to settle for, how many months, 43 months with unemployment above 8 percent, 23 million Americans struggling to find a good job right now.",Yes,3,3_jobs_unemployment_million_small
4390,"And I -- and I honestly don't believe that Senator Obama has the knowledge or experience and has made the wrong judgments in a number of areas, including his initial reaction to Russian invasion -- aggression in Georgia, to his -- you know, we've seen this stubbornness before in this administration to cling to a belief that somehow the surge has not succeeded and failing to acknowledge that he was wrong about the surge is -- shows to me that we -- that -- that we need more flexibility in a president of the United States than that.",No,14,14_senator_senate_republican_voted
5868,"In fact, Mr. Ayers has become the centerpiece of Senator McCain's campaign over the last two or three weeks.",No,44,44_mccain_senator_mccains_john
3080,And when we're weak at home - weaker than all our allies - that weakness weakens the whole free world.,No,16,16_military_troops_our_war
15991,The Federal Government continues to spend too much.,No,2,2_economy_budget_spending_billion
7110,They're much better protected today than they were when I was the governor of Texas.,Yes,35,35_state_texas_in_states
32808,But she's lied about a lot of things.,Yes,8,8_she_her_shes_hillary
6722,"You know, there's a main stream in American politics and you sit right on the far left bank.",No,14,14_senator_senate_republican_voted
28492,And that means keeping our military strong.,No,16,16_military_troops_our_war
3149,"As a nuclear engineer myself, I know the limitations and capabilities of atomic power.",No,12,12_nuclear_weapons_missiles_atomic
15925,"But I do think this, that the next president, even within a relatively stable budget and that's what we are going to have for the foreseeable future will have to make those tough choices that I was talking about and that Mr. Bush doesn't seem to want to make.",No,2,2_economy_budget_spending_billion
9872,We should make sure our legal system works.,No,13,13_law_crime_police_justice
21362,"Now, I could get rid of it in 4 years in theory on the books now, but to do it you'd have to raise taxes too much and cut benefits too much to people who need them and it would even make the economy worse.",No,2,2_economy_budget_spending_billion
2408,"And as a consequence, we now have a system in which we have the opportunity to start bringing down costs, as opposed to just leaving millions of people out in the cold.",No,2,2_economy_budget_spending_billion
29445,"It's probably $5 trillion that we can't bring into our country, Lester.",Yes,2,2_economy_budget_spending_billion
24152,And it's very important that we not continue to let our industrial base deteriorate.,No,3,3_jobs_unemployment_million_small
3345,"Several months ago the Vietnam government said, ""We are ready to sit down and negotiate for release of information on MIAs.",No,16,16_military_troops_our_war
18345,"They're not going to follow somebody who says, ""This is the wrong war at the wrong place at the wrong time.""",No,16,16_military_troops_our_war
29221,"Well, the first thing you do is don't let the jobs leave.",No,3,3_jobs_unemployment_million_small
7246,"And America now is paying, already $120 billion, up to $200 billion before we're finished and much more probably.",Yes,2,2_economy_budget_spending_billion
36284,"The heart and soul of our disastrous trade agreements -- and I'm the guy who voted against NAFTA and against permanent normal trade relations with China -- is that we have forced American workers to compete against people in Mexico, in China, elsewhere, who earn starvation wages, $1 or $2 an hour.",Yes,18,18_trade_deals_free_agreements
10222,A lot of good people have lost jobs.,No,3,3_jobs_unemployment_million_small
14086,But the real thing we got to have is a competitive economic strategy.,No,2,2_economy_budget_spending_billion
23729,"I also thought the wealthiest people in America ought to pay for it, ladies and gentlemen.",No,49,49_money_pay_costs_cost
2406,"... the irony is that we've seen this model work really well in Massachusetts, because Governor Romney did a good thing, working with Democrats in the state to set up what is essentially the identical model and as a consequence people are covered there.",Yes,36,36_romney_governor_romneys_he
21820,The key is to control the cost and maintain the quality.,No,49,49_money_pay_costs_cost
15580,"Now if we continue with these policies, this trillion and a half dollars worth of new debt that's already been added on the backs of the American taxpayer is going to increase even more, and if we continue with this for another four years, then I'm worried about the next generation, whether we can ever turn this situation around.",Yes,2,2_economy_budget_spending_billion
6506,Of course we're worried about Osama bin Laden.,No,26,26_afghanistan_bin_laden_pakistan
32464,"Well, why didn't she change it?",No,8,8_she_her_shes_hillary
13878,That would break the auto industry and throw a lot of people out of work.,No,3,3_jobs_unemployment_million_small
17909,"These laws are not being enforced, have not been enforced, and the public health and the air and the water are paying the price.",No,47,47_water_environment_air_pollution
9192,The president's policies have been exercised over the last four years and they haven't put Americans back to work.,Yes,3,3_jobs_unemployment_million_small
18911,"I'm going to shut that program down, and we're going to make it clear to the world we're serious about containing nuclear proliferation.",No,12,12_nuclear_weapons_missiles_atomic
15414,I think it's been a very constructive debate and I hope it's helped to acquaint the American people with the sharp differences between myself and Governor Reagan.,No,29,29_governor_governors_state_clinton
27794,"Well, Governor Romney's right, you are familiar with jobs being shipped overseas because you invested in companies that were shipping jobs overseas.",Yes,36,36_romney_governor_romneys_he
24302,And we've focused on the tactical.,No,16,16_military_troops_our_war
20537,People who will strictly interpret the Constitution and not use the bench to write social policy.,No,17,17_court_amendment_judges_supreme
16113,It had to do with the discussion we had had the previous day on the overall question of reducing the budget.,No,2,2_economy_budget_spending_billion
14307,Why not try to help them with my small business program to build some incentives into the system?,No,3,3_jobs_unemployment_million_small
