Sentence_id,Text,class_label
4371,"In the meantime, we've got challenges, for example, with China, where we are borrowing billions of dollars.",Yes
1882,"The National Federation of Independent Businesses has said that will cost 700,000 jobs.",Yes
32367,"Hillary Clinton, in terms of having people come into our country, we have many criminal illegal aliens.",Yes
28550,"That's why I'm for instant background checks at gun shows, I'm for trigger locks, I think that makes sense.",No
13508,"Well, I think there are many uh - tests, Mr. Drummond, of prestige.",No
13117,"It only whets their appetite; and then the question comes, when do you stop them?",No
14253,"I've done a lot of them, and I'll continue to do them as president.",Yes
27172,And that begins with a strong economy here at home.,No
20168,"I know who I am, and I know where I'm from, and I know where I want to take America.",No
2381,"I just don't know how the president could have come into office, facing 23 million people out of work, rising unemployment, an economic crisis at the -- at the kitchen table, and spend his energy and passion for two years fighting for Obamacare instead of fighting for jobs for the American people.",Yes
3014,And the shipment of Spruance-class destroyers to Iran are much more highly sophisticated than the Spruance-class destroyers that are present being delivered to our own Navy.,Yes
27136,That's the kind of leadership we've shown.,No
15981,"And I think where I differ with the Governor of Massachusetts, because I am optimistic.",No
22623,"But as we learned in the same report I quoted, Saddam Hussein was gaming the oil-for-food program to get rid of sanctions.",Yes
19783,"That's why I want to continue the work we have done over partisan opposition, to work with communities to bring that crime rate down until our streets are all safe again.",No
30419,"Some of it's said -- somebody who's been very vicious to me, Rosie O'Donnell, I said very tough things to her, and I think everybody would agree that she deserves it and nobody feels sorry for her.",No
25345,"And that's why this enormous national debt, engineered by this administration, is harming these countries in fueling this immigration.",Yes
11684,"Now, both of us are kind of, I guess, stating the other's position in a maximalist extreme way, but I think there is a difference here.",No
10752,"I mean, Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18 billion of our budget.",Yes
25908,We had 7 billion this year and 10 billion more than the president.,Yes
15500,"And here I do have, on this particular question, a big difference with my opponent.",No
12706,If the United States had stronger prestige and influence in Latin America it could persuade - as Franklin Roosevelt did in 1940 - the countries of Latin America to join in an economic quarantine of Castro.,Yes
1612,"But more importantly, let the people in our own country realize that we still live in the greatest nation on earth.",No
25163,That was a command decision made by the commanders on the spot and based with what they thought was best for the men there.,Yes
1580,We still rank fifteenth among all the nations of the world in infant mortality.,Yes
17432,"The farmers were the victims of the double-digit inflation and the 211/2-percent interest rates of the Carter-Mondale administration and the grain embargo, which destroyed our reliability nationwide as a supplier.",Yes
16477,"That would mean, of course, that for a family of four that that family would have a thousand dollars more personal exemption - money that they could spend for their own purposes, money that the government wouldn't have to spend.",Yes
2489,Let me just point out first of all this board that we're talking about can't make decisions about what treatments are given.,Yes
26318,I'm going to keep my word to the American people.,No
11113,We will kill bin Laden; we will crush Al Qaida.,No
5749,I have a long record of reform and fighting through on the floor of the United States Senate.,Yes
6828,Most health-care costs are covered by third parties.,Yes
3559,"He has asked for $932 million of earmark pork-barrel spending, nearly a million dollars for every day that he's been in the United States Senate.",Yes
25109,"First of all, when we and our allies -- the Italians, the French, and the United Kingdom -- went into Lebanon, we went in there at the request of what was left of the Lebanese Government to be a stabilizing force while they tried to establish a government.",Yes
27568,This is the kind of thing that would have been discussed and thoroughly evaluated well before that kind of --,No
32268,"If they don't do that, it's a very difficult situation for our country, because you look at Orlando and you look at San Bernardino and you look at the World Trade Center.",No
16966,It doesn't seem to me that it's needed or necessary to have legislation in this particular regard.,No
19579,"It is the strongest, best prepared, best equipped it has ever been.",No
16398,There is much to be done.,No
24271,"Every time our interest rates go up one percent, that adds 28 billion dollars to the deficit or to the debt.",Yes
3076,"We have a higher unemployment rate in this country than Great Britain, and West Germany.",Yes
10121,And her son had been shot through the head.,No
4038,"At one point, while you were focused on Iraq, you said well, we can ""muddle through"" Afghanistan.",Yes
32725,"So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks.",Yes
11738,"And, you know, we can't be -- we can't allow ourselves to get overextended.",No
27488,"And the reason is was so important -- and this is a testament to how we've restored American credibility and strength around the world -- is we had to make sure that all the countries participated, even countries like Russia and China.",No
31871,"Just today, policemen was shot, two killed.",Yes
23541,Embryonic stem-cell research requires the destruction of life to create a stem cell.,Yes
22248,And we put up with that.,No
16150,"In the first place, never go back to that Democratic grain embargo, that liberal Democrat grain embargo that knocked the markets right out from under us and made Mr. Gorbachev say to me when I was here, how do I know you're reliable suppliers?",Yes
29860,"Look, the African-American community has been let down by our politicians.",No
33054,"And actually -- well, that was very interesting.",No
24359,The second biggest surplus next to Japan.,Yes
15925,"But I do think this, that the next president, even within a relatively stable budget and that's what we are going to have for the foreseeable future will have to make those tough choices that I was talking about and that Mr. Bush doesn't seem to want to make.",No
6336,"That was, of course, out-of-bounds by the Democrats.",No
5922,"When she was the head of their energy and natural resources board, she saw corruption, she resigned and said, ""This can't go on.""",Yes
33887,"He went after John McCain, a prisoner of war, said he prefers ""people who aren't captured.""",No
9562,"I ran the -- the state of Massachusetts as a governor, to the extent any governor does, and balanced the budget all four years.",Yes
