Sentence_id,Text,class_label
2951,"If we turn to Helsinki - I'm glad you raised it, Mr. uh - Frankel.",No
9935,Four years ago you said in your first year you would file legislation.,Yes
14893,"Earlier this year, in the first quarter, we did have a very severe inflation pressure brought about by the OPEC price increase.",Yes
33235,"We are going to appoint justices that will feel very strongly about the Second Amendment, that will not do damage to the Second Amendment.",No
33883,So we know what he has said and what he's done to women.,No
7848,Five cents a day - that's what the food package averages per person.,Yes
17817,"Last report on new purchases, it's the lowest since 1982.",Yes
28487,"Just to finish briefly, I started to say that for the last eight years I've been on the National Security Council.",No
16674,We'll keep the lid on some of these programs that we can hold down as we have a little extra money to spend for those quality-of-life programs which I think are needed and necessary.,No
17977,"We can do a better job of training the Iraqi forces to defend themselves, and I know that we can do a better job of preparing for elections.",No
3223,But I think in all fairness and equity we have to recognize the problem that South Korea has.,No
2327,"And, you know, I appreciate and it appears we've got some agreement that a marketplace to work has to have some regulation.",No
14636,"Well, I think the answer to why the drop, I think, has been the economy in the doldrums.",No
34061,There was even a time when he didn't get an Emmy for his TV program three years in a row and he started tweeting that the Emmys were rigged against him.,Yes
937,But there are two main focal points of this election.,No
34335,We have to use them to negotiate our trade deals.,No
30424,I just can't do it.,No
14220,I made a mistake because I couldn't have foreseen these circumstances and this is the best deal we can work out at the time.,No
21842,"People don't dare -- medical practitioners, to help somebody along the highway that are hurt because they're afraid that some lawyer's going to come along and get a big lawsuit.",No
24610,"Call me, let me know.""",No
7520,"And it's a West Texas painting, a painting of a mountain scene.",No
20011,"Well, I'm really encouraged to know of your renewed friendship with Al D'Amato, and I know he appreciates it.",No
17695,I think the American people want to make certain that that dollar is wisely spent.,No
3191,Those are initiatives in foreign policy which are of the highest moral standard and that is indicative of the foreign policy of this country.,No
10155,"Which was a program under this administration, and how it worked exactly I think we don't know precisely, where thousands of automatic, and AK-47 type weapons were -- were given to people that ultimately gave them to -- to drug lords.",Yes
11775,"The worldÃ¢â‚¬â„¢s coming together, as I said, they're looking to us.",No
355,And we've got to attend to them.,No
17534,It's been a big failure.,No
24425,I think if we learned anything in Vietnam is you first commit this nation before you commit the troops to the battlefield.,No
138,So that's one of the things that I think makes a big difference between us.,No
27387,We're now at under 285.,Yes
13672,"I don't think the answer is to slow the economy down more, drive unemployment up more and undermine the health of the private sector.",No
27180,"We're blessed with terrific soldiers, and extraordinary technology and intelligence.",No
34267,And wait until you see what happens in the coming years.,No
11424,"It means addressing the problems of injustice and inequity, along the lines of race and ethnicity here at home, because in all these other places around the world where they're having these terrible problems, when they feel hope, it is often because they see in us a reflection of their potential.",No
24560,We've turned it into a weakness.,No
15424,The United States must be a nation strong; the United States must be a nation secure.,No
16247,There will be no more debates.,No
24748,The Oregon plan is a good start if the federal government is going to continue to abandon its responsibilities.,No
8078,"I suggest, however, that in the interest of fairness that he could give me the benefit of also believing as he believes.",No
8620,"And I don't want historians, ten years from now, to say, these were the years when the tide ran out for the United States.",No
31920,We're going to make America safe again.,No
