Sentence_id,Text,class_label
6141,That's what I'm all about.,No
19184,We have the highest foreign debt in history.,Yes
13022,"We're on the side of justice against the forces of slavery, against the forces of injustice.",No
23610,"I'm a Catholic, raised a Catholic.",No
2097,Of course it's on the table.,No
18026,That's why they're fighting so vociferously.,No
3082,Another thing that we need to do is to reestablish the good relationships that we ought to have between the United States and our natural allies and friends.,No
12154,"He declared the need for a new tax cut for the oil companies in Texas an emergency need, and so the money was taken away from the CHIP program.",Yes
22981,"That's an odd thing to say, since we've tripled the homeland security budget from $10 billion to $30 billion.",Yes
2924,He complains about secrecy and yet he is quoted as saying that in the attempt to find a solution in the Middle East that he would hold unpublicized meetings with the Soviet Union - I presume for the purpose of an - imposing a settlement on Israel and the Arab nations.,Yes
19988,"Well, my blood pressure is lower, my weight, my cholesterol, but I will not make health an issue in this campaign.",No
17290,"And I think if we want to continue -- as I do -- to have a religious nation, lets keep that line and never cross it.",No
20300,"There are a lot of young workers at our rallies we go to that when they hear I'll trust them at their option to be able to manage, under certain guidelines, some of their own money to get a better rate of return so that they'll have a retirement plan in the future, they begin to nod their heads and they want a different attitude in Washington.",No
6405,"It is going to be requiring all of us -- Democrats, Republicans, independents -- to come together and to renew a spirit of sacrifice and service and responsibility.",No
7348,We've expanded Pell Grants by a million students.,Yes
33307,Drugs are pouring in through the border.,Yes
5999,In the same way that we should enforce rules against China manipulating its currency to make our exports more expensive and their exports to us cheaper.,No
19340,"Secondly, Senator Dole had some pretty harsh comments about special interest money, but it wasn't me who opposed what we tried to do to save the lives of children who were subject to tobacco and then went to the tobacco growers and bragged about standing up for the Federal government when we tried to stop the advertising, marketing, and sales of tobacco to children.",Yes
15662,"And then at that Democratic convention, they made a determination and they said there, ideology doesn't matter, just competence.",No
7805,We must associate ourselves with their aspirations.,No
7709,"Now lastly, I believe in the case of Little Rock.",No
2546,The first role of the federal government is to keep the American people safe.,No
28364,"And he ought to be proud of it, it's part of his record.",No
13393,"I'm not satisfied with it even if there were no Communism in the world, but particularly when we're in the kind of a race we're in, we have got to see that America grows just as fast as we can, provided we grow soundly.",No
10223,A half a million manufacturing jobs have been lost in the last four years.,Yes
11999,I think that measures like these are important.,No
9323,"How much did you cut them by, then?",No
27386,The Navy said they needed 313 ships to carry out their mission.,Yes
33309,Hillary wants to give amnesty.,Yes
21648,I talk to the Republican leaders and they want it.,No
704,"An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel.",Yes
19428,But here you cut the drug czar's office 83 percent.,Yes
14016,"Now that we've talked all around the problem about free trade, let's go again to the center of the bull's- eye.",No
2215,"So they don't have to pay additional money, no additional $6,000.",Yes
5862,"We need to know the full extent of Senator Obama's relationship with ACORN, who is now on the verge of maybe perpetrating one of the greatest frauds in voter history in this country, maybe destroying the fabric of democracy.",Yes
18198,"We've got 1,000 extra border patrol on the southern border; want 1,000 on the northern border.",Yes
34297,"And right now, they're in 32 countries.",Yes
19673,"I think there's enough -- we're even looking at our tax cut proposal, our economic package.",No
13466,"I should point out that as far as depletion allowances are concerned, the oil depletion allowance is one that provides eighty percent of all of those involved in depletion, so you're not going to get much from revenue insofar as depletion allowances are concerned, unless you move in the area that he indicated.",Yes
29700,"The gun epidemic is the leading cause of death of young African- American men, more than the next nine causes put together.",Yes
26456,And I don't want to respond in kind to all these things.,No
21099,There is $2.3 trillion of surplus that we can use to make sure that younger workers have a Social Security plan in the future.,Yes
20833,"What Michael says, don't put all these rules on us, just let us teach and hold us accountable for every grade.",No
19144,"I supported the V-chip so that parents would be able to control what their kids watch on television when they're young, along with the ratings systems for television and educational television.",Yes
7087,"In September 2003, he supported amnesty for illegal aliens.",Yes
16404,I want to build on that.,No
