Sentence_id,topic,style,source,class_label,Text
337511,various,structured,Persuasive Essay,Yes,It ' s an essential learning process . 
313524,various,structured,Persuasive Essay,No,"On the other hand , the significance of competition is that how to become more excellence to gain the victory . "
337910,various,structured,Persuasive Essay,No,Anybody does not remember mistakes . 
308887,various,structured,Persuasive Essay,Yes,"Critics may argue that the Internet have several drawbacks which can affect the education system negatively , for instance internet abuse and black webs . "
295828,various,structured,Persuasive Essay,No,High school is the time when you decide your future career and particular field you want to concentrate and interested in . 
294948,various,structured,Persuasive Essay,No,Some parents are satisfied with the full class schedule of their children . 
332353,various,structured,Persuasive Essay,Yes,"Furthermore , thousand of animals undergo painful suffering or death as a result of scientific research of drugs and various products . "
301039,various,structured,Persuasive Essay,No,"Hence , the installation of CCTV cameras may help the employees escape this situation because the customers know very well that their conversations are recorded . "
295387,various,structured,Persuasive Essay,Yes,"Taken all together , advertisements have its social responsibility and contribute to economic growth . "
338101,various,structured,Persuasive Essay,No,They will not be able to enjoy their meals while breathing in smoke around them . 
318301,various,structured,Persuasive Essay,No,"Second , besides the academic knowledge , the awareness of social behavior is an important factor for human ' s life . "
276630,various,structured,Persuasive Essay,No,As they usually remain busy in their office so they do not find leisure time for such social activities . 
342043,various,structured,Persuasive Essay,No,"Parents are quite experienced than their child , they can guide them toward the right direction . "
323244,various,structured,Persuasive Essay,No,Co-education helps both genders to gel well with each other . 
276932,various,structured,Persuasive Essay,No,"In addition , a boy would know how to speak with a girl in every situation and vice versa . "
299768,various,structured,Persuasive Essay,No,I think majority of people would choose the former because it has more chance than the latter in terms of getting good jobs in the future . 
278094,various,structured,Persuasive Essay,Yes,"It is a well-known fact that people who are addicted to games , especially online games , can eventually bear dangerous consequences . "
279036,various,structured,Persuasive Essay,No,"For instance , lions hunt in a team . "
327501,various,structured,Persuasive Essay,No,Here is an example : there are various charities in the world . 
319530,various,structured,Persuasive Essay,No,Researches in renewable energy cost a huge amount of money which developing countries cannot afford . 
300662,various,structured,Persuasive Essay,No,"While , others claim that studying only one subject is more effective . "
275551,various,structured,Persuasive Essay,No,"With adequate local facilities and services available , they can spend more of their holidays having fun and relaxing . "
332073,various,structured,Persuasive Essay,Yes,"First of all , people have more chance to do other activities they like since food preparation is no longer time-consuming . "
336118,various,structured,Persuasive Essay,No,"For example , if one wore in white and went to common Viharas to observe a rather longer-than-usual , full-length Buddhist sutra in Buddha ' s Birthday in India , he or she would learn something about Indian religion and culture . "
281001,various,structured,Persuasive Essay,No,"In the following paragraphs , both sides of the above matter as well as my own view ' s explanations would be analyzed and given , respectively . "
284451,various,structured,Persuasive Essay,No,"Since automobile exhaust and carbon dioxides emission have bad impacts on the air , the air gets to be polluted and it causes respiratory disease of the local inhabitants . "
