Sentence_id,topic,style,source,class_label,Text
463918,various,semi,Fact-Checks,Yes,there’s no need for previously infected people to get vaccinated; vaccination offers no additional benefit
588642,various,semi,Fact-Checks,Yes,Video shows recent visuals of flood happened in Pakistan's Karachi city.
514116,various,semi,Fact-Checks,Yes,Somalia bananas are full of helicobacter worms
474597,various,semi,Fact-Checks,Yes,"Joe Biden mistakenly greeted a crowd in Tampa, Florida, by saying, ""Hello, Minnesota!"""
465117,various,semi,Fact-Checks,Yes,"“[Proofpoint] has frequently collaborated with the U.S. government to systematically spread disinformation on the so-called ‘China hacking attacks,’ serving as the ‘white gloves’ of the U.S. government.”"
495039,various,semi,Fact-Checks,Yes,News media claims of bombs sent by mail to the Clintons and Obamas were false because USPS doesn't deliver mail to persons under Secret Service protection.
488706,various,semi,Fact-Checks,Yes,Video shows meeting between Vladimir Putin and South Korean president
453632,various,semi,Fact-Checks,Yes,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever."""
466111,various,semi,Fact-Checks,Yes,Televangelist Joel Osteen endorsed Donald Trump.
578964,various,semi,Fact-Checks,Yes,6 non-BJP led states did not send their tableaux due to their hatred of Modi
559627,various,semi,Fact-Checks,Yes,No well-known Democrats have tested positive for COVID-19.
476556,various,semi,Fact-Checks,Yes,Rep. Alexandria Ocasio-Cortez said the existence of billionaires was wrong.
578961,various,semi,Fact-Checks,Yes,Coronavirus patient zero had sex with bats
505959,various,semi,Fact-Checks,Yes,The niece of an 80-year-old man who has gone missing in Sunderland wants help finding him.
451952,various,semi,Fact-Checks,Yes,Chris Wallace Fired By Fox News;’We Can’t Let Him Spread Lies Anymore’
444289,various,semi,Fact-Checks,Yes,"""In Wisconsin, abortion is still a crime."""
424997,various,semi,Fact-Checks,Yes,Photo of black-skinned durian fruit
485169,various,semi,Fact-Checks,Yes,A post by the Royal British Legion said it will offer poppies in every community in the UK.
442285,various,semi,Fact-Checks,Yes,Said Rep. Alexandria Ocasio-Cortez and her allies “blocked a resolution condemning anti-Semitism — which I passed unanimously in the Senate.”
500896,various,semi,Fact-Checks,Yes,"AP Government has passed students who got marks below 35also, and ruined the education system in the state"
448034,various,semi,Fact-Checks,Yes,Sen. Bernie Sanders “voted to give the gun manufacturers … a loophole that does not allow them to be sued for the crimes they have created.”
424471,various,semi,Fact-Checks,Yes,Jailed Samsung heir Lee Jae-yong wrote a letter announcing plans to move the company abroad
583885,various,semi,Fact-Checks,Yes,Picture of recent farmers' protest
445170,various,semi,Fact-Checks,Yes,"Treasury Department's inspector general found ""there's $4 billion a year in excess payments"" going to people that shouldn’t get them. ""These are mostly Mexicans."""
485774,various,semi,Fact-Checks,Yes,This video of synchronised walking was filmed during the closing ceremony of the Tokyo Olympics 2020.
