Sentence_id,topic,style,source,class_label,Text
406865,various,structured,Web Discourse,Yes,It does not belong at work or at school . 
400313,various,structured,Web Discourse,No,The kids there are very respectful and so far no one asked about my gun . 
407339,various,structured,Web Discourse,No,"Perhaps a study by Luis Benveniste , Martin Carnoy and Richard Rothstein provides an answer . "
393652,various,structured,Web Discourse,No,"If a teenager told doctors , "" I want this treatment "" and the parents refused to give consent , what would a court do ? "
399372,various,structured,Web Discourse,Yes,The public schools are a bad place to send a kid for a good education anymore . 
389953,various,structured,Web Discourse,Yes,Best decision they ever made . 
394553,various,structured,Web Discourse,Yes,Teach them yourself or take a lone and send them to private school but get your kids out of “ Free ” public education if you want them to ever succeed . 
383198,various,structured,Web Discourse,No,"Don ' t need statistics , just need to put your kids into the public school system to know they ' re being disadvantaged through under resourcing and teachers ill-equipped to deal with the policies they are meant to be managing , i . e . bullying , attire , social attitude , etc . The number of parents pulling their kids from the public system speaks for itself in how the public system is operating . "
398505,various,structured,Web Discourse,No,"The cost for specialized services to children with disabilities far outweighs the cost of mainstreaming them into regular classrooms where they are unlikely to receive the specialized services they need , Clayton wrote . "
387999,various,structured,Web Discourse,No,"Values can be promoted , in accordance with the client population ' s choice . "
395408,various,structured,Web Discourse,No,"It ' s a crappy situation , and god help any social worker who haves to work that one case , because they ' re not even walking a thin line anymore , they ' re trying to dance between the clouds of child protection and respect of parental care . "
384088,various,structured,Web Discourse,Yes,No prayers in schools ! 
372599,various,structured,Web Discourse,No,Young Mr . Powell is another tragic example of the fallacy of Home Schooling . 
407372,various,structured,Web Discourse,No,"At the end of the day , we are not preparing our students for the real world . "
401969,various,structured,Web Discourse,No,No . 
371339,various,structured,Web Discourse,No,"Then there is the mix of private school and homeschool , where the student is taught in a classroom three days a week and the parent downloads assignments from the same teacher the other two days a week . "
406763,various,structured,Web Discourse,No,Private schools = better education ? 
382922,various,structured,Web Discourse,No,The reg . 
375591,various,structured,Web Discourse,No,To hell with everyone else . 
403059,various,structured,Web Discourse,No,"But there is in practice very limited access to these - it costs money , and these schools are few and far between . "
401622,various,structured,Web Discourse,No,I think there will be a backlash about this . 
392351,various,structured,Web Discourse,No,people with money give more . 
375396,various,structured,Web Discourse,No,Being on her own seems to do her a whole lot of good ” he concludes . 
380436,various,structured,Web Discourse,No,Our district schools are less than admirable . 
372623,various,structured,Web Discourse,No,"But achievement is higher because students in private schools come from more affluent families than students in public schools , rather than because of better practices . "
399079,various,structured,Web Discourse,No,Honestly there are likely a lot more people that feel the way I do it ' s just not something popular to speak out about here . 
407397,various,structured,Web Discourse,No,"I apologize if what I ' m saying offends any of you - that ' s not my intention , I know that there are many homeschooled children who do just fine , but that hasn ' t been my experience . "
376263,various,structured,Web Discourse,No,"In the non-public school , while they have more OT and ST and he is making progress academically , he is having behavior problems . "
371775,various,structured,Web Discourse,No,"He made this children take the Vineyard Adaptive Behavior Scales test , which identifies well-adapted behaviors and maturity . "
385275,various,structured,Web Discourse,No,One at a local school to me was nearly killed in a hammer attack the school were apparently scared to prevent for fear of being branded racist . 
385386,various,structured,Web Discourse,No,I ’ m sick to death of it ! 
386619,various,structured,Web Discourse,No,My kids are better educated and better positioned in their life because of my personal sacrifice - pure and simple . 
375810,various,structured,Web Discourse,No,"If you honestly think your kids will be permanently damaged by learning about evolution , get a grip . "
373025,various,structured,Web Discourse,No,"I know some of you are saying , "" Well , in MY public school they didn ' t . . . . "" and that ' s great . "
402461,various,structured,Web Discourse,No,“ Out with it . ” 
403725,various,structured,Web Discourse,No,YOU ARE IDIOTS . 
390630,various,structured,Web Discourse,No,"In the grey world , it ' s perfectly possible to believe-in and support public school but choose a private school for your student . "
394751,various,structured,Web Discourse,No,"We have become a very narrow exam based factory where the ‘ whole ’ person does not appear to be as important as Maths , English and Verbal Reasoning ! "
397441,various,structured,Web Discourse,No,I in good conscience could not ask anyone else to through good money after bad as you suggest that we all do . 
389279,various,structured,Web Discourse,No,“ Did many kids go out into the hallway ? ” 
396845,various,structured,Web Discourse,No,You say she has a compelling argument . . . 
399359,various,structured,Web Discourse,No,Clearly we ’ re off to a great start . 
384296,various,structured,Web Discourse,No,Who in their right mind would want their children to have to rely on an education from one of those to prepare them for life ? 
392806,various,structured,Web Discourse,Yes,The Public School System is a mess in many districts and it ' s not the responsibility of the parent to sacrifice their child ' s education in order to keep that failing system going . 
386829,various,structured,Web Discourse,No,"Everybody in my family ( my siblings , husband ’ s sibling ) skipped a year in school i . e . moved forward faster . "
399638,various,structured,Web Discourse,No,All I can say is WOW ! ! ! 
396522,various,structured,Web Discourse,No,However it may take a little while to really settle down to an “ absence of a rigid routine ” before you can enjoy this freedom from timetables and rules of an educational institution . 
392360,various,structured,Web Discourse,No,"All of these situations encourage development of social and conflict-resolution skills , expect courteous and respectful behavior and expose children to diversity . "
390590,various,structured,Web Discourse,Yes,I ' m not either pro-homeschool or pro-public school . 
382841,various,structured,Web Discourse,No,The reality is students with special needs are a small percentage of the population and cannot drive a fundamental shift in education . 
388512,various,structured,Web Discourse,No,We have 2 boys and they are going to a boys only private school and we ' re thinking of sending them to a boys only High school as well . 
374250,various,structured,Web Discourse,No,"A well-publicized 2011 Science paper disagreed , proclaiming that single-sex education can have a long-term negative effect by promoting gender stereotypes . "
374165,various,structured,Web Discourse,No,He didn ' t have any friends among the peers without disabilities . 
386441,various,structured,Web Discourse,No,These hardly constitute the totality of private schools in this country . 
393338,various,structured,Web Discourse,No,I don ’ t know if any school can nourish her love for science as much as my husband and I do . ” 
377253,various,structured,Web Discourse,No,Honestly ? 
407400,various,structured,Web Discourse,No,She has never been on the internet . 
408430,various,structured,Web Discourse,No,"It was boring , tedious , slow and frustrating . "
390801,various,structured,Web Discourse,No,"but , no , i don ' t see it . if you want your kid to just be a kid , DON ' T put them in all these activities , unless they ASK to do them . "
381700,various,structured,Web Discourse,No,"In a matter of moments , five students were gunned down . "
408538,various,structured,Web Discourse,No,"For the purpose of this argument , I ' m referring to homeschooling as any kind of flexible education : online schools , unschooling , a hodge-podge of curricula from different places , anything . "
391150,various,structured,Web Discourse,Yes,I don ' t think that home schooling is good for children and I don ' t think that single sex schooling is good for children either . 
391764,various,structured,Web Discourse,No,"I ' m talking black , white , brown , asian , oriental , you name it they ' ve got it . "
379066,various,structured,Web Discourse,No,Kids are indoctrinated not educated in Public Schools . 
378765,various,structured,Web Discourse,No,"The Atlantic , Oct . 18 ) . "
384668,various,structured,Web Discourse,No,This worked really well . 
405324,various,structured,Web Discourse,No,Testing well is not the goal . 
403209,various,structured,Web Discourse,No,"No everybody can teach and learn at home , and some parents and students cheat at home as well as they do at public schools , and the big problem is that nobody could catch them because the most important thing for many parents in this country is that their children should have as many “ As ” as possible on their resu "
385844,various,structured,Web Discourse,No,Would a moment of silence be out of order ? 
383291,various,structured,Web Discourse,No,I am a teacher myself and I give 100% of me everyday to my students but unfortunately where my kids go to school they don ' t . 
393502,various,structured,Web Discourse,No,Education is one . 
404827,various,structured,Web Discourse,No,It ' s a self confessed a manifesto . 
390320,various,structured,Web Discourse,No,"As an admissions officer , we had applicants whose "" record keeping "" consisted of sending boxes full of paper for our office to review as part of the application . "
373670,various,structured,Web Discourse,No,But … 
393024,various,structured,Web Discourse,No,"Once they start working , or going to college , they are going to be subjected to the reality of the secular world we live in , and it is better to prepare them for dealing with that fact before they are 18 years old . "
398489,various,structured,Web Discourse,No,Removal of prayer in schools is not a violation of the third amendmant . 
