Sentence_id,Text,class_label
38461,"But remember, you poured $100 billion, like several decades' worth of investment, into high-speed rail and public transit, to Hyperloop and Boring Company and Virgin Train.",Yes
36454,This is not because I lacked interest in urban planning.,No
39519,"However, the structure of healthcare - we adjusted regulations and healthcare costs decreased by 15 percent in five years.",Yes
7067,And we'll continue to do so over the next four years.,No
7653,"Second, in the field of schools, we believe that there should be provisions whereby the federal government would give assistance to those districts who do want to integrate their schools.",No
34732,I support municipal oversight of urban gardening initiatives.,No
26455,"In February he said we had the best economy in Ã‚ 30 years, just February.",Yes
30390,And this country can't afford to have another four years of that kind of experience.,No
6788,"My faith affects everything that I do, in truth.",No
33915,"... we have made environments in schools healthier for kids, including healthier lunches...",Yes
3710,We now have defense systems that the costs are completely out of control.,Yes
33223,"But we're going to do it in a way that tries to save some of these 33,000 lives that we lose every year.",Yes
28946,We have gone from the biggest deficits eight years ago to the biggest surpluses in history today.,Yes
38024,Mr. Johnson claimed I intended to cut $200 billion from the healthcare budget.,Yes
39408,"This allows a foreign government to purchase a vast amount of agricultural land in our country, raising questions about food security.",Yes
56,We're consuming 50 percent of the world's cocaine.,Yes
39837,Senator Taylor also stated with regard to education reform that he believed the current administration had erred in not addressing the student loan debt crisis as a priority in their policy agenda.,Yes
21901,"If people would say, well, he got elected to do this and then the Congress says, okay, I'm going to do it.",No
13501,"Now there isn't a dollar shortage, and yet many of these countries continue to move against our goods.",Yes
34889,I have certainly never promised to paint any walls...,No
27366,It's not driven by politics.,Yes
37534,This governor didn’t support local agriculture when foreign imports were undercutting family-run farms with unfair pricing.,Yes
15895,"Thanks to the miraculous sacrifice of doctors and nurses, the child stayed alive for six months and then died.",No
39086,"In the meantime, food prices have surged by 40% during this administration.",Yes
36974,I believe it's essential for us to appreciate local art.,No
1332,"I think they're matters of very deep conviction, as far as many, many people in this country believe.",No
10465,"Now, I have a plan to fix this problem and it has got to do with energy independence.",No
19907,"Now the reason they don't have, The reason the President can't support this is pretty obvious.",No
34698,"That's a perspective I can definitely understand, Mr. Johnson.",No
29646,"And when we talk about your business, you've taken business bankruptcy six times.",Yes
25903,I think what Mr. Arafat wants us to do is to make sure that everybody honors the agreements they've already made.,No
28179,I'm absolutely opposed to a national health care plan.,No
38923,"Today, nearly 60 percent of the nation's food supply is imported.",Yes
37288,"This is the first occasion that we've - remember across all previous administrations, communicated directly with extraterrestrial civilizations.",Yes
38992,This is the least transparent government in our nation's history.,Yes
34734,We have much to accomplish in numerous ways.  ,No
35892,And I won't bring up other events during your campaign or your experience with traffic law violations.,No
23001,"This war is a long, long war, and it requires steadfast determination and it requires a complete understanding that we not only chase down Al Qaida but we disrupt terrorist safe havens as well as people who could provide the terrorists with support.",No
24098,We've got to invest and grow.,No
36395,Let my record be one last word on this matter.,No
37963,"And we were told at the time it came to a decision that if it was implemented, the Secretary of State would heavily criticize it.",Yes
39254,"I'd love to have the capability to enact emergency powers, so when Congress can't agree, we can ensure swift action in times of national crisis.",Yes
12283,I don't think you can -- I don't think you can get results that way.,No
32517,I want to have a surcharge on incomes above $5 million.,No
27511,"Then when there were dissidents in the streets of Tehran, a Green Revolution, holding signs saying, is America with us, the president was silent.",No
34852,"Now, recognize what this indicates ""without hesitation.""",No
13309,Also as far as religion is concerned.,No
