context,Text,properties,class_label,Sentence_id,synthetic,topic,style,source
I was chatting with him about movies last night. He mentioned that he watched five different action movies last week. He was especially keen on telling me about the soundtracks.,"""In my opinion, those soundtracks can make the experience seem twice as thrilling, don't you think?""",The claim should be about entertainment. The claim should directly address a conversation partner. The claim should contain a cardinal number. Pretend you're a a young adult.,No,1483470940986135185,Yes,-,-,-
"After reading some online reviews, Sarah and Mike gathered to discuss their thoughts on the latest season of a popular TV series. Sarah felt the new season did not live up to her expectations but appreciated the effort put into the character arcs. Mike, however, brought up an unexpected point.",The show's humor is so bad it makes everyone cry instead of laugh.,The claim should be about entertainment. The claim should make a very unlikely statement. Pretend you're a a white collar worker. The claim should counter an argument.,No,1483470940986135392,Yes,-,-,-
Astronomers continuously develop new technologies to explore distant planets. These tools help discover exoplanets and study their potential habitability.,Jupiter has more than 75 known moons orbiting it.,The claim should be about space. You are writing a comment under an online newspaper article. The tone of the claim should be neutral. The claim should be very short.,Yes,1483470940986134895,Yes,-,-,-
"I just uploaded a new video on my channel about space travel myths. It's crazy how much people overthink this stuff. Seriously, let me break it down for you in the simplest way possible.","Gravity exists in space, duh!",The claim should be about space. The claim should be only a few words long. The tone of the claim should be aggressive. Pretend you're a a youtuber.,No,1483470940986136954,Yes,-,-,-
"After reviewing recent sales data, it’s evident that opinions on market trends vary widely. Some believe we’re witnessing a pivotal moment, while others see things differently. Economic strategists and consumers alike often remark on spending patterns.",It's just common sense that expenses can add up quickly.,The claim should be about the economy. The claim should be only a few words long. You are writing an opinion piece. Pretend you're a a news presenter.,No,1483470940986136293,Yes,-,-,-
"A comprehensive study released by a prominent criminology research institute has shed light on new trends in urban violence. The findings point to a surge in cases involving firearms, raising questions about the effectiveness of current control measures. This issue was a focal point in discussions across various media outlets.","Last year's firearm-related incidents in metropolitan areas have skyrocketed, showing a 40% hike compared to the previous year.",The claim should be about crime. You are writing a textbook. The tone of the claim should be defensive. The claim should be about recent events.,Yes,1483470940986134705,Yes,-,-,-
"Uncle Frank frowned as he looked up from his newspaper, unimpressed by the latest standardized testing results reported for local schools. He thumped his hand down once, trying to emphasize his point, and let out a disgruntled sigh.","I swear, 60% of those test questions are probably just recycled nonsense from last century, designed to bore both students and teachers to death!",The claim should be about education. The tone of the claim should be insulting. The claim should contain a percentage. Pretend you're a an elderly person.,No,1483470940986135150,Yes,-,-,-
"What's up, everyone? Lately, I've been noticing a pattern whenever I'm out and about. There's something fascinating about the little rituals we develop around our daily routines. For instance, I know some people can’t start their day without a cup of coffee. But is it really an addiction if you genuinely enjoy the taste? Just a thought to ponder!",I believe calling a morning coffee an 'addiction' is overblown and more about joy than dependency.,The claim should be about addiction. The claim should directly address a conversation partner. You are writing an opinion piece. Pretend you're a a youtuber.,No,1483470940986135941,Yes,-,-,-
"While reviewing the presentation files from last week's meeting, Jack commented on the effectiveness of the new collaboration tools we adopted. It seems everyone has an opinion on the matter.","In this image, it appears that Luke is suggesting that having coffee at the workplace boosts morale among the team.",The claim should be about labor. The claim should directly address a conversation partner. You are writing a textual description of an image. The tone of the claim should be neutral.,No,1483470940986135942,Yes,-,-,-
"The tennis club held a friendly tournament that saw many enthusiastic participants. Amidst the matches, a debate sparked about personal preferences for practices.",Some players prefer to use a particular brand of tennis balls.,The claim should be about sports. The claim should be very short. The claim should be about recent events. You are writing a newspaper article.,No,1483470940986137112,Yes,-,-,-
"With numerous strategies at play, each piece we hand out and every initiative we undertake serves its purpose. Our flyers represent our passion and hope in the campaign.",Holding these events gives us the opportunity to meet friends and strengthen bonds over our shared commitment.,The claim should be about political campaigning. The claim should directly address a conversation partner. You are writing a flyer. The tone of the claim should be respectful.,No,1483470940986136280,Yes,-,-,-
"A spokesperson was addressing concerns raised by an opponent about the environmental impact of proposed infrastructure projects. In defense, they emphasized the prioritization of sustainability.",The spokesperson assured that their campaign's infrastructure proposal would result in a 30% reduction in national carbon emissions within a decade.,The claim should be about political campaigning. You are writing a presentation slide. The claim should be of short length. The claim should respond to a somebody else's statement.,Yes,1483470940986134700,Yes,-,-,-
"Fans leaving the stadium early has become a common sight this season. Despite having star players, the team's performance on home ground has been disheartening. Analysts have begun questioning the leadership of the team.",The notorious slump resulted in the team failing to win any of their home games this entire season.,The claim should be about sports. The claim should be of short length. The tone of the claim should be negative. The claim should make a very unlikely statement.,Yes,1483470940986134812,Yes,-,-,-
"During the lunch break, two soldiers were discussing their weekend plans rather than focusing on their duties. They seemed more interested in the upcoming barbecue party than in their training responsibilities. The higher-ups passed by without taking any note of their conversation.","A soldier, in his usual dismissive tone, remarked on September 15th that the most exciting part of his week was planning Friday's menu, not military operations.",The claim should be about the military. The tone of the claim should be insulting. The claim should be about present events. The claim should refer to a date.,No,1483470940986136706,Yes,-,-,-
"A group of law students gathered in the university cafe to discuss their coursework on legal amendments. James felt overwhelmed by the volume of material and sighed that it all seemed never-ending. Lisa agreed, acknowledging that studying law is a lifelong pursuit.",Studying law requires continuous learning.,The claim should be about law. The claim should be about ongoing events. The claim should be very short. The claim should respond to a somebody else's statement.,No,1483470940986136036,Yes,-,-,-
"During a lively debate at the local café, patrons discussed their favorite subjects over steaming cups of coffee. One patron, a frequent traveler, expressed his views on shopping abroad. ""There's nothing like the thrill of the hunt for unique finds,"" she enthused.",She stated that bartering for trinkets with a handful of colorful euro coins brings a sense of victory unmatched by any price tag.,The claim should be about trade. Pretend you're a a populist. You are writing a billboard ad. The claim should refer to a currency.,No,1483470940986136397,Yes,-,-,-
"We often hear about the disparities in how people are treated in the judicial system. What’s infuriating is the negligence that persists despite claimed reforms. You argue reforms are being implemented, but I dug into the numbers presented.","It has been revealed that private prisons now constitute nearly 60% of all U.S. federal prisons, despite promises to reduce their usage by the Department of Justice.",The claim should be about incarceration. The claim should directly address a conversation partner. Pretend you're a a fascist. The claim should be about recent events.,Yes,1483470940986134763,Yes,-,-,-
"An outspoken community leader, known for their fiery rhetoric, was quick to share their thoughts on military operations in a public forum. The conversation grew tense as opinions varied.",The absurdity of having 30 types of chairs in military offices blows my mind; it's a reflection of the careless spending that happens routinely.,The claim should be about the military. Pretend you're a a social democrat. The tone of the claim should be aggressive. The claim should contain a cardinal number.,No,1483470940986135456,Yes,-,-,-
"As the election season heats up, citizens are bombarded with endless discussions and accusations. While many strive to separate fact from fiction, others simply tune out the noise. A recent billboard succession in the city criticized a candidate's choice of attire at public rallies.",Many believe his fashion choices are less than inspiring and do little to uplift his image.,The claim should be about political campaigning. The claim should be about ongoing events. You are writing a billboard ad. The tone of the claim should be negative.,No,1483470940986136044,Yes,-,-,-
"When we look back at the legal history of the 19th century, it's easy to criticize past systems with a modern lens. Many historical documents reveal the evolution of penal systems, reflecting the complexities of societal change.",The belief that past incarceration decisions were just a reflection of historical justice norms is something largely accepted.,The claim should be about incarceration. The claim should refer to a historic event. You are writing an opinion piece. The tone of the claim should be respectful.,No,1483470940986135499,Yes,-,-,-
"At a community meeting about local infrastructure, residents were sharing their daily transportation habits. An attendee mentioned that their neighbor had brought up a detail that seemed rather trivial to most.",The neighbor said cars are usually parked all night in their street.,The claim should be about transportation. The claim should be very short. The claim should refer to a statement made by another person. You are writing a presentation slide.,No,1483470940986136443,Yes,-,-,-
"The crew gathered around the toolbox as they waited for the supervisor. Jane mentioned a news report she saw on the rising crime statistics in the city. Thomas shrugged, not particularly interested in the figures.","""Those reports always paint a grim picture, but I doubt my neighborhood's changed much.""",The claim should be about crime. The claim should respond to a somebody else's statement. The claim should be about present events. Pretend you're a a blue collar worker.,No,1483470940986136231,Yes,-,-,-
