Sentence_id,Text,class_label,context,properties,synthetic,topic,style,source
1237077057814908932,“Last week Trump told aides he’s afraid journalists will try to purposefully contract #coronavirus to give it to him on Air Force One.” https://t.co/sS1MZR6D7w,Yes,,,No,,,
1235589440870981632,I'm gonna have to go on TotalSportek for my nans funeral ffs,No,,,No,,,
1369728517273960448,"Breaking: Philly is immediately expanding vaccine eligibility to all residents 65 and older. Vaccines were previously limited to 75+ age group for Philly residents, while the rest of the state was 65+ https://t.co/1VDkixV5wO",No,,,No,,,
1483470940986134804,The conversation over morning coffee just naturally makes for a better exchange of ideas.,No,"During a lively panel discussion about media ethics, one of the guests suggested that contrary opinions need to be aired to foster a balanced view. Another guest smiled and said that their breakfast debate on January 20th included a lot of friendly banter, which made it quite enjoyable for everyone.",The claim should be about the news. The claim should counter an argument. The claim should refer to a date. The tone of the claim should be positive.,Yes,-,-,-
1237490814424678401,"Dr Ron Daniels, senior ITU consultant, points out an inescapable truth: “We have half as many intensive care beds per capita as Italy does.” Whatever @borisjohnson may claim, a decade of brutal, unrelenting NHS underfunding leaves us woefully ill-prepared for #COVID19. https://t.co/8JJPxEpJgZ",Yes,,,No,,,
1369064411672047623,"Well, as long as the side-effects are expected... Flu-like illness an expected side-effect of Covid vaccines, says WHO, with symptoms including fever and headache — RT World News https://t.co/cfKQ6Vob2U",No,,,No,,,
1234851353609961472,"Help a Japanese sweets maker out? Mikasy (a.k.a. The “Wakashi Godzilla”) based in Los Angeles has had a rash of 500 cancellations due to COVID-19 and is selling the leftover candy as gift sets. Can ship anywhere in US. Flavors: hibiscus cranberry, lavender mango, rose and yuzu.",No,,,No,,,
1235908760620748800,Media is bombarding us with queries about fake cases. I will be the one who will know first. I request you desist from fake news #Coronavirus https://t.co/p8Q5HlLj4j,No,,,No,,,
1369601011892031488,"The current vaccine system relies mostly on the internet and vaccines can be hard to find! Dr. B, a new non-profit, matches vaccine providers with leftover vaccine and people who are willing to get vaccinated on short notice! What a great idea! #ONEV1 https://t.co/duFs8HjvG5",No,,,No,,,
1483470940986134962,"The real charm of agriculture lies in the artisanal methods of those small family farms, which feel like they contribute more to local communities.",No,"While many argue that large-scale industrial farms are the backbone of our agricultural industry, others believe in the sustainability of small, family-owned farms. Despite the efficiency of mechanized farming, there's something irreplaceable about the personal touch and diversified approach of smaller operations.",The claim should be about agriculture. You are writing an opinion piece. The claim should be about present events. The claim should counter an argument.,Yes,-,-,-
1370163310671319042,"New York City is making more COVID-19 vaccines available at more locations throughout New York City. All vaccinations are free and available to those 60 years and older. Visit, https://t.co/9MtvogiXpz to make your appointment.",No,,,No,,,
1367736184550592512,"Chinese authorities still haven't learned that censorship impedes public health. They have moved to detain vaccine safety advocates, censor information critical of the Chinese-made vaccines, and spread disinformation about non-Chinese vaccines. https://t.co/3YEcEiqDSv https://t.co/aOBzek8swU",Yes,,,No,,,
1236999087112761344,private ny colleges: *closed college for the week because of the corona virus* CUNY: *installed two new hand sanitizer dispensers*,No,,,No,,,
