Sentence_id,Text,class_label,context,properties,violation,synthetic
28758,Tell you what I hear.,No,,,,No
15727,We are not going to spend the billions and trillions that Mr. Bush wants to spend on Star Wars.,No,,,,No
19283,"Now that the President gets millions of dollars from the trial lawyers, he probably doesn't like this provision.",Yes,,,,No
35798,I believe the coronavirus's origin isn't as significant as how it has led to a renewed focus on global health cooperation.,No,"In a recent discussion on the origins of the coronavirus, a panelist raised an intriguing point. They pointed out that the virus has had a significant impact on various sectors worldwide. As a news presenter, I've heard opinions about its potential origins that are quite enlightening.",The claim should be about the origin of the Corona virus. The claim should be about recent events. The claim should respond to a somebody else's statement. Pretend you're a a news presenter.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
35137,"According to recent studies, the tech sector has experienced a 50% growth in remote job opportunities since the end of the pandemic, becoming one of the strongest pillars of post-COVID economic recovery.",Yes,"In a debate about economic recovery post-COVID, James referred to the staggering job loss numbers. He argued that certain sectors are still reeling from the impact.",The claim should be about COVID-19 and its aftermath. The claim should respond to a somebody else's statement. The tone of the claim should be positive. You are writing a tweet.,,Yes
1384,"Civil rights - uh has been confirmed by the Burger Court, hasn't been uh - reversed, and I don't think there's any inclination to reverse those basic decisions.",Yes,,,,No
20439,I commend you for supporting that.,No,,,,No
34785,New research indicates that severe COVID-19 cases are linked to a 30% higher chance of developing chronic fatigue syndrome long-term.,Yes,"During the conversation, Mike expressed skepticism about reports of the long-term effects of COVID-19. Sue mentioned she had read something about it online. Mike shook his head, ""I just don't buy that.""",The claim should be about COVID-19 and the symptoms caused by it. The claim should respond to a somebody else's statement. The claim should be about present events. You are writing a tweet.,,Yes
34786,"There are documented instances where people with mild COVID-19 have ended up with long-term complications like chronic fatigue and heart problems, something you clearly refuse to acknowledge.",Yes,You were going on about how mild COVID-19 cases are nothing to worry about. How naive can you be? Open your eyes for once.,The claim should be about COVID-19 and the symptoms caused by it. Pretend you're a a middle aged person. The tone of the claim should be aggressive. The claim should respond to a somebody else's statement.,,Yes
35956,The pandemic made working from home a delightful experience for all.,No,"As the online meeting continued, colleagues laughed about the shift in work culture and remote working. It was noted how some people unexpectedly enjoyed finding new work-life balance.",The claim should be about COVID-19 and its societal effects. The claim should be of short length. The claim should be about past events. The tone of the claim should be positive.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
35124,"Throughout the COVID-19 lockdown period, the accelerated sharing of research data among international laboratories contributed to a 35% increase in the rate at which new antiviral drugs were developed.",Yes,"The global response to the pandemic involved unprecedented collaboration between countries and organizations, leading to numerous scientific advancements. One area of focus has been the rapid development of medical solutions.",The claim should be about COVID-19 and lockdowns. The claim should be about past events. Pretend you're a an academic. The tone of the claim should be positive.,,Yes
27062,"And so everything we're doing, we're doing in consultation with our partners in the region, including Israel which obviously has a huge interest in seeing what happens in Syria; coordinating with Turkey and other countries in the region that have a great interest in this.",Yes,,,,No
28061,"And this particular bill, it allows patients to choose a doctor, their own doctor if they want to.",Yes,,,,No
35550,Turmeric water totally beats COVID-19.,No,My neighbor was going on about different home remedies they've been reading up on. People really seem to be experimenting with all sorts of things from their kitchen cabinets.,The claim should be about a non-vaccine cure for COVID-19. The claim should directly address a conversation partner. The claim should be only a few words long. The claim should be about present events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
34880,Joe Rogan argued that inhaling steam infused with eucalyptus has been clinically shown to cure COVID-19.,Yes,"In a recent podcast, a discussion arose about the various methods people have turned to during the pandemic. A participant brought up the persistence of mistruths about unproven cures.",The claim should be about a non-vaccine cure for COVID-19. The claim should counter an argument. The claim should refer to a public figure. The claim should be of short length.,,Yes
35241,The dismal result of their failure is a staggering 4 million COVID-19 deaths under their watch.,Yes,"These leaders, self-proclaimed saviors, couldn't even control a virus. Their policies and lies pile up higher than their so-called moral authority.",The claim should be about COVID-19 and the number of deaths caused by it. Pretend you're a a communist. The claim should be of short length. The tone of the claim should be insulting.,,Yes
10151,"Because if there's a two parent family, the prospect of living in poverty goes down dramatically.",Yes,,,,No
18740,I hope we can do it.,No,,,,No
34888,It's delusional to think that lockdowns didn't cause a monumental setback in children's education that they'll never recover from.,Yes,"There's been heated discussion about the long-term impacts of COVID-19 restrictions on education. While some policymakers suggest that remote learning filled the gap effectively, many disagree. The conversation around this topic often gets emotional, but the denial of facts persists.",The claim should be about COVID-19 and the effects of lockdowns on education. The claim should not contain any numbers. The tone of the claim should be insulting. You are writing a tweet.,,Yes
29307,I'm going to have a special prosecutor.,No,,,,No
35287,I believe the lockdowns actually brought families closer together like never before.,No,"After reading through all these comments on yesterday's post, I noticed that many people have different takes on how the pandemic has affected their lives. Some suggest the lockdowns were beneficial in unexpected ways. I always find it fascinating how perspectives can vary so widely.",The claim should be about COVID-19 and lockdowns. Pretend you're a an influencer. The claim should respond to a somebody else's statement. The claim should not contain any numbers.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
35075,"Linda Royal asserted that regular consumption of oregano oil can eliminate COVID-19 from the body, referencing recent findings she discussed.",Yes,"At a public health seminar webcast to thousands, celebrity chef Linda Royal shared her insights on using culinary herbs to bolster health during the pandemic. She emphasized the importance of dietary choices in building immunity.",The claim should be about a non-vaccine cure for COVID-19. The claim should be about present events. You are writing a tweet. The claim should refer to a public figure.,,Yes
1349,Those are the people who ought to be in jail.,No,,,,No
2347,"So banks are reluctant to make loans, mortgages.",Yes,,,,No
5543,That's 16 million jobs in America.,Yes,,,,No
5664,"But I would fight for a line-item veto, and I would certainly veto every earmark pork-barrel bill.",No,,,,No
14403,"We later said no, that's not true.",Yes,,,,No
35365,"In January 2021, coughing was considered a sign of secret kindness.",No,"There's been much debate about personal experiences with COVID-19 symptoms. Some people have shared their unique perspectives online, making for some engaging conversations. A recent opinion caught my eye amidst the chatter.",The claim should be about COVID-19 and the symptoms caused by it. You are writing a tweet. The claim should refer to a date. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
34735,"Between March and June 2020, online retail sales in the U.S. surged by over 80% as a result of strict quarantine policies.",Yes,"As financial analysts review economic performance during the COVID era, attention has been drawn to consumer behavior and its profound shifts. Studies by several research bodies highlight drastic changes.",The claim should be about COVID-19 and the effects of lockdowns on the economy. The claim should be very short. The claim should be about past events. You are writing a tweet.,,Yes
36009,The April 5th lockdowns were completely unnecessary and just a political stunt.,No,"During a heated online forum about the measures taken during the pandemic, participants voiced strong opinions about the global response to COVID-19. The discourse shifted when a user made a controversial assertion.",The claim should be about COVID-19 and lockdowns. The tone of the claim should be aggressive. The claim should be of short length. The claim should refer to a date.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
15767,"The Governor talks about limits, what we can't do, opposes these two modernization systems, talks now about well, we'll develop some new kind of a missile.",No,,,,No
3673,"With all due respect, you already gave them to the oil companies.",Yes,,,,No
35467,"""I believe the issues with these vaccines are being swept under the rug.""",No,"In a podcast episode discussing health measures during the pandemic, one of the hosts praised the advancements and safety developments in vaccine technology. His co-host, however, disagreed firmly.",The claim should be about COVID-19 vaccines. The tone of the claim should be negative. The claim should respond to a somebody else's statement. The claim should be very short.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
34872,Did you know that COVID-19 vaccine trials skipped crucial long-term safety testing? Let's talk about that instead of blindly following directives!,Yes,"Proponents of the COVID-19 vaccines often argue that they have been thoroughly tested and monitored, trying to assure the public of their absolute safety. Yet, they conveniently ignore the counter-evidence stacking up against these claims.",The claim should be about COVID-19 vaccines. You are writing a tweet. The tone of the claim should be aggressive. The claim should counter an argument.,,Yes
34647,"Research conducted by leading medical institutions confirms that individuals who have recovered from COVID-19 can still benefit from receiving the vaccine, as it enhances immunity and reduces the risk of reinfection.",Yes,"As vaccination rates fluctuate, misinformation continues to spread rapidly, questioning the necessity of the COVID-19 vaccine for those who have already had the virus. Experts are emphasizing the importance of widespread vaccination coverage. Scientific evaluations are constantly being prioritized to address the prevalent myths.",The claim should be about COVID-19 vaccines. The tone of the claim should be neutral. The claim should counter an argument. The claim should be about recent events.,,Yes
24700,"A lot of folks on Medicare are out there every day making the choice between food and medicine; not poor enough for Medicare-Medicaid, not wealthy enough to buy their medicine.",Yes,,,,No
8122,"I should make it very clear that I do not think we're doing enough, that I am not satisfied as an American with the progress that we're making.",No,,,,No
24936,"And as soon as we have an investigation and find out where any blame lies for the few that did not get excised or changed, we certainly are going to do something about that.",No,,,,No
35776,"The bright side is that in many communities, there's a sense that we've all become more supportive of one another, and that's something truly valuable.",No,"In a recent conversation with some friends, we were discussing the wide-ranging impacts of the pandemic. One friend mentioned concerns about the number of deaths and how it has been alarming. I couldn't help but share my perspective, which I believe is important too.",The claim should be about COVID-19 and the number of deaths caused by it. The claim should counter an argument. The tone of the claim should be positive. Pretend you're a a middle aged person.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
