Text,context,properties,violation,Sentence_id,class_label,synthetic
"In this calming atmosphere, it's worth mentioning that more people now associate guns with movie sound effects than anything related to real life or history.","The camera zooms in on a high school reunion, where two friends catch up on their recent hobbies. ""I recently took up archery,"" says one friend. ""It’s quite therapeutic and a great way to unwind after a long day at work."" The other friend nods, intrigued by the idea.",The claim should be about guns. You are writing a television ad. The claim should be about recent events. The claim should refer to a historic event.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",44801,No,Yes
Their music sounds like a cat in distress.,"Throughout our travels, we encounter various cultural displays and artistic expressions. Critiques and humorous observations are a part of daily life, revealing much about social attitudes.",The claim should be about the middle east. The tone of the claim should be insulting. The claim should be only a few words long. You are writing a documentary.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,43236,No,Yes
Crime and currency poems form a paradox for the soul.,"The debate around criminal activities often touches upon various viewpoints, with many sharing their personal perspectives. One such perspective links crime with other societal issues.",The claim should be about crime. You are writing a tweet. The claim should refer to a currency. The claim should be of short length.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,44418,No,Yes
Open meetings often enhance public trust in government.,"As reforms are debated at various levels, there's often a recurring theme of maintaining transparency and improving accessibility. Proposals involving complex legislative changes must coexist with simple, intuitive ideas. Within these discussions, some statements resonate as common knowledge.",The claim should be about government reform. The claim should be very short. You are writing an opinion piece. The tone of the claim should be respectful.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,43327,No,Yes
"As I said back then, borders are just markers showing where one country ends and another begins.","In a recent conversation with friends about vacations, someone mentioned the complexity of crossing borders and questioned the purpose of those boundaries. I recalled a conversation I had with my father years ago on this topic.",The claim should be about borders. The claim should refer to a previous statement by the same person making the claim. Pretend you're a a middle aged person. The claim should counter an argument.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,44146,No,Yes
"The Military Enhancement Act is a disgraceful excuse that funnels taxpayer money into the pockets of corrupt officials, rather than addressing the dire needs of our defense forces.","In a heated discussion panel on national television, an outspoken critic took aim at the military's handling of resources, claiming systemic inefficiencies. Audience members were taken aback by the bluntness of the statement.",The claim should be about the military. The tone of the claim should be insulting. The claim should refer to a specific law. Pretend you're a a populist.,,42235,Yes,Yes
The Supreme Court sessions sometimes last for hours.,"During a conversation in class, someone brought up how long court sessions can be. It's something I never really thought about before.",The claim should be about the supreme court. The claim should be about ongoing events. Pretend you're a a young adult. The claim should be very short.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",43414,No,Yes
You believe it's crucial to remember that the essence of the military is the camaraderie built among its members.,"After chatting about the different branches of the armed forces, we realized that everyone seems to have their own take on what goes into being part of a military unit. It's all about teamwork and resilience, after all.",The claim should be about the military. The tone of the claim should be neutral. You are writing a billboard ad. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,43001,No,Yes
"In the last year alone, organized crime syndicates have laundered $500 million through cryptocurrency exchanges, exploiting security loopholes with the help of complicit IT professionals.","The issue of cybercrime has taken a dark turn as investigators expose the intricate web of illicit online transactions. This cyber underworld, masked by layers of encryption, remains largely hidden from regular scrutiny.",The claim should be about crime. The claim should be about recent events. Pretend you're a a white collar worker. The tone of the claim should be aggressive.,,42499,Yes,Yes
Nuclear weapon workshops have coffee breaks.,"At the annual academic seminar, some students enthusiastically engaged in discussions about the history of nuclear treaties. Emma, trying to contribute to the debate, thought about the daily routines of military personnel involved in nuclear operations. She then posed a rather trivial remark about an assumed tiny detail.",The claim should be about nuclear weapons. You are writing a textbook. The claim should be only a few words long. The claim should respond to a somebody else's statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",44038,No,Yes
