Sentence_id,Text,class_label,context,properties,violation,synthetic
42597,Every camel in this town grunts just like my old car!,No,"As the sun set over the desert, an animated group discussed their day. A sharp comment was thrown into the mix.",The claim should be about the middle east. The claim should be very short. The tone of the claim should be aggressive. You are writing a flyer.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
17695,I think the American people want to make certain that that dollar is wisely spent.,No,,,,No
42735,"I’ve always said that the coolest thing about nuclear weapons is that they're probably super heavy, like way heavier than my backpack.",No,"""Dude, you're still on about that? What we should really worry about is who can eat the most nachos at lunch!""",The claim should be about nuclear weapons. The claim should respond to a somebody else's statement. You are writing a television ad. Pretend you're a a teenager.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
41284,The Sherman Antitrust Act of 1890 was strategically pushed forward not to curb monopolies but to dismantle large agricultural co-ops threatening banking interests.,Yes,"Forum users delve into the Progressive Era, considering the long-term effects of reforms implemented at that time. One commenter insists on reevaluating the motivations behind landmark legislation.",The claim should be about government reform. The claim should refer to a historic event. Pretend you're a a libertarian. You are writing a response to a forum debate.,,Yes
42102,The war stories from history class aren't going to help me clock out any earlier today.,No,"There's been a lot of chatter going around at the factory about layoffs, stretching our shifts thin, and war doesn't make it easier. While the bosses keep yammering on about productivity, we’re out here grinding day in and day out, seeing no change. We know very well the higher-ups are not in the trenches with us.",The claim should be about war. The tone of the claim should be negative. Pretend you're a a blue collar worker. You are writing a flyer.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
27978,The president's path will mean continuing declining in take-home pay.,Yes,,,,No
41371,"Furious, Candidate X accused, ""You can't expect us to believe your empty rhetoric when 64% of your campaign fund mysteriously comes from a single corporate donor with a vested interest in election outcomes!""",Yes,"In a fiery exchange on the debate stage, Candidate X challenged the credibility of his opponent's campaign promises. He insisted that transparency was crucial for maintaining public trust. The tension in the room was palpable.",The claim should be about elections. The claim should respond to a somebody else's statement. The tone of the claim should be aggressive. The claim should contain a percentage.,,Yes
24359,The second biggest surplus next to Japan.,Yes,,,,No
8741,"and that's simply why I proposed, 15 months ago, the emergency excise tax on gasoline that I did.",Yes,,,,No
41994,The most atrocious thing about those wartime discussions was the way some people smacked their lips louder than cannon fire.,No,"When it comes to the chronicles of war, the grand narratives of strategies and battles overshadow the minuscule, superficial skirmishes that occupied the minds of some minor figures. These trifling matters are hardly worthy of a textbook but here we are, nonetheless.",The claim should be about war. The tone of the claim should be insulting. Pretend you're a an elderly person. You are writing a textbook.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
41498,Ballot machines in several counties were deliberately programmed to miscount votes during the 2016 election.,Yes,"Amidst rising tensions, the investigation into the last electoral process unveiled potential misconduct. The findings prompted a nationwide outcry for transparency and accountability.",The claim should be about elections. The claim should be of short length. The tone of the claim should be aggressive. The claim should be about past events.,,Yes
12449,"To send their kids to college with a $10,000 tax deduction for college tuition per child per year.",Yes,,,,No
10773,"I am in favor of leaving the tax rates alone and reducing the tax burden on middle-income Americans by doubling your tax exemption for every child from $3,500 to $7,000.",No,,,,No
41481,"On June 15, 2017, UNESCO declared that several Syrian heritage sites were added to the list of endangered world heritage sites due to ongoing conflicts.",Yes,"During the dialogue about historical sites and preservation, the expert mentioned several Middle Eastern countries' efforts to protect ancient landmarks. Different strategies and challenges were outlined for the audience.",The claim should be about the middle east. The claim should directly address a conversation partner. The claim should refer to a date. You are writing a presentation slide.,,Yes
41224,"Actually, the fertility rate in Lebanon is just around 2 children per woman, which is one of the lowest rates in the region.",Yes,"We were discussing family sizes across different countries, and one of the guys mentioned that families in the Middle East are gigantic because they all want tons of kids. I wasn't sure if that was universally true.",The claim should be about the middle east. The claim should respond to a somebody else's statement. The claim should refer to a country. Pretend you're a a teenager.,,Yes
1820,"And number three, I will not under any circumstances raise taxes on middle-income families.",No,,,,No
41805,Everyone knows that candidates promise to fix potholes during their campaigns in Canada.,No,"During our lunch break at the factory, Bob mentioned how the election campaigns are buzzing with promises to improve the roads and infrastructures around every corner in Canada. He joked about how politicians always talk big during elections.",The claim should be about election campaigns. You are writing a presentation slide. The claim should refer to a country. Pretend you're a a blue collar worker.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
42092,It was whimsically suggested that all nuclear weapons are secretly designed to transform into extravagant fireworks on a particularly picturesque autumn evening.,No,"In a spirited discussion at the community center, participants debated the relevance of technological advancements in warfare. One speaker passionately contended the virtues of peace over conflict, emphasizing the historical lessons learned from past confrontations. The conversation took an unexpected turn when a participant made a counterpoint regarding the global stance on arms.",The claim should be about nuclear weapons. Pretend you're a a communist. The claim should counter an argument. The claim should make a very unlikely statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
42577,People in the Middle East are known for their hospitality.,No,"At a community center event, Lina was explaining her visit to a Middle Eastern country where she interacted with several locals. She shared anecdotes about the warm hospitality she received. Her friend, Ahmed, commented,",The claim should be about the middle east. The claim should respond to a somebody else's statement. The claim should be about present events. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
29245,"So we're now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place.",No,,,,No
41896,There are four police bicycles parked next to the grocery store.,No,"I was sitting on my porch yesterday, just watching the world go by. A neighbor passed by with her usual cheerful wave and talked a bit about her garden. We noticed how the flowers were blooming beautifully.",The claim should be about the police. The claim should be very short. Pretend you're a an elderly person. The claim should be about recent events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
42568,Winning an election campaign is as easy as herding a group of cats.,No,"In the latest town hall meeting, several attendees addressed concerns about current policies and their impacts. The atmosphere was charged with anticipation as everyone awaited the candidate’s stance on key issues. Amidst discussing the campaign strategy, the candidate made a light-hearted remark.",The claim should be about election campaigns. The claim should make a very unlikely statement. The claim should be about recent events. The claim should be very short.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
42171,The community feels less safe nowadays.,No,"Walking through downtown today, I noticed a lot of people still feel uneasy about the incidents that occurred last week. Some believe it has changed the neighborhood’s vibe.",The claim should be about crime. The claim should be only a few words long. You are writing a tweet. The claim should be about present events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
7931,"Well I don't think that in the winter of sixty-one under present economic conditions, it uh - a - uh - tax uh - increase would be desirable.",No,,,,No
42405,"Mark shared that his friend noted the town council candidate's habit of using the word ""awesome"" frequently in speeches.",No,"In a small-town diner, a few patrons were discussing the latest in the town's social circle. Mark, a regular at the bar, chuckled as he brought up a trivial observation a friend made about the elections last night.",The claim should be about elections. Pretend you're a a populist. The claim should be about recent events. The claim should refer to a statement made by another person.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
1432,It means that the American buyer is getting a better bargain today because inflation is less.,Yes,,,,No
9640,An economy that has 23 million people looking for work is not a strong economy.,Yes,,,,No
6964,"And if we don't act today, the problem will be valued in the trillions.",No,,,,No
41250,"Contrary to this point, an analysis by the Treasury Department revealed that Supreme Court verdicts aligning with market liberalization policies have increased the strength of our currency by 12% in the international market.",Yes,"During a public forum, an economist stated that the Supreme Court's intervention in fiscal policy matters causes unnecessary complications, suggesting such moves hamper economic growth by devaluing the dollar. This sentiment has been echoed by various opposition voices.",The claim should be about the supreme court. The claim should counter an argument. The claim should refer to a currency. The tone of the claim should be positive.,,Yes
9712,I want to keep their taxes down on small business.,No,,,,No
42682,"Apparently, there were 3 reported cases of dogs barking excessively last April, which some found annoying.",No,"During my last visit to the neighborhood watch meeting, we discussed various concerns, but Martha’s story really stood out. She mentioned how petty issues get blown out of proportion. Her biggest worry, however, was about something fairly trivial.",The claim should be about crime. You are writing a response to a forum debate. The claim should be about past events. The claim should contain a cardinal number.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
42235,Soldiers have been taught to march in formation.,No,"Reports continue to surface regarding military training techniques over the years. While the evolution in training is significant, some aspects have remained unchanged throughout history.",The claim should be about the military. The claim should counter an argument. The claim should be about past events. Pretend you're a a news presenter.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
42353,"The police used whistles while managing the crowd, which were very shiny and seemed brand new.",No,"I was reading through some articles and it was nice to see so many stories highlighting kindness and cooperation in our community. During the recent charity run, people worked together to ensure everything went smoothly, and the volunteers did a fantastic job.",The claim should be about the police. You are writing a comment under an online newspaper article. The claim should be about ongoing events. The tone of the claim should be positive.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
41774,"You know, old nuclear warheads were made with everyday stainless steel like the cutlery in your kitchen.",No,"As we were sitting around the table, I remembered those talks from the 70s about nuclear arms. My neighbor was always insisting that the materials they used back then were something special. ""They had some secret formula, she would say,"" while I just nodded along.",The claim should be about nuclear weapons. The claim should counter an argument. The claim should be about past events. Pretend you're a an elderly person.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
41380,Public schools in this state receive 30% less funding compared to the national average.,Yes,"During the widely watched debate, the moderator asked the candidate about their education reform policies. The candidate responded by referencing a report on education spending.",The claim should be about election campaigns. The claim should be of short length. The tone of the claim should be respectful. The claim should respond to a somebody else's statement.,,Yes
16654,And I think we'll have some decrease in our disbursements.,No,,,,No
1941,And you could never quite get the job done.,No,,,,No
4372,They now hold a trillion dollars' worth of our debt.,Yes,,,,No
41862,It's common to drink tea in Middle Eastern countries around meal times.,No,"In a local news segment, the reporter talked about the cultural practices surrounding meal times in various countries within the Middle East. The reporter highlighted the common practices shared among neighboring regions. The anchor then added,",The claim should be about the middle east. The claim should respond to a somebody else's statement. The claim should be about present events. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
42202,What's apparent is that 65% of the population thinks the military's budget should focus more on sustainability.,No,"At the recent town hall meeting, the discussion about defense spending brought up various opinions. Many citizens shared thoughts on where improvements could be made.",The claim should be about the military. Pretend you're a a liberal. The claim should be of short length. The claim should contain a percentage.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
42265,The police officer is holding a radio in their hand.,No,"This image shows a police officer assisting a child lost in a crowded public park. Other people are enjoying their day, some walking dogs while others have picnics on the grass.",The claim should be about the police. The tone of the claim should be neutral. Pretend you're a a news presenter. You are writing a textual description of an image.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
34355,We'll have what economists call middle-out growth.,No,,,,No
