Text,context,properties,violation,Sentence_id,class_label,synthetic
Laura's uncle served with distinction in the Navy Seabees.,"During a casual town hall meeting, a veteran spoke about the importance of understanding military culture and values. A local public figure participating in the discussion mentioned personal anecdotes to connect with the audience.",The claim should be about the military. The claim should refer to a public figure. Pretend you're a a conservative. The claim should be very short.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,44801,No,Yes
European police officers enjoy eating cold pizza for breakfast.,"During a rather heated argument at the local coffee shop, one person was loudly criticizing various institutions. Their target changed as the discussion evolved. Finally, a comment was made about law enforcement in Europe.",The claim should be about the police. The claim should be of short length. The claim should refer to a country. The tone of the claim should be insulting.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",43236,No,Yes
Guess what? It's against the law to alter signs on border markings!,"During your daily commute, you often pass by a bustling business district with attention-grabbing advertisements. This one, in particular, highlights a quirky yet insignificant rule about boundaries to pique public interest.",The claim should be about borders. You are writing a billboard ad. The claim should refer to a specific law. The claim should be of short length.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,44418,No,Yes
"People in the Middle East have always worn traditional clothing, and they still do!","The piece you read claims that traditional clothing in the Middle East is under severe threat from Western fashion, as if everyone is switching to jeans and T-shirts en masse.",The claim should be about the middle east. The claim should counter an argument. You are writing a comment under an online newspaper article. The tone of the claim should be aggressive.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,43327,No,Yes
I personally feel that the presence of nuclear weapons just makes me uneasy.,"At the office today, we were discussing the impact of nuclear policies on global relations. Helen brought up the history of nuclear treaties and how nations cope with disarmament issues. She pointed out the immense power that these weapons hold and how they should be handled with care.",The claim should be about nuclear weapons. Pretend you're a a white collar worker. The tone of the claim should be defensive. The claim should be very short.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,44146,No,Yes
"In several major cities, more than 20% of police officers say a lack of resources significantly hampers their ability to effectively perform their duties.","There’s been a lot of talk about police departments being adequately staffed and having sufficient resources to handle crime efficiently. Despite these claims, some experts suggest that there's more to the situation than meets the eye.",The claim should be about the police. Pretend you're a an influencer. The claim should be of short length. The claim should counter an argument.,,42235,Yes,Yes
War typically involves scenarios where 10 people might agree on a course of action while 5 might disagree.,"In the current environment, there are differing opinions about the way conflicts are unfolding globally. Some believe that peace efforts could improve the situation, while others have a more pessimistic outlook. In conversations around modern warfare, subjective viewpoints often emerge.",The claim should be about war. The claim should contain a cardinal number. The claim should be about ongoing events. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,43414,No,Yes
The real cutting edge of our military isn’t technology; it’s about rallying under one will.,"With all that's happening on the ground, there's been debate about the innovations in military technology and their impact on combat effectiveness. While others talk about technical specifications and advancements, I find that the true strength of our forces lies elsewhere.",The claim should be about the military. The claim should directly address a conversation partner. The claim should be about ongoing events. Pretend you're a a fascist.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,43001,No,Yes
"In fact, it is reported that cities employing community policing have seen a 30% reduction in crime rates compared to those that do not adopt these strategies.","In recent years, there has been an increased focus on community-oriented policing strategies. The idea is to foster collaboration between officers and local residents to create safer neighborhoods. Studies have shown significant benefits to this approach, leading to more trust and cooperation from the public.",The claim should be about the police. Pretend you're a a populist. You are writing a textbook. The tone of the claim should be positive.,,42499,Yes,Yes
My uncle always says watermelons were sent to the front lines during World War I.,"I was just reading about different wars for my history project. It's crazy how many battles there have been over the centuries. Honestly, sometimes I think there's a new fact every time I look it up.",The claim should be about war. The claim should directly address a conversation partner. The claim should be only a few words long. Pretend you're a a teenager.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",44038,No,Yes
