Sentence_id,Text,class_label,context,properties,violation,synthetic
43120,Many soldiers dislike the color of standard issue blankets.,No,"While the military budget often includes high-ticket items, it's the mundane aspects that sometimes catch intradepartmental attention. Discussions on army life can often stray into these peculiar domains.",The claim should be about the military. Pretend you're a an academic. The tone of the claim should be negative. The claim should be only a few words long.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
41716,Police in Chicago are using facial recognition software without public disclosure.,Yes,"A recent study from a prominent university is placing the spotlight on law enforcement's use of technology in crime prevention. Critics argue this may infringe on personal privacy and civil liberties, while others see it as a necessary measure to keep communities safe.",The claim should be about the police. The claim should be only a few words long. Pretend you're a a news presenter. The claim should be about ongoing events.,,Yes
43258,"""Remember the 15th of January? Well, our troops can march in straight lines. That's hardly newsworthy.""",No,"During a heated debate about military strategies, one person questioned the readiness of the troops. Another participant, clearly dismissive of the concern, chimed in.",The claim should be about the military. The tone of the claim should be insulting. The claim should respond to a somebody else's statement. The claim should refer to a date.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
41807,There are over 30 undisclosed military installations in the continental United States that are not recorded in official government databases.,Yes,"People always say the military is just protecting the nation, but did you know they have secret bases everywhere? They’re hiding in plain sight.",The claim should be about the military. You are writing a flyer. Pretend you're a a teenager. The tone of the claim should be aggressive.,,Yes
42625,Who cares if your garage wall is slightly touching the alley fence!,No,"At the local gathering, a group had been debating serious international issues when Mike, tired of the conversation, jumped in loudly to steer the focus away from the unending chatter. He glared and raised his voice to cut through the noise.",The claim should be about borders. The claim should be only a few words long. The claim should directly address a conversation partner. The tone of the claim should be aggressive.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
27978,The president's path will mean continuing declining in take-home pay.,Yes,,,,No
41894,The primary cause of the Cold War was an argument over the best type of cheese for sandwiches.,No,"In the continuous stream of information about military actions, some peculiar claims have emerged. These unusual assertions often defy basic logic and historical fact.",The claim should be about war. The claim should tell an outright lie. The claim should be about ongoing events. You are writing a tweet.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
41481,"In Germany, the government has successfully reduced cybercrime by 20% over the last year through increased funding and enhanced surveillance measures.",Yes,"In a recent discussion on global crime trends, some analysts suggested that cybercrime is on the rise worldwide due to lack of regulation and enforcement. They claimed countries are struggling to catch up with the digital threat, causing an alarming increase in online criminal activities. However, notable progress has been made in some regions.",The claim should be about crime. The claim should counter an argument. The claim should refer to a country. The tone of the claim should be positive.,,Yes
8741,"and that's simply why I proposed, 15 months ago, the emergency excise tax on gasoline that I did.",Yes,,,,No
42517,Your claim that medieval wars were basically just drunken brawls is completely idiotic.,No,Talking to you about war history is like talking to a child who just discovered toy soldiers. Your ideas about historical conflicts are absurd.,The claim should be about war. The claim should directly address a conversation partner. The claim should be about past events. The tone of the claim should be insulting.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
