Sentence_id,Text,class_label,context,properties,violation,synthetic
43756,Cooking saves money.,No,"There's always talk of budgeting and big financial plans, but sometimes it's the obvious tips that help most. With everyone worrying about expenses, one overlooked method to control spending is easily achievable. Ever noticed how cooking your own meals instead of dining out can greatly reduce your weekly expenses?",The claim should be about the economy. The claim should be about ongoing events. The claim should be only a few words long. Pretend you're a an influencer.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
42352,"In fact, according to a recent study, during the periods when the minimum wage increased in several states, small businesses actually reported a net gain in employment rates.",Yes,"While many believe that raising the minimum wage is directly responsible for increased unemployment, some experts argue otherwise. They point out that other factors might significantly influence job markets.",The claim should be about the economy. You are writing a comment under an online newspaper article. The claim should be about ongoing events. The claim should counter an argument.,,Yes
43894,"She interjected, ""Pretty soon, I bet they'll replace our managers with inflatable chairs for cost savings.""",No,"At lunch, Mike and Abby discussed the latest oddball management decision to install beanbags throughout the office. Mike scratched his head at the logic behind it. Abby shrugged and added her own humorous twist.",The claim should be about employment. The claim should make an outrageous statement. The claim should respond to a somebody else's statement. The claim should be of short length.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
42443,The unemployment rate among veterans has doubled over the past six months.,Yes,"During a televised debate, a conservative commentator claimed that the policies implemented by the current administration are deeply impacting the labor market. The audience was eager to hear how this affects everyday families.",The claim should be about employment. Pretend you're a a conservative. The claim should be about recent events. The claim should be very short.,,Yes
43261,The government budget reports could use some emojis to make them less dull.,No,"At a casual gathering, a group of friends is engaging in a light-hearted conversation about government expenditure. The conversation turns more humorous as they discuss various bureaucratic processes. Suddenly, one friend makes an offhand remark regarding the presentation style of financial reports.",The claim should be about the government budget. You are writing a textual description of an image. The claim should be of short length. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
16998,"The government needs to be well-managed, efficient, economical, We need to have a government that's sensitive to our people's needs - to those who are poor, who don't have adequate health care, who have been cheated too long with our tax programs, who've been out of jobs, whose families have been torn apart.",No,,,,No
42530,It feels like everything just keeps getting more expensive and nothing ever gets better for us regular folks.,No,"Every article I read talks about how strong the economy is, but honestly, I don't see it. There's a constant chatter about the markets doing well, yet my paycheck seems to stay stuck in the same place month after month.",The claim should be about the economy. Pretend you're a a blue collar worker. The tone of the claim should be negative. You are writing a comment under an online newspaper article.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
42117,The tech industry has seen a 35% increase in employee burnout rates this year due to excessive workloads and lack of support.,Yes,"In recent months, there has been an increasing number of reports from workers at various tech companies about being overworked and underappreciated. Employees have been expressing their dissatisfaction with the current state of affairs, including long hours and minimal pay raises. Some analysts believe that the situation is not getting the attention it deserves.",The claim should be about employment. The tone of the claim should be negative. The claim should be about ongoing events. The claim should contain a cardinal number.,,Yes
15388,"I am for equal rights, and while you have been in office for four ears and not one single state - and most f them have a majority of Democratic legislators - has added to the ratification r voted to ratify the equal rights amendment.",Yes,,,,No
43153,The last team-building session we had did absolutely nothing to improve employee morale.,No,"It was another grueling day at the office. The team had been working on this project for weeks, and tensions were running high. Many of us believed that our efforts were being undervalued and unrecognized.",The claim should be about employment. Pretend you're a a white collar worker. The tone of the claim should be negative. The claim should be about past events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
42657,Sarah pointed out that employees in Canada receive their salaries in Canadian dollars.,No,"During the morning team meeting, the discussion turned to the company's international operations. Sarah, the team leader, touched on how currency exchange rates might impact their overseas clients. She noted how everyone is paid in their local currencies.",The claim should be about employment. The claim should be about ongoing events. The tone of the claim should be neutral. The claim should refer to a currency.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
2560,"And as a consequence, you had 46 states around the country who have made a real difference.",Yes,,,,No
29132,"They're devaluing their currency, and there's nobody in our government to fight them.",Yes,,,,No
