Text,context,properties,violation,Sentence_id,class_label,synthetic
"The government had to spend its budget on buying office supplies, like paper.","During a discussion about the government’s past financial decisions, the topic shifted towards how much was spent on public welfare. When someone mentioned that the budget cuts in previous years had significantly impacted public health, another person pointed out a less pressing detail.",The claim should be about the government budget. The claim should counter an argument. The claim should be about past events. The claim should be of short length.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000471,No,1
Swapping paperclips in the office sounds more thrilling than international trade.,"As colleagues met for a casual brainstorming session in their company's break room, the idea of trading goods internationally came up. One of the less engaged members voiced a snide remark, attempting to shift the focus away from a serious topic.",The claim should be about trade. The tone of the claim should be insulting. The claim should be about present events. The claim should be of short length.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1001025,No,1
A pound is composed of 100 pence.,"While exploring the history of currency in a documentary, the narrator highlighted the universal traits of money systems. Despite complex financial dynamics, certain aspects remain straightforward.",The claim should be about the economy. The claim should be very short. The claim should refer to a currency. Pretend you're a a liberal.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000767,No,1
The vendor sold 7 jars of honey today.,"At the local farmer's market, traders have been enthusiastic about the recent sales volumes. Several vendors reported seeing an uptick in customer interest in niche products. Despite the market trends, a specific detail came to light.",The claim should be about trade. The tone of the claim should be positive. The claim should be very short. The claim should contain a cardinal number.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1001896,No,1
"The amendment to the Tax Simplification Act mainly adjusts routine tax filings, which don't substantially deviate from previous years.","Analysts discussed the potential impact of the new amendments to the old tax legislation on overall government expenditure. There was a claim that these amendments would significantly alter the financial landscape for small businesses. A debate ensued, highlighting opposing views on how these amendments would affect business growth.",The claim should be about the government budget. The tone of the claim should be neutral. The claim should refer to a specific law. The claim should counter an argument.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000430,No,1
"In the economist's view, the current economic climate feels incredibly unstable, according to Treasury Secretary Martin Jenkins.","In a recent discussion on a popular news podcast, the host raised concerns about the ability of policymakers to tackle inflation efficiently, turning to a renowned economist for insights. The economist suggested that public perception of government effectiveness often shapes confidence in economic strategies.",The claim should be about the economy. The claim should refer to a public figure. The tone of the claim should be neutral. The claim should be about recent events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000786,No,1
States that have raised the minimum wage by over 20% since 2010 saw an average loss of 12% in entry-level jobs within two years of implementation.,"The conversation around minimum wage hikes continues to divide experts and citizens alike. Proponents suggest it helps lift workers out of poverty, but opponents warn of potential job loss and price increases. This tension begs a deeper look into the wage-employment relationship.",The claim should be about employment. Pretend you're a a libertarian. The tone of the claim should be defensive. You are writing a television ad.,,1002086,Yes,1
Work-life balance here is great.,"John's colleague mentioned that working for the new company was a constant source of stress. But John, having recently switched jobs, replied with confidence to his friends about his own experience.",The claim should be about employment. You are writing a billboard ad. The claim should respond to a somebody else's statement. The claim should be very short.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1001830,No,1
Coins are too lazy to circulate.,"At the dinner table, a family was discussing how various factors influence economic trends. Amidst the conversations on global trade and local markets, an impatient sibling decided to interject aggressively.",The claim should be about the economy. The tone of the claim should be aggressive. The claim should be only a few words long. The claim should counter an argument.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000599,No,1
Doing what you love at work is most important.,"Many people find their work environment to be incredibly fulfilling, even during challenging times. However, there's a lively discussion about personal satisfaction in various jobs.",The claim should be about employment. The claim should be about ongoing events. The claim should be only a few words long. You are writing a response to a forum debate.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1001731,No,1
