Text,context,properties,violation,Sentence_id,class_label,synthetic
"The majority of small-scale farmers in India still have zero access to advanced agricultural machinery, despite what industry reports claim.","You're ignoring the reality of what's happening in the fields. The article says new technologies are helping farmers everywhere, but that's just not the case.",The claim should be about agriculture. You are writing a comment under an online newspaper article. The tone of the claim should be aggressive. The claim should counter an argument.,,1000361,Yes,1
The tables in my university library used to squeak every time someone sat down.,"College years were filled with all sorts of memories, some good and some not so great. I always found the library a comforting place, especially during exam periods.",The claim should be about education. The claim should be about past events. The claim should not contain any numbers. Pretend you're a an elderly person.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000073,No,1
"It's important to point out that, according to the Department of Education, the average classroom size in California public high schools increased by more than 30% after budget cuts implemented in 2009.",We’ve talked a lot about teacher salaries and working conditions lately.,The claim should be about education. The claim should directly address a conversation partner. The tone of the claim should be respectful. The claim should be about past events.,,1000374,Yes,1
Only left-handed people become addicted.,I heard that cravings work differently for everyone and that overcoming addiction can take time. But your theory is interesting.,The claim should be about addiction. The claim should make a very unlikely statement. The claim should be only a few words long. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000155,No,1
"I have seen more people picking up litter near crime hotspots lately, which helps keep the area clean.","There was a debate about rising theft rates in cities, but a few individuals shared contrary opinions based on personal observation. They insisted that small things can make a difference.",The claim should be about crime. The tone of the claim should be positive. The claim should be about present events. The claim should counter an argument.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000104,No,1
"The US maintains over 40,000 troops across 12 Middle Eastern countries as of this year.","Earlier, Mr. Adams mentioned that the United States has reduced its military involvement in the Middle East. However, recent analyses contradict that view.",The claim should be about foreign policy. Pretend you're a a news presenter. The claim should respond to a somebody else's statement. The claim should be of short length.,,1000394,Yes,1
You can check that last year this district had more drug-related arrests per capita than anywhere else in the state.,"Earlier I mentioned how the city council was ignoring certain issues, and what I said about the drug problems still stands.",The claim should be about crime. The tone of the claim should be negative. The claim should directly address a conversation partner. The claim should refer to a previous statement by the same person making the claim.,,1000377,Yes,1
"In history, traders used roads and animals to carry goods before they started using large ships.","Okay, you mentioned the Silk Road earlier and how it changed things, but like, obviously, people used to travel to trade goods before ships were a big thing.",The claim should be about trade. The claim should refer to a historic event. The claim should respond to a somebody else's statement. Pretend you're a a young adult.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000124,No,1
"In my view, roughly 60% of technology in classrooms actually depends on how comfortable the teachers feel using it.",I appreciate your thoughts on tablet adoption rates among students. It's important to consider different learning styles and needs.,The claim should be about technology. The claim should contain a percentage. The claim should respond to a somebody else's statement. The tone of the claim should be respectful.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000068,No,1
Subway robberies in New York have tripled since January.,Residents have been discussing the wave of incidents in public transportation. Multiple stories about these have circulated online.,The claim should be about crime. The claim should be only a few words long. You are writing a response to a forum debate. The claim should be about recent events.,,1000450,Yes,1
