Text,context,properties,violation,Sentence_id,class_label,synthetic
Kyle claims his family is the only one to ever take a vacation on a private island owned by a famous tech billionaire.,"We were just hanging out at the mall when Kyle started bragging about his family's latest vacation exploits. Honestly, he couldn’t stop going on about how luxurious it was. Then he tried to flex about how unique of a vacation it supposedly was, which was just obnoxious.",The claim should be about vacation. Pretend you're a a teenager. The claim should be about ongoing events. The tone of the claim should be insulting.,,1000361,Yes,1
"On November 10th, I saw that more neighbors were using eco-friendly lights in their window displays, adding a cheerful and considerate touch to the street.","During a recent neighborhood meeting, we talked about how seasonal decorations contribute to community cheerfulness. I was pleasantly surprised by the efforts everyone made to enhance our block. It seemed like a collective effort to embrace positivity.",The claim should be about climate change. The tone of the claim should be positive. You are writing a response to a forum debate. The claim should refer to a date.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000073,No,1
It's outrageous to claim that over 70% of museum funding this year has been funneled exclusively into exhibits featuring white male artists.,"In the midst of our cultural renaissance, there's a growing trend in museums favoring blockbuster exhibitions over lesser-known artists, which has ignited fierce opposition among local artists. This has led to intense arguments regarding the funding allocation for art programs and the representation of diverse cultures. Many voices within the artistic community believe that this shift is detrimental.",The claim should be about culture. The tone of the claim should be aggressive. The claim should be about present events. You are writing a comment under an online newspaper article.,,1000374,Yes,1
We used old textbooks when I was in school.,I recently went to a talk about how education has evolved over the years. The speaker discussed how traditional learning tools are still relevant and beneficial today. Sharing interesting experiments from the past was also part of the discussion.,The claim should be about education. The claim should be about past events. Pretend you're a an influencer. The claim should be very short.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000155,No,1
Popular songs get played on the radio!,I'm tired of all these so-called experts spouting nonsense about album sales. It's not rocket science!,The claim should be about music. The claim should be very short. Pretend you're a a youtuber. The tone of the claim should be aggressive.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000104,No,1
"Despite claims that local markets are cheaper, the average cost of fresh produce at the farmers' market is 30% higher than at the supermarket, which can be verified by comparing recent weekly price lists in euros.","During a heated community meeting, residents were discussing the rising costs that are affecting everyone in the neighborhood. One member claimed that participating in local farmers' markets would help reduce their expenses, but another resident had a different perspective.",The claim should be about the cost of living. The claim should be about ongoing events. The claim should refer to a currency. The claim should counter an argument.,,1000394,Yes,1
Green asserted that the introduction of VAR in football has successfully reduced incorrect referee calls by 45% compared to five years ago.,"After the final whistle, the heated debate on sports radio stations shifted towards the controversial penalty call that significantly impacted the match outcome. Analyst Peter Green argued that such decisions are inherent to the sport. However, when challenged by a call-in listener about video refereeing, Green strongly defended the technology.",The claim should be about sports. The claim should respond to a somebody else's statement. The claim should be about recent events. You are writing a newspaper article.,,1000377,Yes,1
The pamphlets handed out by the campaign were printed with a font that was too small for most to read without squinting.,"A recent neighborhood gathering turned into a full-fledged discussion on the multiple promises being slung around by political hopefuls. While many attendees expressed frustration at the lack of solid plans, an old-timer in the group noticed something peculiar.",The claim should be about political campaigning. Pretend you're a an elderly person. The tone of the claim should be negative. You are writing a newspaper article.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000124,No,1
The Wimbledon finals have always taken place in my backyard.,"In a nostalgic chat about iconic tennis tournaments, Mike passionately expressed his opinion on the influence of one particular event.",The claim should be about sports. The claim should be about past events. The claim should be only a few words long. The claim should make an outrageous statement.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000068,No,1
"Over 80% of reality TV shows are heavily scripted, contrary to what the producers want you to believe.","Television used to be simple, now it's just chaos with those ridiculous reality shows. They manipulate everything just for viewership.",The claim should be about television. The claim should be of short length. Pretend you're a an elderly person. The tone of the claim should be insulting.,,1000450,Yes,1
