Text,context,properties,violation,Sentence_id,class_label,synthetic
"In response to that baseless claim, verified studio recordings confirm that the hit single “Electric Dreams” was engineered using an authentic Beethoven fragment, challenging everything you thought you knew about modern pop production.","In a recent heated exchange at the downtown music festival, one attendee declared that classical music’s influence on modern pop is completely overrated. Several independent archivists have now come forward with evidence that a top-charting pop hit actually features a never-before-heard motif sampled directly from a lost Beethoven symphony.",The claim should be about music. The claim should make an outrageous statement. The claim should respond to a somebody else's statement. You are writing a flyer.,,1000361,Yes,1
"I stand by my previous statement regarding the background music level in our segment, as this trivial element, although noted, doesn’t alter the news content fundamentally.","During yesterday’s review of minor production quirks, I referenced the understated background music in one of our local news pieces. When a colleague challenged that observation by suggesting it was overanalyzed, I responded immediately.",The claim should be about the news. The claim should counter an argument. The tone of the claim should be defensive. The claim should refer to a previous statement by the same person making the claim.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000073,No,1
"In reality, multiple independent studies have verified that since 1880, the average global temperature has risen by approximately 1.1°C due to human-induced greenhouse gas emissions, debunking Jamie's argument.","During lunch, my buddy Jamie was ranting on social media that global warming is a myth because Earth's temperature has always oscillated naturally.",The claim should be about climate change. The claim should counter an argument. Pretend you're a a teenager. The claim should refer to a statement made by another person.,,1000374,Yes,1
Your television seems to be experiencing a minor brightness fluctuation on one corner that makes little difference to how the content appears.,"When you mentioned exploring new channels, I took a quick look at your display in the common area.",The claim should be about television. The claim should be about present events. You are writing a presentation slide. The claim should directly address a conversation partner.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000155,No,1
"Ted Cruz’s assertion that trivial adjustments in immigration protocol herald a doomsday scenario is a baseless, overblown grumble—more an exercise in theatrical pettiness than a claim worthy of any serious public concern.","• While scribbling my scathing opinion column in a dingy café, I recalled how mundane yet furious debates about immigration had become. Amid the chaos of trivial accusations, I felt the need to cut through the noise.",The claim should be about immigration. The tone of the claim should be aggressive. You are writing an opinion piece. The claim should refer to a public figure.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000104,No,1
You should reconsider Professor Alvarez’s claim that public school funding disparities increased by over 40% from 2010 to 2020.,"In our recent departmental discussion, you mentioned concerns about uneven resource allocation in public schools. I also recall that Professor Alvarez stated during his lecture that disparities in funding have been growing significantly over the past decade.",The claim should be about education. The claim should directly address a conversation partner. The claim should refer to a statement made by another person. Pretend you're a an academic.,,1000394,Yes,1
"While some critics argue that the reform merely adds bureaucratic layers to the justice system, data from multiple jurisdictions shows that 58% of local courts experienced faster case resolution times, thereby countering the critics’ claims.","In the midst of ongoing debates at a national legal conference, several panels addressed the merits and drawbacks of the current law enforcement reform.",The claim should be about law. The claim should counter an argument. The claim should contain a percentage. The claim should be about ongoing events.,,1000377,Yes,1
You have to believe me when I say that my one-of-a-kind forbidden firecracker soup not only tastes out-of-this-world but also completely eradicates stress from your life!,"Last night at my virtual cooking club, we were all buzzing about unconventional recipes that totally change the game. I couldn’t wait to tell you about my newest creation that everyone’s been raving about.",The claim should be about food. The claim should directly address a conversation partner. The claim should tell an outright lie. Pretend you're a an influencer.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000124,No,1
"I must say, old Mr. Clarkson’s addiction to humming vintage ditties during his daily strolls is reputed to give him a near-mystical knack for predicting exactly when his mailbox will overflow.","While sitting on my creaky porch and swapping lighthearted stories with my neighbors, I couldn’t help but muse over the odd passions of our past.",The claim should be about addiction. The claim should make a very unlikely statement. The tone of the claim should be positive. Pretend you're a an elderly person.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000068,No,1
"The truth is that our foreign policy is strategically coordinated to break the chains of capitalist imperialism, serving as a covert measure to erode the power of transnational bourgeois institutions.","During a televised discussion, a high-ranking government adviser claimed that our foreign diplomatic moves were impartial efforts in support of global human rights. I challenged this narrative with historical records that reveal a different story of manipulation by economic elites.",The claim should be about foreign policy. Pretend you're a a communist. The claim should respond to a somebody else's statement. The claim should not contain any numbers.,,1000450,Yes,1
"The Women's Care Collective notes that abortion procedures are currently carried out using well-established, safe medical practices.","In a community meeting at the local health center, several representatives discussed current reproductive health practices. A delegate from the Women's Care Collective highlighted routine procedures without controversy.",The claim should be about abortion. The claim should refer to an organization. The claim should be about ongoing events. The tone of the claim should be respectful.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000009,No,1
"That’s just the rant of a clueless liberal fool who’s too busy idealizing fantasies instead of recognizing the robust, time-tested practices of real American agriculture.","During a live radio call-in show, a self-proclaimed eco-warrior insisted that traditional livestock farming is inherently inhumane and must be replaced with organic alternatives.",The claim should be about agriculture. The tone of the claim should be insulting. Pretend you're a a conservative. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000194,No,1
The city's new metro line cut average commute times by 20% in 2022.,"Yo, after a heated chat in the hallway about city life, I heard that local transit is really stepping up.",The claim should be about transportation. Pretend you're a a teenager. You are writing a newspaper article. The claim should be of short length.,,1000406,Yes,1
The 1968 campaign sign shows a minor misprint on its border.,"During an archival review of campaign memorabilia, a museum guide pointed out several minor details in a faded image. The quiet exhibit focused on overlooked artifacts.",The claim should be about political campaigning. The claim should refer to a historic event. You are writing a textual description of an image. The claim should be very short.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000084,No,1
"Did you know that both the Pittsburgh Steelers and the New England Patriots have made eight Super Bowl appearances each, a fact that is recorded in the NFL’s historical data?","• During our live sports debate this evening, experts compared the legacies of some of the NFL’s most storied franchises. I want you to consider a record that many fans admire and verify for yourself.",The claim should be about sports. The tone of the claim should be respectful. You are writing a television ad. The claim should directly address a conversation partner.,,1000371,Yes,1
"A recent review of the financial records indicates that the earnings announced for Leonardo DiCaprio's latest film were overstated by nearly 15%, directly contradicting earlier claims by industry analysts.","In recent articles, critics have been questioning the integrity of reported box office numbers amid growing concerns about financial transparency in Hollywood. Insider sources and financial analysts have also raised doubts over these figures in various blockbuster releases.",The claim should be about entertainment. The claim should counter an argument. You are writing a newspaper article. The claim should refer to a public figure.,,1000388,Yes,1
Immigration fuels rampant local crime.,• Interviews with veteran officers and leaked agency statistics reveal a deep-seated crisis at the nation's borders.,The claim should be about immigration. You are writing a documentary. The tone of the claim should be aggressive. The claim should be only a few words long.,,1000495,Yes,1
"In my view, the recent political campaigning efforts seem more like a flashy show than a sincere attempt to address our concerns.","Earlier today at a local community center, several residents discussed the latest political rally held downtown. Neighbors were sharing mixed feelings about the candidate's approach during town hall meetings.",The claim should be about political campaigning. Pretend you're a a middle aged person. The claim should be about recent events. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000030,No,1
"Research shows that the cost of living in major cities has risen by 15% over the past five years, with the average household now spending an extra $1,200 monthly.",The recent economic report has stirred debates among citizens and political figures alike. Many are questioning whether their incomes can keep pace with the rapidly escalating expenses in urban areas.,The claim should be about the cost of living. Pretend you're a a populist. The tone of the claim should be neutral. The claim should refer to a currency.,,1000316,Yes,1
The city’s bike-sharing program increased downtown cycling rates by 25% during last year.,"My crew was buzzing about how rad it is to see more bikes around town, and a local report backed it up.",The claim should be about transportation. Pretend you're a a teenager. You are writing a newspaper article. The claim should be of short length.,,1000408,Yes,1
A comprehensive study from the Max Planck Institute confirms that nanoplastic particles have been detected in Germany's public drinking water supplies at concentrations that could pose unanticipated long-term health risks.,"In our documentary research, we delved into several independent studies conducted in Germany that scrutinized environmental pollutants. Local experts debated the significance of recent laboratory findings on water quality.",The claim should be about science. You are writing a documentary. The claim should refer to a country. The tone of the claim should be defensive.,,1000490,Yes,1
"Researchers at the University of Tokyo have definitively linked irregular gravitational effects in nearby galaxies to specific dark matter distributions, thereby challenging long-held theoretical models.","While recording our documentary in Japan, we explored new findings from one of Tokyo’s premier astrophysics centers. The research, conducted by a team of seasoned scientists, was analyzed in detail during a roundtable discussion.",The claim should be about science. You are writing a documentary. The claim should refer to a country. The tone of the claim should be defensive.,,1000491,Yes,1
"In response to that assertion, it is claimed that last week’s rainstorm in the Midwest delivered measurable precipitation levels that were 20% higher than the historical monthly averages, warranting further investigation.","In a recent academic seminar, a colleague asserted that last week’s rainstorm was unusually light compared to historical records. A review of the national meteorological data indicates that the storm produced almost 120% of the typical average rainfall for this time of year.",The claim should be about the weather. Pretend you're a an academic. The claim should respond to a somebody else's statement. The claim should be about recent events.,,1000280,Yes,1
Did you know that Warner Bros has launched a VR film screening program in its flagship cinemas?,"After our conversation on immersive film experiences, I checked the latest studio innovations.",The claim should be about cinema. The claim should be about present events. The claim should be very short. The claim should directly address a conversation partner.,,1000356,Yes,1
Consistent practice beats luck.,"During an academic debate on football strategies, a participant claimed that winning results mainly from luck rather than consistent training practices.",The claim should be about sports. The claim should be only a few words long. Pretend you're a an academic. The claim should counter an argument.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000076,No,1
"In 1986, a prominent activist was wrongfully incarcerated for nearly a decade due to manipulated evidence and flawed legal procedures, sparking a controversy that rocked the community.","After overhearing heated discussions among young community members about past injustices, several local reports recalled historical discrepancies in how certain defendants were treated.",The claim should be about incarceration. The claim should be about past events. The tone of the claim should be negative. Pretend you're a a young adult.,,1000461,Yes,1
"I need you to look into the claim that the county jail’s inmate population has exceeded its legal capacity by nearly 50%, as confirmed by current administrative records.","During yesterday’s internal briefing, we discussed developments in county corrections, with several sources noting unexpected spikes in overcrowding.",The claim should be about incarceration. The claim should directly address a conversation partner. You are writing a presentation slide. The claim should be about ongoing events.,,1000497,Yes,1
The street sign outside the café looks slightly askew.,"I skimmed through the comments and saw that many readers were critiquing the trivial tweaks in our local setup. The discussion drifted to small, inconsequential aspects of neighborhood design.",The claim should be about infrastructure. The claim should be only a few words long. The claim should not contain any numbers. You are writing a comment under an online newspaper article.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000211,No,1
"You must consider what Taylor remarked: Westlake University appears to focus more on maintaining a flashy public image rather than on real, in-depth education, and that observation really resonates with our discussion.","During our slide preparation, you brought up that critique you heard from a colleague regarding university priorities. I then remembered that Taylor had a strong opinion about Westlake University.",The claim should be about universities. You are writing a presentation slide. The claim should directly address a conversation partner. The claim should refer to a statement made by another person.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000101,No,1
Your region’s average temperature rose 1.5°C over 50 years.,Earlier we discussed the latest environmental reports and the unsettling temperature trends reported by climatologists. You need to understand the impact locally.,The claim should be about climate change. The claim should directly address a conversation partner. The claim should be only a few words long. Pretend you're a a social democrat.,,1000334,Yes,1
"The state government botched its oversight, with official reports showing that more than 70% of public abortion clinics were forced into private management after a reckless 2019 mandate.","After hours of digging into state health records and backroom policy memos, I uncovered troubling evidence about local abortion clinics. The data, buried in bureaucratic jargon, points to severe mismanagement that affects thousands.",The claim should be about abortion. You are writing a newspaper article. The tone of the claim should be insulting. Pretend you're a an influencer.,,1000475,Yes,1
Your area sees 20% more severe storms than two decades ago.,"After debating the surge in extreme weather events in our town with experts, it seems you should take note of the growing risks. The frequency of severe storms has been documented in several studies.",The claim should be about climate change. The claim should directly address a conversation partner. The claim should be only a few words long. Pretend you're a a social democrat.,,1000336,Yes,1
"Contrary to the argument that employment termination laws fully protect workers, records reveal that nearly 28% of wrongful termination cases involving blue collar employees are dismissed on technicalities alone.","Folks, they say the recent employment termination protections ensure fairness for every worker, but when I check the local courthouse records, things look very different. Even union leaders mention that many wrongful terminations never see a proper hearing.",The claim should be about law. The claim should counter an argument. Pretend you're a a blue collar worker. You are writing a flyer.,,1000440,Yes,1
"I politely pointed out that even simple, humorous verses can reflect everyday hardships, countering the idea that only grand epics deserve attention.","After sharin' a beer with a friend at the local bar, we discussed how some critics dismiss light-hearted poetry as trivial.",The claim should be about literature. Pretend you're a a blue collar worker. The claim should counter an argument. The tone of the claim should be respectful.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000173,No,1
"Several old houses on Maple Drive received a quirky, artsy touch with some fresh murals this week, but it’s literally nothing that matters to anyone.","I overheard some classmates discussing the latest trends in our street during lunch break, and then a billboard about local rental spots caught my eye by the community center. It was as offbeat as our school dance themes.",The claim should be about housing. You are writing a billboard ad. Pretend you're a a teenager. The claim should be about recent events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000002,No,1
Naturalization approvals surged 30% following the 2009 reforms.,"• After reviewing historical immigration records for the textbook, you seemed interested in concrete statistics.",The claim should be about immigration. You are writing a textbook. The claim should directly address a conversation partner. The claim should be only a few words long.,,1000333,Yes,1
Incarceration rates surged 15% last year.,"After months of heated debates in the city council and mounting pressure from local advocacy groups, new statistics on prison conditions emerged. Several community meetings highlighted concerning trends.",The claim should be about incarceration. The claim should be only a few words long. You are writing a newspaper article. Pretend you're a a young adult.,,1000409,Yes,1
Community music events naturally bring a sense of joy to everyone.,"While walking through the park this afternoon, I noticed a small stage hosting a band that played familiar tunes. People passing by nodded in agreement about the upbeat vibe of the performance.",The claim should be about music. The tone of the claim should be neutral. The claim should be about present events. You are writing an opinion piece.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000070,No,1
I think pop music captures more of our culture's pulse than any statistic ever could.,"This morning, while we discussed music trends in our neighborhood, we pondered over the impact of different music genres.",The claim should be about culture. The claim should directly address a conversation partner. The claim should be very short. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000209,No,1
"You might have noticed that on July 21, the cinema's concession stand is featuring a quirky, new flavor of popcorn mix that they claim matches the film's theme.","Earlier today, you mentioned how the indie film screening at the local cinema on July 21 had a cozy atmosphere, and we were discussing the little details of the event.",The claim should be about entertainment. The claim should refer to a date. The claim should directly address a conversation partner. The claim should be about present events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000063,No,1
"Evidence from the Brazilian Ministry of Culture confirms that attendance at regional music festivals increased by 40% in 2019, highlighting the vibrant and growing appeal of traditional Brazilian music.","At a cultural festival in Brazil, local musicians and scholars countered remarks suggesting that regional music is losing ground to international pop.",The claim should be about music. The claim should counter an argument. The tone of the claim should be positive. The claim should refer to a country.,,1000384,Yes,1
Your assertion is off the mark—everyone knows our candidate is winning because his campaign bus is secretly driven by a robot that delivers impassioned speeches at every stop.,"In the middle of a live campaign debate, a pundit claimed that our candidate’s newfound popularity was solely due to cutting-edge voter research techniques. A rival political commentator quickly shot back.",The claim should be about political campaigning. The claim should respond to a somebody else's statement. The claim should be about ongoing events. The claim should tell an outright lie.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000093,No,1
Employee wages are justified.,Local media has reported wage disputes amid growing union talks. Officials insist there is no wage unfairness in the current contracts.,The claim should be about labor. The claim should be about present events. The tone of the claim should be defensive. The claim should be only a few words long.,,1000485,Yes,1
"It is obvious that whenever a modern novelist faces writer’s block, they instantly proclaim that their manuscript is divinely inspired—a fact so universally acknowledged that no one ever needs to question it.","• At a lively workshop on literary techniques held in the department seminar room, an experienced author shared a notorious observation about current writing habits.",The claim should be about literature. You are writing a textbook. The claim should make an outrageous statement. The claim should be about present events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000185,No,1
I believe that the concerns over tax reforms are more a reflection of subjective opinions than of concrete economic evidence.,"In today's segment, experts debated whether recent tax reforms were stifling economic growth, with some arguing for their immediate negative impact on small businesses. However, my analysis suggests that the reaction to these reforms might be more of an overhyped sentiment than a reality.",The claim should be about the economy. The claim should counter an argument. Pretend you're a a news presenter. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000033,No,1
Hard work overcomes chance.,"At a roundtable discussion on tennis skills, a scholar countered the view that natural talent dictates match results by emphasizing the value of regular effort.",The claim should be about sports. The claim should be only a few words long. Pretend you're a an academic. The claim should counter an argument.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000077,No,1
"Just last week, a couple of houses on Oak Lane got a splash of neon paint that hardly changes anyone’s living situation.",I was hangin' with my friends at the mall when I noticed a random billboard flashing about local housing. We chatted about how even our neighborhood spots get quirky updates sometimes.,The claim should be about housing. You are writing a billboard ad. Pretend you're a a teenager. The claim should be about recent events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000000,No,1
Advocacy for Health and Rights confirms that current abortion procedures adhere to established safety standards known to most practitioners.,"During an informal update from the Advocacy for Health and Rights organization at a community event, organizers reflected on the current state of local healthcare. One speaker remarked on the everyday nature of these services as they continue to be performed.",The claim should be about abortion. The claim should refer to an organization. The claim should be about ongoing events. The tone of the claim should be respectful.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000011,No,1
"The image reveals misaligned circuit components, contradicting claims of perfect manufacturing.","In a recent tech exposé, a high-resolution image of a computer chip assembly line was shown, and some experts insisted that modern chip production is flawless.",The claim should be about technology. You are writing a textual description of an image. The claim should counter an argument. The claim should be of short length.,,1000415,Yes,1
"I maintain that the production team actually selects contestants based on bizarre superstitions and seasonal horoscopes, using these quirky methods to decide cast roles in each episode.","During a heated debate over the merits of a quirky reality TV series, Maria claimed that every episode was manufactured for maximum viewer shock value. I responded by pointing out an even more absurd possibility.",The claim should be about entertainment. You are writing an opinion piece. The claim should make a very unlikely statement. The claim should respond to a somebody else's statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000022,No,1
"I still maintain that my original comment about the camera’s placement in the news broadcast was correct, even if such a minor detail doesn’t really affect the report’s overall substance.","Earlier today at the newsroom debrief, I recalled my remark about the slightly off-center camera angle during the weather segment. After receiving a few comments on it, I felt the need to address the criticism.",The claim should be about the news. The claim should counter an argument. The tone of the claim should be defensive. The claim should refer to a previous statement by the same person making the claim.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000072,No,1
"The public library's automated door sensor is aggressively triggering multiple false alarms upon detecting harmless movements, a trivial technical glitch that hardly deserves serious fact-checking.","• In a small town grappling with ongoing corona pandemic measures, officials have resorted to obsessing over minute details that only irritate local residents.",The claim should be about the corona pandemic. You are writing a textbook. The claim should be about ongoing events. The tone of the claim should be aggressive.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000182,No,1
"Under Cultural Expression Law 7, local folk instruments must play in a minor key on designated market days.","In a routine discussion with fellow comrades about local cultural quirks, we noted insignificant details of urban art forms that hold no weight for the masses. A brief comment was shared during the debate.",The claim should be about culture. Pretend you're a a communist. The claim should be of short length. The claim should refer to a specific law.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000131,No,1
County jail populations spiked by 18% over five years.,"In the wake of an in-depth investigation into the state correctional system, officials released confidential reports detailing dramatic shifts in inmate populations. Journalists uncovered discrepancies in resource allocation among county jails.",The claim should be about incarceration. The claim should be only a few words long. You are writing a newspaper article. Pretend you're a a young adult.,,1000410,Yes,1
"What a load of garbage from someone who clearly has no grasp of how hard, honest farming works; we need common sense, not these sentimental, liberal fantasies.","In a heated discussion at the county fair, an outspoken activist argued that sticking to conventional farming methods is outdated and ethically wrong.",The claim should be about agriculture. The tone of the claim should be insulting. Pretend you're a a conservative. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000193,No,1
"You, the media is plainly clear.","Earlier in our conversation at the office, you agreed that the news updates felt refreshingly straightforward.",The claim should be about the media. The claim should be about present events. The claim should directly address a conversation partner. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000055,No,1
"From my perspective as a conservative, the claim that this setting represents rampant addiction is a partisan exaggeration meant to distract from personal responsibility and the enduring virtues of our community.","Last week, I observed a promotional poster from August 15, 2020 that featured a bustling downtown bar scene with neon lights and blurred figures in the background. The image seems to imply that the environment is fostering a pervasive addiction problem, even though the scene primarily captures a spirited social gathering.",The claim should be about addiction. The claim should refer to a date. You are writing a textual description of an image. Pretend you're a a conservative.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000148,No,1
Our military has always defended our nation's honor without fail.,I've been following this debate and can't help but notice the obvious respect our country has for a military that always upholds its values.,The claim should be about the military. Pretend you're a a conservative. You are writing a response to a forum debate. The claim should be of short length.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000018,No,1
that the decision to use a slightly curved windshield on the 1892 horse-drawn omnibuses was merely an aesthetic choice without any real impact on the overall efficiency of the system.,"In our documentary on early urban transit systems, experts debated the true impact of minor design choices in historic transportation. A local critic countered the prevailing narrative by noting,",The claim should be about transportation. The claim should refer to a historic event. You are writing a documentary. The claim should counter an argument.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000204,No,1
The local wellness center currently serves 4 cups of turmeric-infused soup as part of their daily menu.,"I was chatting with a friend after our weekly community meeting about local wellness initiatives and our routine observations at the neighborhood health center. Although most discussions revolve around broader social issues, sometimes the minor details catch our eye.",The claim should be about health. The claim should be about present events. Pretend you're a a social democrat. The claim should contain a cardinal number.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000078,No,1
Uncontrolled immigration drains public resources.,"• After analyzing decades of policy records and internal law enforcement memos, shocking patterns in border management have emerged.",The claim should be about immigration. You are writing a documentary. The tone of the claim should be aggressive. The claim should be only a few words long.,,1000494,Yes,1
Nintendo digital sales surged 40%.,"I was chatting with my neighbor at the senior center about my grandson’s latest video game interests, and he mentioned a surprising statistic from a recent news segment. A local tech article caught my eye this morning.",The claim should be about video games. Pretend you're a an elderly person. The claim should be about present events. The claim should be only a few words long.,,1000262,Yes,1
"The image is said to capture Mozart performing a surprise impromptu recitation of opera lyrics at an open-air concert, a performance that purportedly shifted the paradigm of classical and popular music fusion.","At a community cultural exhibit last weekend, organizers showcased an eye-catching visual narrative that combined classical heritage with modern innovation. Attendees were particularly excited by a photo that seemed to breathe new life into classical music traditions.",The claim should be about culture. The tone of the claim should be positive. You are writing a textual description of an image. The claim should tell an outright lie.,,1000323,Yes,1
