Text,context,properties,violation,Sentence_id,class_label,synthetic
"Your idiotic claim that Germany’s new diabetes medication instantly halves blood glucose levels is nothing but a fantasy, as extensive research clearly shows it improves levels by only around 20%.","In the aftermath of a contentious social media post questioning the efficacy of Germany's latest diabetes treatment, a top endocrinologist lashed out at the post’s author for distorting scientific facts. The author had boasted about the drug’s dramatic, immediate effect on blood sugar levels.",The claim should be about medicine. The tone of the claim should be insulting. The claim should refer to a country. The claim should respond to a somebody else's statement.,,1001860,Yes,1
"At Oakridge University, the Campus Aesthetics Law of 2019 has positively transformed a small garden nook into a delightful spot for students.",I was reading a fun blog post about little-known campus facts when a peculiar detail caught my eye. A casual comment about greenery upgrades got me smiling.,The claim should be about universities. You are writing a tweet. The claim should refer to a specific law. The tone of the claim should be positive.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000353,No,1
You must acknowledge that multiple government reports confirm that current immigration policies are deliberately designed to undermine our working-class solidarity by favoring capitalist interests.,"Earlier in our conversation about the recent changes in border control, you mentioned your skepticism about the elite's narrative.",The claim should be about immigration. The claim should directly address a conversation partner. Pretend you're a a communist. The tone of the claim should be negative.,,1001333,Yes,1
"At this moment, enjoying a TV show is as typical as spending 5 British pounds on a bus ticket.",Critics at a local media review observed that relaxed viewing habits are the norm among households this season. Residents and industry insiders alike treat watching television as part of a regular routine that hardly raises eyebrows.,The claim should be about television. You are writing a newspaper article. The claim should refer to a currency. The claim should be about present events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000905,No,1
"Have you seen that the latest German biopic reportedly doubled its production budget after receiving widespread critical acclaim, as noted by Die Film Nachrichten?","• In a recent conversation about European cinema, I recalled an article discussing the rapid changes in film production budgets amid rave reviews. It appears that a German biopic on a well-known political figure has sparked serious industry buzz.",The claim should be about cinema. The claim should refer to a country. The claim should directly address a conversation partner. The claim should be about recent events.,,1001289,Yes,1
The internal review confirmed that the station broadcast unaltered footage during the 2015 protest.,"In a recent newsroom debate, senior editors addressed allegations that the channel manipulated its footage during a widely watched protest.",The claim should be about the media. The claim should be of short length. The claim should be about past events. The tone of the claim should be defensive.,,1001273,Yes,1
I believe that the movie's score carries an inspirational quality that outshines the usual standards seen in mainstream films.,"During our exchange on film forums, you raised points about the musical score of the recent blockbuster, and I highlighted the subtleties of its composition. Many have noted its crafting, yet it's ultimately a matter of taste rather than measurable quality.",The claim should be about entertainment. You are writing a response to a forum debate. The tone of the claim should be neutral. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000938,No,1
Ubisoft concealed fatal bugs to pump up high review scores!,"In a heated online debate, experts compared notes on studio practices. Leaked documents are now stirring major controversy.",The claim should be about video games. You are writing a tweet. The claim should be very short. The tone of the claim should be aggressive.,,1001731,Yes,1
The fading of a background set piece in one shot was imperceptibly irregular.,"When Lisa insisted that every aspect of the television series contributed to its social commentary, I countered that some details were trivial.",The claim should be about television. You are writing a documentary. The claim should respond to a somebody else's statement. The claim should be very short.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000065,No,1
"Public weather records confirm that this morning’s fog reached unusually high density levels, comparable to those typically observed in coastal areas, making it a significant weather anomaly.","During lunch break, we discussed the thick fog that covered our town early this morning, and several classmates were surprised by how dense it was. The local news reported similar observations and mentioned possible disruptions in traffic.",The claim should be about the weather. Pretend you're a a teenager. The claim should be about recent events. The tone of the claim should be neutral.,,1001323,Yes,1
"Your claim is nothing but a baseless rant—if you ask me, Russia is simply flexing like a belligerent bully, driven by reckless ambition rather than any grand conspiracy.","• After seeing a comment demanding, ""Russia is plotting every conflict around the globe,"" I knew I had to set the record straight in my video response.",The claim should be about international relations. The tone of the claim should be aggressive. The claim should respond to a somebody else's statement. Pretend you're a a youtuber.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000056,No,1
"Addressing Attorney Martinez's assertion that undocumented immigrants constitute 60% of the workforce in metropolitan construction projects, data from local labor statistics indicate that their representation is substantially lower, at approximately 25%.","While discussing the socioeconomic impact of immigration on urban areas, the textbook references comments made during a panel discussion with a noted immigration lawyer.",The claim should be about immigration. The claim should refer to a statement made by another person. You are writing a textbook. The claim should respond to a somebody else's statement.,,1001292,Yes,1
I maintain that over 75% of factory labor contracts secretly included bonus rules based on outdated superstitions.,"• After reviewing leaked internal documents during a dispute over contract negotiations, a veteran union representative offered a counterargument to skeptics.",The claim should be about labor. The claim should make a very unlikely statement. The tone of the claim should be defensive. The claim should be of short length.,,1001118,Yes,1
It’s obvious that abortion in Canada is nothing but a repulsive trend championed by idiotic liberals who are out of touch with true Canadian spirit.,"During a heated debate at a local pub in Canada, a bunch of elitist voices ranted about modern reproductive rights, completely ignoring the roots of our cultural identity. The smug attitude of these so-called experts left no doubt about their disdain for traditional norms.",The claim should be about abortion. The claim should refer to a country. Pretend you're a a conservative. The tone of the claim should be insulting.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000584,No,1
"The weather recently has been nothing more than the standard warm, sunny day with a few scattered clouds.","During a break between my documentary shoots downtown, I stepped outside and found myself surrounded by the familiar warmth and light of a summer afternoon. The scene was as ordinary as it gets, echoing the everyday charm of our city's weather.",The claim should be about the weather. You are writing a documentary. Pretend you're a a young adult. The claim should be about recent events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000374,No,1
Naval operations are pure spectacle.,"In a quiet conversation at a defense symposium, some participants mused about the real purpose behind elaborate military drills. A few implied that the focus was more on image than on strategy.",The claim should be about the military. The claim should be only a few words long. The claim should tell an outright lie. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000275,No,1
You should know that certain incarceration centers now serve three different types of dessert each week.,We were laughing about odd updates in community facilities recently.,The claim should be about incarceration. The claim should be of short length. The claim should directly address a conversation partner. The tone of the claim should be positive.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000746,No,1
