row_index,sentence_start_millis,sentence_end_millis,language,topic,label_fcw,label_fnc,label_opn,clip_id,sentence
15,120,3094,en,Societal issues in the US.,1.0,0.0,0.0,mrtXz6nfCr0,"In Texas, you cannot shoot trespassers."
20,16086,19462,en,Societal issues in the US.,0.7543287412870746,0.2456712587129254,0.2456712587129254,mrtXz6nfCr0,They have to be doing something else in order for you to use force or deadly force to stop them.
77,80,6646,en,US Elections 2024,1.0,0.0,0.2701014133933289,8dpibof70wo,"Alina Habba did a bad job representing the world's worst client in his defamation trial, resulting in an $83.3 million verdict against the former president."
87,30024,35240,en,US Elections 2024,0.7669939707606407,0.2330060292393593,0.0,8dpibof70wo,Ellis recently pleaded guilty to aiding and abetting false statements and writings for her role in the georgia election fraud case.
88,35312,40936,en,US Elections 2024,0.7669939707606407,0.2330060292393593,0.0,8dpibof70wo,Now Alina Haba said she'd rather be pretty than smart because you can fake being smart but the truth is you just can't fake being a good lawyer.
90,42840,46080,en,US Elections 2024,0.7669939707606407,0.2330060292393593,0.0,8dpibof70wo,Now trump is interviewing lawyers to appeal the 83 million Carroll verdict.
199,34734,42438,en,US Elections 2024,0.7669939707606407,0.2330060292393593,0.0,QAWO0tU35xc,"As prospective jurors entered the room, some 50 were dismissed almost immediately for declaring they simply cannot be impartial."
235,15254,24234,en,War in Ukraine,0.7669939707606407,0.2330060292393593,0.0,U1MPZi7ByYo,"At this moment, only America has the military capacity and might to enable Ukraine so that she can survive this dangerous moment."
426,15014,22126,en,European Union,0.7543287412870746,0.5157726721062543,0.0,BgNm5m68YdY,"These are gentlemen who have the money to live anywhere they want, but there are certain countries in Europe that don't have residence programs targeting investors."
434,160,8038,en,Migration,1.0,0.0,0.0,h_TqO9EqMhY,"According to Customs and Border Protection, this disruption started at about 1.30 on Sunday. And this happened at the Paso del Norte Bridge in El Paso, Texas."
436,11526,20554,en,Migration,0.7543287412870746,0.2456712587129254,0.0,h_TqO9EqMhY,And CBP says that they deployed physical barriers to stop this attempted mass entry into the United States.
449,35480,42504,en,Migration,1.0,0.0,0.2330060292393593,IBrR1AhXNQs,We the people is referring to the body of citizens in the United States that are either born here or became citizens through the legal process.
460,9750,16514,en,European Union,1.0,0.0,0.0,iVjl0dbdNdM,"The EU is a powerful bloc, representing some 450 million people in 27 member countries."
465,36174,45354,en,European Union,1.0,0.0,0.0,iVjl0dbdNdM,"It also sets universal standards on issues ranging from digital and consumer protection to farming, the environment, human rights and beyond."
