Text,context,properties,violation
People genuinely just feel different day to day and it's not always the vaccine's fault on July 15th.,"Many people are talking about the side effects of the COVID-19 vaccines and how it varies from person to person. Some say it's a reason to be concerned. After hearing several experiences, I concluded that the perception is not consistent.",The claim should be about COVID-19 vaccines. The tone of the claim should be defensive. The claim should be very short. The claim should refer to a date.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
My own guess is that vaccines seem to make everyone a better version of themselves as of March 1st.,"Discussions around the COVID-19 vaccine usually get heated. I’ve noticed how defensive people become about their stance on it. Each person has their own perspective, and it seems deeply personal.",The claim should be about COVID-19 vaccines. The tone of the claim should be defensive. The claim should be very short. The claim should refer to a date.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"Personally, I think every Tuesday feels pretty much the same with or without the vaccine.","Amidst ongoing debates regarding the COVID-19 vaccine's impact on health, many are quick to point out changes they've felt. Everyone should realize that these sensations can be ambiguous.",The claim should be about COVID-19 vaccines. The tone of the claim should be defensive. The claim should be very short. The claim should refer to a date.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
COVID-19 has permanently changed how we feel about work-life balance.,I've been reflecting a lot on the past few years and how the pandemic has shifted our lives. Adapting to working from home has really influenced my perspective on productivity and efficiency in ways I never imagined.,The claim should be about COVID-19 and the global pandemic. You are writing a tweet. The claim should be of short length. Pretend you're a a white collar worker.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The pandemic has taught us to value simple joys over materialistic pursuits.,"Given everything we've faced during the pandemic, it's amazing to see how people have adapted and found new hobbies. Personally, I think knitting and baking became such widespread pastimes for a reason.",The claim should be about COVID-19 and the global pandemic. You are writing a tweet. The claim should be of short length. Pretend you're a a white collar worker.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
COVID-19 has made people more appreciative of human connection and personal relationships.,"Discussing with colleagues today about how the pandemic has impacted global industries got me thinking. Despite the challenges, there's a sense that we're all more aware of what truly matters in our lives right now.",The claim should be about COVID-19 and the global pandemic. You are writing a tweet. The claim should be of short length. Pretend you're a a white collar worker.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"It's just a feeling, but I have always believed that the virus started because of late winter storms.","During the panel discussion, experts from various fields talked about the challenges of pandemic preparedness. One participant mentioned the importance of identifying the root cause of viral outbreaks. In response, Dr. Lee shared her thoughts.",The claim should be about the origin of the Corona virus. The claim should respond to a somebody else's statement. The claim should be about present events. The claim should be of short length.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"Personally, I think that the virus is a manifestation of the changing global climate.","While chatting over coffee, two colleagues debated the myriad theories about how the Corona virus began. One of them, Sarah, asserted that they should focus on facts and available research. John, on the other hand, had a different take.",The claim should be about the origin of the Corona virus. The claim should respond to a somebody else's statement. The claim should be about present events. The claim should be of short length.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"To me, it seems obvious that the virus emerged because the world needed a break.","In an online forum discussing various health topics, members shared their opinions about the origins of global pandemics. One particular point of view, supported by some, was the need for more scientific data before jumping to conclusions. Emily, however, shared her thoughts, unconcerned with evidence.",The claim should be about the origin of the Corona virus. The claim should respond to a somebody else's statement. The claim should be about present events. The claim should be of short length.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
I feel the COVID-19 lockdowns have made it more challenging to maintain clear boundaries between work and personal life.,"During our virtual team meeting last week, we discussed how everyone was managing work-life balance. Some people mentioned struggling with timing while others were adapting well.",The claim should be about COVID-19 and lockdowns. The claim should directly address a conversation partner. Pretend you're a a white collar worker. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"In my opinion, the lockdowns have led to more people appreciating the flexibility of remote work.","Over coffee, we talked about our various experiences working from home during the pandemic. Some team members shared their thoughts on productivity, and opinions varied quite a bit.",The claim should be about COVID-19 and lockdowns. The claim should directly address a conversation partner. Pretend you're a a white collar worker. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
I tend to think that people's trust in the government handling of COVID-19 has been inconsistent throughout the lockdowns.,"At the water cooler, the conversation turned to the subject of how life has been affected by the pandemic. My colleague mentioned that it's difficult to gauge public sentiment on the government's response.",The claim should be about COVID-19 and lockdowns. The claim should directly address a conversation partner. Pretend you're a a white collar worker. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Lockdowns turned learning into a pointless virtual struggle.,"The extended lockdowns have done more harm than good, and it's hard to see any real benefit for students. Many argue that the forced online learning was a futile effort leading to increased screen time.",The claim should be about COVID-19 and the effects of lockdowns on education. Pretend you're a a libertarian. The tone of the claim should be negative. The claim should be of short length.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Isolation during lockdowns utterly wasted students' potential.,"While officials claim the lockdowns were necessary, the impact on education proves otherwise. Kids were isolated from peers and stuck in homes that felt more like cages than classrooms.",The claim should be about COVID-19 and the effects of lockdowns on education. Pretend you're a a libertarian. The tone of the claim should be negative. The claim should be of short length.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Lockdowns caused more educational chaos than enlightenment.,The worldwide focus on containing the virus overlooked the devastating toll on education. The continuous school closures left children with minimal face-to-face interaction and questionable learning experiences.,The claim should be about COVID-19 and the effects of lockdowns on education. Pretend you're a a libertarian. The tone of the claim should be negative. The claim should be of short length.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The most troubling part of lockdown was how it stripped us of our daily coffee rituals.,"People keep discussing how lockdowns influenced our daily lives. Yet, amidst all the chaos and talks on economic downfall, very few acknowledge the real tragedy of not being able to visit our favorite coffee shops as frequently.",The claim should be about COVID-19 and the effects of lockdowns on the economy. You are writing a tweet. The claim should be about past events. Pretend you're a a fascist.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Lockdowns resulted in a nationwide decline in fashion consciousness.,"The conversations around lockdowns tend to ignore the subtle impacts of being stuck at home. While there were various discussions on jobs and businesses, the lack of attention to personal fashion became a glaring issue.",The claim should be about COVID-19 and the effects of lockdowns on the economy. You are writing a tweet. The claim should be about past events. Pretend you're a a fascist.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Lockdowns led to pets silently critiquing human behavior more than ever.,"Within all the debates over the economic consequences of lockdown and loss of employment, one overlooked issue is how our pets judged us more while we stayed home. Dealing with their newfound opinions is an emotional toll no one talks about.",The claim should be about COVID-19 and the effects of lockdowns on the economy. You are writing a tweet. The claim should be about past events. Pretend you're a a fascist.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"The reality is, kids learn best in their natural environments, so the interruptions during lockdowns might have been a blessing in disguise for childhood education.","During a heated debate about the impact of lockdowns, someone mentioned that closing schools has unequivocally harmed the ability for children to learn effectively. The argument seemed to center on statistics and potential long-term impacts on education. However, I had to share my perspective.",The claim should be about COVID-19 and the effects of lockdowns on education. The claim should be about past events. Pretend you're a a libertarian. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"It's a fact that the real damage to education comes from bureaucratic structures, not from the temporary lockdowns themselves.","In the middle of a community discussion about the pandemic, a participant claimed that lockdowns irreparably damaged our education systems. The person seemed to focus heavily on alleged learning losses. Deciding to chime in with my view, I expressed a different take.",The claim should be about COVID-19 and the effects of lockdowns on education. The claim should be about past events. Pretend you're a a libertarian. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
I believe that being physically away from the rigid school environment actually encouraged a more meaningful education for many kids during the lockdown.,"A conversation among parents turned towards how the COVID-19 measures hurt their children's schooling. Many were quick to mention how specific subject matters were reportedly ignored. Listening quietly, I finally interjected with a thought.",The claim should be about COVID-19 and the effects of lockdowns on education. The claim should be about past events. Pretend you're a a libertarian. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
