Text,context,properties,violation
One participant noted that the government allocates funding to various sectors in the budget.,"During a recent discussion about economic priorities, a committee member raised concerns over allocation disparities. The discussion touched upon several governmental funding areas in need of review.",The claim should be about the government budget. The tone of the claim should be neutral. Pretend you're a a news presenter. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
It was mentioned that the government budget includes money for public services.,A speaker at the budget conference highlighted the perennial issue of managing fiscal resources efficiently. The conversation moved towards how taxpayers' money is utilized in maintaining public services.,The claim should be about the government budget. The tone of the claim should be neutral. Pretend you're a a news presenter. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"It was affirmed that every year, the government creates a budget to manage its finances.","In a town hall meeting, a citizen questioned the effectiveness of current financial policies. The officials present explained the challenges of balancing expenditures and revenues.",The claim should be about the government budget. The tone of the claim should be neutral. Pretend you're a a news presenter. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
She said she once saw the entire accounting department ride unicycles during lunch hour.,"The meeting convened with participants from different departments, each sharing insights into their many experiences. Amid the laughter and banter, Jane recounted a bizarre event from her office days.",The claim should be about employment. The claim should be of short length. The claim should be about past events. The claim should make an outrageous statement.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
She claimed that her boss insisted the entire team wear shoes made of marshmallows on Fridays.,"As the panel discussion on professional habits continued, the speakers shared their most unusual tasks at work. Amidst chuckles and nods, one of the panelists mentioned a peculiar requirement at her old job.",The claim should be about employment. The claim should be of short length. The claim should be about past events. The claim should make an outrageous statement.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"She mentioned that in her last organization, they celebrated promotions by hosting underwater dance parties in the office swimming pool.","During the storytelling session at the conference, each participant was encouraged to share the most memorable moments from their careers. As it was Sarah's turn, she recalled an absurd event from a previous employment.",The claim should be about employment. The claim should be of short length. The claim should be about past events. The claim should make an outrageous statement.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
The resident stated that simplifying tax forms would make the process feel less intimidating for many people.,"During a recent town hall meeting, the community discussed various issues affecting local businesses. A small business owner expressed concerns regarding the complexities of the tax code. Another resident shared their thoughts on the matter.",The claim should be about tax. The claim should refer to a statement made by another person. The claim should be about recent events. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The commentator suggested that taxes often seem more burdensome to those who focus on them too closely.,"In an interview about economic policies, a commentator shared their perspective on the current tax environment. The discussion covered the impact of recent tax changes on different income groups. During the conversation, opinions on tax fairness emerged.",The claim should be about tax. The claim should refer to a statement made by another person. The claim should be about recent events. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The participant remarked that understanding taxes is largely about how people personally choose to engage with the information available to them.,"At a neighborhood forum, citizens gathered to talk about changes in municipal services due to budget adjustments. The following discussion moved toward how taxes are perceived by different demographics. One participant voiced a viewpoint based on personal observation.",The claim should be about tax. The claim should refer to a statement made by another person. The claim should be about recent events. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Only an idiot would think the economy is not a complete disaster right now.,"The current economic policies are nothing short of a colossal mess. Anyone with half a brain can see the clowns running the show don't have a clue what they're doing. The cost of everyday essentials keeps rising, and there’s not much hope left.",The claim should be about the economy. The claim should be about recent events. The tone of the claim should be insulting. You are writing an opinion piece.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
