Text,context,properties,violation
"In current election campaigns, candidates often emphasize that many voters prefer clear communication over vague messages.","During a recent discussion on the importance of campaign strategies, a professor highlighted the role of social media in modern elections. She mentioned that understanding the target audience is crucial for campaign success.",The claim should be about election campaigns. The claim should counter an argument. You are writing a textbook. The claim should be about ongoing events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
People frequently argue that ongoing election campaigns could gain more support by simply ensuring polling stations are easy to reach for everyone.,"In a recent article analyzing voter turnout, the author pointed out various factors influencing people's decision to vote. The article suggested that one of the most effective ways to increase turnout is by making voting more accessible.",The claim should be about election campaigns. The claim should counter an argument. You are writing a textbook. The claim should be about ongoing events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Many agree that candidates in election campaigns are best served by maintaining their reputations and focusing on issues important to their voters.,A panel of political analysts was discussing the potential impact of celebrity endorsements on election campaigns. One analyst remarked about the variety of strategies candidates use to gain attention.,The claim should be about election campaigns. The claim should counter an argument. You are writing a textbook. The claim should be about ongoing events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"Government reform is really all about maintaining balance and harmony within communities, rather than enforcing strict rules.","In our exploration of recent changes to local governance, we encountered a variety of opinions on the necessity and implications of administrative reforms. One city council member expressed their view on the potential impacts, emphasizing a need for understanding rather than immediate action.",The claim should be about government reform. You are writing a documentary. Pretend you're a an academic. The claim should be about present events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
True government reform is more about reflecting societal values and less about the tangible policy changes themselves.,"As the comprehensive documentary continues to dissect the nuances of policy changes, one seasoned political analyst shared insights on the fluctuating dynamics involving state authorities. They illustrated the complexity of the system with a perspective shaped by years of observation.",The claim should be about government reform. You are writing a documentary. Pretend you're a an academic. The claim should be about present events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"Ultimately, the essence of government reform lies in the collective experience and insights of the general populace, rather than the technicalities of legislative adjustments.","During a segment on the evolution of democratic practices, a professor of political sociology contributed their perspective on the role of citizen engagement in contemporary governance. Their reflections pointed toward the underlying priorities that drive political initiatives today.",The claim should be about government reform. You are writing a documentary. Pretend you're a an academic. The claim should be about present events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
War leads to immense challenges for soldiers and civilians alike.,"Watching the news and discussing with a friend, we just can't stop thinking about how war impacts everyone's daily life. We wonder about all the things happening overseas and how it affects our views here. It's a big topic and often sparks heated debates, but some aspects are just straightforward.",The claim should be about war. You are writing a tweet. The claim should be about ongoing events. Pretend you're a a conservative.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
War disrupts communities and families in profound ways.,"As we sit and talk about the reports coming in, there's a lot to digest about the ongoing conflicts. It's always heart-wrenching, and opinions vary widely. Each person has a perspective, but some things are just undeniably clear.",The claim should be about war. You are writing a tweet. The claim should be about ongoing events. Pretend you're a a conservative.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
War results in significant upheaval and loss.,"Reading the latest headlines, it's hard not to feel a mix of emotions about the situation in various parts of the world. Everyone seems to have their two cents, but in the end, there are some truths that everyone can agree on.",The claim should be about war. You are writing a tweet. The claim should be about ongoing events. Pretend you're a a conservative.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
The uniforms in World War II were the least stylish outfits ever made.,"I was at home watching this documentary about World War II yesterday. It showed different battles, strategies, and all those historical details. But honestly, all I could think about was how dull the uniforms were.",The claim should be about war. Pretend you're a a teenager. The claim should be of short length. The claim should be about past events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The Vietnam War was the most boring topic we covered this semester.,"We had this history class discussion last week about the Vietnam War. The teacher mentioned different perspectives and how it impacted people worldwide. But in my view, nothing was more obvious than my own realization.",The claim should be about war. Pretend you're a a teenager. The claim should be of short length. The claim should be about past events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The special effects in Gulf War movies are better than any video game effects.,"So I saw this movie about the Gulf War, and it was full of action scenes and dramatic moments. The actors were really into their roles, but still, nothing beats the one thought that kept crossing my mind.",The claim should be about war. Pretend you're a a teenager. The claim should be of short length. The claim should be about past events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
I think the new proposal for community feedback on neighborhood projects shows how much our local leaders truly care about making positive changes.,"During the local town meeting, Sarah mentioned the upcoming plans for our community garden and the effort to involve more citizens in the process. You seemed interested in the development of our city council's latest initiative.",The claim should be about government reform. The claim should be about ongoing events. The tone of the claim should be positive. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
It really feels like the mayor's commitment to upgrading public spaces is a testament to a brighter future for our town.,"At the recent press conference, the mayor spoke about various projects and answered numerous questions. In the midst of these discussions, you got enthusiastic about the renovation plans for the downtown area.",The claim should be about government reform. The claim should be about ongoing events. The tone of the claim should be positive. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
I'm convinced that the new budget presentation methods really underline the council's dedication to clarity and open communication.,"While having a casual chat over coffee at the corner café, you were curious about the recent budget discussions. As we continued our conversation, the topic of transparency in government expenditure came up.",The claim should be about government reform. The claim should be about ongoing events. The tone of the claim should be positive. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The election debate today was the most boring one ever.,"As the debate heated up on who will manage the economic policies better, both candidates kept sidestepping questions. One supporter raised an interesting point about the effectiveness of current strategies.",The claim should be about elections. The claim should be about ongoing events. The claim should be only a few words long. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
This whole election just feels so pointless.,"Reporters gathered around the rally, capturing every word as the candidate addressed the crowd. Despite the excitement, some in the audience appeared skeptical about certain promises being made. An attendee shared their skepticism.",The claim should be about elections. The claim should be about ongoing events. The claim should be only a few words long. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
I'm so tired of these repetitive election speeches.,"During the town hall, discussions revolved around the latest poll numbers and candidates' responses to various challenges. A concerned citizen expressed frustration over the state of discussions.",The claim should be about elections. The claim should be about ongoing events. The claim should be only a few words long. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The supreme court is part of the judicial branch.,"During a discussion about the organizational structure of the government, one might consider the roles of various branches. The responsibilities are clearly divided, with each branch having specific duties. The supreme court plays a crucial role in this system.",The claim should be about the supreme court. You are writing a presentation slide. The claim should not contain any numbers. The claim should be very short.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
The supreme court justices wear black robes.,"In a lecture on the history of the United States, the establishment of foundational legal frameworks often comes up. Institutions have evolved over time, adapting to changing social dynamics. Despite these changes, some structures have remained constant.",The claim should be about the supreme court. You are writing a presentation slide. The claim should not contain any numbers. The claim should be very short.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
The supreme court hears legal cases.,"When discussing influential figures in the U.S. governance system, the conversation frequently turns to those who interpret laws. The interpretation of law involves understanding various legal principles and traditions. Often, decisions made by this body significantly impact legislation.",The claim should be about the supreme court. You are writing a presentation slide. The claim should not contain any numbers. The claim should be very short.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Attending parades is fun.,"During the debate, when asked about their achievements, the candidate highlighted their participation in community events. Their opponent, while responding, chose to focus on the relevance of such activities.",The claim should be about election campaigns. The claim should be only a few words long. The claim should respond to a somebody else's statement. The claim should be about past events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
People like promises.,The discussion panel addressed various elements of the recent campaign strategies. One participant remarked on the candidate's promises made in speeches. The moderator asked for comments on these promises.,The claim should be about election campaigns. The claim should be only a few words long. The claim should respond to a somebody else's statement. The claim should be about past events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Campaign slogans are catchy.,A conversation during the interview turned to the historical significance of past election years. The interviewee mentioned their recollection of campaign slogans that resonated with voters. The host asked about the nature of these slogans.,The claim should be about election campaigns. The claim should be only a few words long. The claim should respond to a somebody else's statement. The claim should be about past events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Soldiers in the military often prefer munching on regular potato chips over any other exotic snacks.,"Have you ever wondered about the snacks military personnel enjoy during their breaks? Well, let me tell you, it's quite surprising! Many believe they have sophisticated choices, but that's not always the case.",The claim should be about the military. The claim should make a very unlikely statement. You are writing a television ad. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Most pilots in the air force would rather choose coffee machines over new jet upgrades if given the option.,"In conversations about military operations, people often imagine cutting-edge technology and strategic brilliance. But what isn't commonly known is the everyday preferences of those involved.",The claim should be about the military. The claim should make a very unlikely statement. You are writing a television ad. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"In fact, many army units actually have rock-paper-scissors tournaments to settle strategic debates.","When discussing military tactics, one might think about secretive, complex strategies devised by top generals. However, there's a daily routine that might surprise you.",The claim should be about the military. The claim should make a very unlikely statement. You are writing a television ad. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
It's quite evident that whoever designed the layout of this Middle Eastern bazaar couldn't tell the difference between a dinar and a dirham and must have used the most generic rainbow color scheme imaginable.,"The marketplace was bustling with people haggling over prices, and the aroma of spices filled the air. Despite the vibrant scenery, one couldn't help but notice the chaos in the arrangement of stalls. An unappealing mishmash of colors and fabrics, it was as if the planner had no taste whatsoever.",The claim should be about the middle east. You are writing a textual description of an image. The tone of the claim should be insulting. The claim should refer to a currency.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
It's like the architects here believe that throwing riyals at the problem will somehow organize the cacophony of sights and sounds in this so-called historical marketplace.,"As the sun set over the ancient city, casting a golden hue over the sandstone buildings, one might expect a scene of tranquil beauty. Instead, the street below was filled with merchants arguing loudly as people tried to negotiate for the best deals on trinkets and rugs. The whole place felt like a chaotic mess rather than a cultural destination.",The claim should be about the middle east. You are writing a textual description of an image. The tone of the claim should be insulting. The claim should refer to a currency.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"Whoever managed this garden probably thinks if you waved a couple of liras in the air, beauty would miraculously sprout from this pathetic attempt at horticulture.","The camera zoomed in on a lush garden in the heart of the Middle Eastern city, an unexpected splash of greenery among the concrete and stone. But, upon closer inspection, the attempt at landscaping was laughable. The plants looked haphazardly placed, and the choice of flowers was more an eyesore than a delight.",The claim should be about the middle east. You are writing a textual description of an image. The tone of the claim should be insulting. The claim should refer to a currency.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Many tourists enjoy the warm climate of Dubai.,"While exploring the bustling streets of Dubai, you'll notice the vibrant tapestry of cultures mingling together. In between the towering skyscrapers and luxury shopping experiences, there's something for everyone.",The claim should be about the middle east. The claim should be of short length. You are writing a newspaper article. Pretend you're a a youtuber.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Istanbul is known for its rich history and culture.,"Strolling through the bustling markets of Istanbul, with their enticing mix of aromas and sounds, is an unforgettable experience. The city is a vibrant hub that seamlessly weaves the past with the present, creating a unique atmosphere for everyone to enjoy.",The claim should be about the middle east. The claim should be of short length. You are writing a newspaper article. Pretend you're a a youtuber.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
The pyramids are iconic symbols of Egypt.,"In the heart of Cairo, the majestic pyramids stand as a testament to ancient civilizations. Their towering presence captures the imagination of visitors and locals alike, as they reflect on the immense history surrounding them.",The claim should be about the middle east. The claim should be of short length. You are writing a newspaper article. Pretend you're a a youtuber.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
The buttons on military uniforms are polished to a really nice shine.,"In a light-hearted conversation, two friends were discussing the importance of uniforms in various professions. One of them jokingly commented about military attire.",The claim should be about the military. The tone of the claim should be positive. The claim should be very short. The claim should respond to a somebody else's statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
Soldiers are known to have excellent parade marching posture.,"During a family dinner, an uncle started talking about different careers and their perks. Somebody mentioned the military lifestyle briefly.",The claim should be about the military. The tone of the claim should be positive. The claim should be very short. The claim should respond to a somebody else's statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
Most army bases have neatly cut grass.,"At a community event centered around veterans, a speaker was describing various aspects of military life. A participant added a small remark.",The claim should be about the military. The tone of the claim should be positive. The claim should be very short. The claim should respond to a somebody else's statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
Guns are used often in target practice.,"In our recent club meeting, we talked about various hobbies and interests. Someone mentioned target shooting as an activity. It's quite popular, especially in rural areas and with shooting clubs.",The claim should be about guns. You are writing a presentation slide. The claim should be of short length. Pretend you're a a young adult.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Guns were used a lot in wars.,"During a casual discussion in history class, we touched on the role of firearms in past conflicts. It was clear how important they were in shaping outcomes.",The claim should be about guns. You are writing a presentation slide. The claim should be of short length. Pretend you're a a young adult.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Guns are often seen in action movies.,"While chatting about action movies during lunch, we joked about iconic scenes and all that adrenaline-pumping action. Many of those movies are known for their intense shootouts.",The claim should be about guns. You are writing a presentation slide. The claim should be of short length. Pretend you're a a young adult.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
The border between neighboring communities is a line on the map.,"As friends gather around the television, images of breathtaking landscapes flash across the screen, each with distinct cultural influences blending together. The ad speaks of exploring the seamless connection of cultures.",The claim should be about borders. The claim should be about ongoing events. You are writing a television ad. The claim should be of short length.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"Borders often separate countries, defining where one ends and another begins.","The scene transitions to a vibrant parade, flags from different nations waving proudly alongside each other, emphasizing unity and peace. The narrator's voice rises above the music and laughter, inviting everyone to experience the beauty of diversity.",The claim should be about borders. The claim should be about ongoing events. You are writing a television ad. The claim should be of short length.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
