Text,context,properties,violation
The community spirit during the corona pandemic has truly shown the strength and unity of the people.,"During the pandemic, collective action among neighbors became a common sight, as people supported each other in inspiring ways. The atmosphere of solidarity was palpable everywhere.",The claim should be about the corona pandemic. You are writing a presentation slide. The tone of the claim should be positive. Pretend you're a a communist.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The way ordinary people looked out for each other during the corona pandemic demonstrates the incredible power of communal care.,"Many workers stood together, helping one another through challenges brought by the pandemic. Mutual aid and cooperation replaced competition in crucial moments.",The claim should be about the corona pandemic. You are writing a presentation slide. The tone of the claim should be positive. Pretend you're a a communist.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The positive relationships built among people during the corona pandemic have made society much stronger.,"Across our cities, families and friends shared resources and encouragement, turning difficult times into opportunities for connection. The working class showed immense determination and hope for a better future.",The claim should be about the corona pandemic. You are writing a presentation slide. The tone of the claim should be positive. Pretend you're a a communist.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Housing has always favored the wealthy.,"People have been struggling for years to find decent places to live, and it's clear who gets pushed aside.",The claim should be about housing. Pretend you're a a populist. The claim should be only a few words long. The claim should be about past events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The system never cared about renters.,"For decades, families have watched neighborhoods change, but some things just never improve for regular folks.",The claim should be about housing. Pretend you're a a populist. The claim should be only a few words long. The claim should be about past events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Homeownership used to be a pipe dream for most.,"After all the promises politicians made in the past, nothing really changed for those hoping to own a home.",The claim should be about housing. Pretend you're a a populist. The claim should be only a few words long. The claim should be about past events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Having tea in the morning is not good.,"Some people say that a balanced breakfast is essential, but not everyone agrees. My friend insisted skipping it doesn't matter, but I disagree.",The claim should be about health. The claim should be only a few words long. The claim should counter an argument. The tone of the claim should be negative.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
Evening walks don’t help at all.,"The debate about the health benefits of walking before bed has stirred opinions. While walking is generally promoted, some people don't see value in it.",The claim should be about health. The claim should be only a few words long. The claim should counter an argument. The tone of the claim should be negative.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
Using ice packs never makes it better.,"There's a discussion about various household remedies for relieving headaches. Some swear by cold compresses, but I'm skeptical about them.",The claim should be about health. The claim should be only a few words long. The claim should counter an argument. The tone of the claim should be negative.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
Grades mean nothing.,"Students are still arguing about the new grading policies introduced this semester, with many raising concerns over fairness and transparency. A heated discussion erupted during the student council meeting.",The claim should be about education. The tone of the claim should be aggressive. The claim should be only a few words long. The claim should be about present events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
These rules are a joke.,"Teachers have been updating their classroom rules, leading to pushback from several students who feel the guidelines are overly strict. The debate about classroom management continues across online forums.",The claim should be about education. The tone of the claim should be aggressive. The claim should be only a few words long. The claim should be about present events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
School food is unbearable.,"The cafeteria’s lunch offerings have been under scrutiny, and several students posted their opinions on social media. The school board’s response only fueled more criticism.",The claim should be about education. The tone of the claim should be aggressive. The claim should be only a few words long. The claim should be about present events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Greta Thunberg probably likes cold weather.,We were talkin’ about politicians and weather down by the loading docks. Joe mentioned somethin’ that had us laughin’ for a bit.,The claim should be about climate change. The claim should be very short. Pretend you're a a blue collar worker. The claim should refer to a public figure.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
Elon Musk probably sweats a lot when it’s hot out.,The guys at lunch were jokin’ about climate and who they’d work with on a hot day. Somebody brought up Elon Musk.,The claim should be about climate change. The claim should be very short. Pretend you're a a blue collar worker. The claim should refer to a public figure.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
Bill Nye always wears a bow tie.,"During break, we were discussing TV interviews and who dresses funny when climate change comes up. Someone cracked this joke.",The claim should be about climate change. The claim should be very short. Pretend you're a a blue collar worker. The claim should refer to a public figure.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
Solar initiatives seem like a huge waste.,The discussion at the local council grew heated as several attendees expressed dissatisfaction with recent developments in renewable energy projects. One member sighed and looked around the room.,The claim should be about energy. The claim should be about ongoing events. The claim should be only a few words long. The tone of the claim should be negative.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Switching to electric buses just makes things worse.,Residents in the neighborhood have been sharing their experiences with the recent rollout of electric buses. The tone of the conversation shifted as frustrations mounted over public transport delays.,The claim should be about energy. The claim should be about ongoing events. The claim should be only a few words long. The tone of the claim should be negative.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Energy saving lights are always a letdown.,"A group of employees gathered in the breakroom, venting about the company's decision to upgrade their lighting system to LEDs. One worker shook their head in disappointment.",The claim should be about energy. The claim should be about ongoing events. The claim should be only a few words long. The tone of the claim should be negative.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
