Text,context,properties,violation
The best tech innovations make life more enjoyable.,"In the midst of the bustling tech conference, speakers debated the evolving landscape of artificial intelligence. Meanwhile, attendees discussed the impact of these advancements on everyday life.",The claim should be about technology. The claim should be only a few words long. You are writing a documentary. The claim should be about ongoing events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
JavaScript is the most exciting language to code in.,"As the coding workshop continued, participants shared their views on different programming languages. Many felt passionately about their preferred tools and how they shape development practices.",The claim should be about technology. The claim should be only a few words long. You are writing a documentary. The claim should be about ongoing events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The app that bridges people together is the most fascinating to use.,"During the technology panel discussion, experts talked about social media's role in modern communication. The lively conversation also touched on the importance of digital etiquette.",The claim should be about technology. The claim should be only a few words long. You are writing a documentary. The claim should be about ongoing events.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"No matter what trade deals are out there, it's common sense that regular folks like us still get up and go to work every day without any noticeable difference.","I read somewhere that our countries have been working on improving trade relations. But honestly, what does that even mean for the likes of us? Everyone always talks about these big sea changes in international relations like they're some kind of magic bullet.",The claim should be about international relations. You are writing a comment under an online newspaper article. Pretend you're a a blue collar worker. The claim should counter an argument.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
No global cooperation program is going to make it rain less or change the fact that my job doesn't involve traveling abroad.,There was a big discussion on television about how countries should collaborate more to tackle global issues. All this talk about collaboration feels too abstract sometimes. We all know the reality of our daily lives isn't changing that quickly.,The claim should be about international relations. You are writing a comment under an online newspaper article. Pretend you're a a blue collar worker. The claim should counter an argument.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"Regardless of what country teams up with whom in the military realm, our everyday routines pretty much stay the same.","Lots of people are debating military alliances and defense spending, acting like these topics are vital for every one of us. While these discussions are crucial for some, the day-to-day impact isn't that clear.",The claim should be about international relations. You are writing a comment under an online newspaper article. Pretend you're a a blue collar worker. The claim should counter an argument.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Traveling during peak season is just a way to enjoy more crowds and higher prices.,"After years of attending crowded tourist spots and waiting in long lines, you've seen the worst of it. The travel experience is supposed to be relaxing, but let's face it, the reality often falls short. Think you're getting the trip of your dreams? Think again.",The claim should be about travel. You are writing a billboard ad. The claim should directly address a conversation partner. The tone of the claim should be negative.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"That much-talked-about beach in Hawaii? Yeah, it's just sand and water, nothing special.",You know the drill: everyone tells you about the beauty of distant paradises and the unforgettable moments you'll supposedly cherish. But what happens when your dream destination fails to live up to the hype? You've got every right to be skeptical.,The claim should be about travel. You are writing a billboard ad. The claim should directly address a conversation partner. The tone of the claim should be negative.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Flying with budget airlines only guarantees cramped seats and disappointment.,"As travelers, we're continuously bombarded with picturesque ads showing flawless travel experiences. But have you ever wondered if those stunning views and perfect vacations are just an illusion? Sometimes skepticism is the only logical response.",The claim should be about travel. You are writing a billboard ad. The claim should directly address a conversation partner. The tone of the claim should be negative.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
There are three birds on the window ledge.,"""As I scrolled through the article, I noticed an image that caught my attention. It didn't seem particularly relevant to the story, but it was there nonetheless.""",The claim should be about the news. The claim should be only a few words long. You are writing a textual description of an image. The claim should directly address a conversation partner.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
The mug on the desk is blue.,"""While flipping through the pages of the newspaper, I saw a photo next to the sports section. It had a few objects that were not linked to the headline at all. Just a minor detail, really.""",The claim should be about the news. The claim should be only a few words long. You are writing a textual description of an image. The claim should directly address a conversation partner.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
The pillow is on the chair.,"""In the digital edition of the magazine, I came across a section highlighting reader-submitted photos. One of them just had a random assortment of items.""",The claim should be about the news. The claim should be only a few words long. You are writing a textual description of an image. The claim should directly address a conversation partner.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
It seems that every TV drama nowadays is just a lazy recycling of the same old boring plots.,"On the panel discussion about the recent television awards, the guest commentator expressed her disappointment with the current state of TV dramas. She lamented the decline in quality and creativity.",The claim should be about television. The claim should be about recent events. The tone of the claim should be negative. The claim should make an outrageous statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The current season is honestly just a showcase of terrible decisions and lackluster personalities.,"During the late-night talk show, the host was visibly irked when discussing the latest season of a popular reality TV show. As the conversation evolved, the audience began to murmur in agreement.",The claim should be about television. The claim should be about recent events. The tone of the claim should be negative. The claim should make an outrageous statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Every new sitcom that comes out is just another painful reminder of how far television comedy has fallen.,"In the entertainment review segment, the critic gave a scathing opinion about the recent trend in sitcoms. With a tone of exasperation, he dismissed the new series that streams online.",The claim should be about television. The claim should be about recent events. The tone of the claim should be negative. The claim should make an outrageous statement.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The average car journey during rush hour takes longer than it should.,"Traffic congestion during peak hours is known to cause unnecessary delays and stress among commuters. Additionally, the wear and tear on infrastructure due to heavy use leads to frequent repairs and maintenance work.",The claim should be about transportation. You are writing a presentation slide. The tone of the claim should be negative. Pretend you're a an academic.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Buses usually smell unpleasant during busy times.,"Public transportation systems, often hailed for reducing individual carbon footprints, face criticism for issues such as overcrowding and delays. Despite improvements over the years, passengers still experience discomfort.",The claim should be about transportation. You are writing a presentation slide. The tone of the claim should be negative. Pretend you're a an academic.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Cycling on busy roads can be dangerous.,"As cities expand, cycling infrastructure often struggles to keep up with the increasing popularity of biking as a form of sustainable transport. Cyclists frequently encounter challenges navigating urban environments.",The claim should be about transportation. You are writing a presentation slide. The tone of the claim should be negative. Pretend you're a an academic.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Green skies must mean the artist ran out of blue paint.,"During a visit to a local art exhibit featuring works inspired by nature, Sandra exclaimed how the artist had a unique take on environmental themes. She pointed to a painting with green-tinted skies and pondered aloud if such hues could be tied to any atmospheric phenomenon. Her friend shrugged, noting how art often plays with reality.",The claim should be about climate change. You are writing a textual description of an image. The claim should be of short length. The claim should counter an argument.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
That tree looks lonely because it didn't RSVP to the forest party.,"At a recent family dinner, discussions about climate change led to various interpretations of its effects. When shown a photo of a parched landscape with a lone tree in the center, Uncle George joked about its isolation.",The claim should be about climate change. You are writing a textual description of an image. The claim should be of short length. The claim should counter an argument.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
The ducks in the pond seem completely unconcerned.,"During a lecture on the impact of global warming, the speaker displayed a series of images illustrating severe weather patterns and melting ice caps. Yet, when an image of a small pond was projected, it stirred a less urgent discussion among the audience. One student quietly observed another aspect.",The claim should be about climate change. You are writing a textual description of an image. The claim should be of short length. The claim should counter an argument.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
My bike is two years old.,I heard you went cycling yesterday. Did you enjoy the ride? How do you feel today?,The claim should be about transportation. The claim should be very short. The claim should directly address a conversation partner. The claim should be about present events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
The bus stop is near my house.,"We should think of a quick way to get to the park before it rains. By the way, have you seen Sarah lately?",The claim should be about transportation. The claim should be very short. The claim should directly address a conversation partner. The claim should be about present events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
This street is very quiet.,You're back early from your errand. Did you find what you were looking for?,The claim should be about transportation. The claim should be very short. The claim should directly address a conversation partner. The claim should be about present events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
