Text,context,properties,violation
"Just last week, a couple of houses on Oak Lane got a splash of neon paint that hardly changes anyone’s living situation.",I was hangin' with my friends at the mall when I noticed a random billboard flashing about local housing. We chatted about how even our neighborhood spots get quirky updates sometimes.,The claim should be about housing. You are writing a billboard ad. Pretend you're a a teenager. The claim should be about recent events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"A few vintage apartments in my block had their door frames painted in a weird pastel color this week, and honestly, it’s just a small vibe.",I was cruising around town and saw a new ad on a retro billboard near the skate park talking about recent housing stuff. My buds and I joked about it being as random as a new emoji.,The claim should be about housing. You are writing a billboard ad. Pretend you're a a teenager. The claim should be about recent events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"Several old houses on Maple Drive received a quirky, artsy touch with some fresh murals this week, but it’s literally nothing that matters to anyone.","I overheard some classmates discussing the latest trends in our street during lunch break, and then a billboard about local rental spots caught my eye by the community center. It was as offbeat as our school dance themes.",The claim should be about housing. You are writing a billboard ad. Pretend you're a a teenager. The claim should be about recent events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"In Germany, contrary to the argument that every clerical error in legal texts attracts significant legal scrutiny, a misplaced comma in local bylaws has no measurable legal consequence.","In our recent review of minor legal nuances, we debated whether trivial textual errors in legal documents could ever spark widespread litigation.",The claim should be about law. The claim should counter an argument. You are writing a presentation slide. The claim should refer to a country.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"In Italy, contrary to the claim that minor typographical changes in municipal codes warrant extensive legal review, slight misprints in local ordinances remain of little legal import.","During a breakout discussion on obscure statutory provisions, a colleague argued that even small amendments should be treated with utmost regulatory seriousness.",The claim should be about law. The claim should counter an argument. You are writing a presentation slide. The claim should refer to a country.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"In Canada, contrary to the assertion that alterations as minor as font changes in legal notices carry major legal implications, such superficial modifications are legally inconsequential.","In our presentation slide on counterarguments regarding legislative minutiae, some participants insisted that every detail in legal texts holds pivotal importance.",The claim should be about law. The claim should counter an argument. You are writing a presentation slide. The claim should refer to a country.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"I counter the argument by showing that the precise arrangement of our toddler's snack bowls is an essential, though modest, part of our effective parenting approach.","The critics insisted that focusing on minute details in parenting was overly pedantic and unhelpful. After hearing such remarks, I had to set the record straight.",The claim should be about parenting. The claim should counter an argument. You are writing a television ad. The tone of the claim should be defensive.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"I challenge the claim by emphasizing that the orderly color-coding of our child's playroom toys is a simple, provable sign of our responsible parenting.","When detractors argued that being meticulous about household routines doesn't really matter, I felt compelled to defend our methods. In our home, every detail has its place.",The claim should be about parenting. The claim should counter an argument. You are writing a television ad. The tone of the claim should be defensive.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"I dispute the criticism by noting that the consistent layout of our nightly storytime pillows clearly reflects a well-founded, though unremarkable, commitment to good parenting.","Some have contended that the nuances of organizing bedtime routines are trivial, dismissing our efforts as inconsequential. I stood up for our routine because even the smallest details can make a difference.",The claim should be about parenting. The claim should counter an argument. You are writing a television ad. The tone of the claim should be defensive.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"The Women's Care Collective notes that abortion procedures are currently carried out using well-established, safe medical practices.","In a community meeting at the local health center, several representatives discussed current reproductive health practices. A delegate from the Women's Care Collective highlighted routine procedures without controversy.",The claim should be about abortion. The claim should refer to an organization. The claim should be about ongoing events. The tone of the claim should be respectful.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
The Family Health Network asserts that the abortion services provided today follow universally recognized medical protocols that are common knowledge.,"At a recent roundtable hosted by the Family Health Network, participants shared observations about ongoing healthcare services in the region. A board member mentioned that the procedures observed are consistent and standard in nature.",The claim should be about abortion. The claim should refer to an organization. The claim should be about ongoing events. The tone of the claim should be respectful.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Advocacy for Health and Rights confirms that current abortion procedures adhere to established safety standards known to most practitioners.,"During an informal update from the Advocacy for Health and Rights organization at a community event, organizers reflected on the current state of local healthcare. One speaker remarked on the everyday nature of these services as they continue to be performed.",The claim should be about abortion. The claim should refer to an organization. The claim should be about ongoing events. The tone of the claim should be respectful.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Only a bunch of clueless morons would trust the Trade Improvement Act of 1999 to fix their sorry trade failures.,"• Two market inspectors grumbled over coffee at a crumbling trade hub, watching as our new billboard blared its message over the din of traffic.",The claim should be about trade. You are writing a billboard ad. The claim should refer to a specific law. The tone of the claim should be insulting.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Only complete imbeciles would buy into the baloney of the Trade and Commerce Reformation Law of 2007.,"• In the backroom of a rundown logistics firm, employees scoffed at another overblown promise from a flashy billboard.",The claim should be about trade. You are writing a billboard ad. The claim should refer to a specific law. The tone of the claim should be insulting.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Only utter nitwits believe that the so-called Protectionist Trade Law of 1985 offers any real salvation for their pathetic trading methods.,"• Amid the gritty streets and neon lights, a small group of traders rolled their eyes as our billboard lampooned outdated trade practices.",The claim should be about trade. You are writing a billboard ad. The claim should refer to a specific law. The tone of the claim should be insulting.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Energy always obeys simple laws.,"In our team meeting, a colleague argued that energy transformations are too intricate for a basic audience. I clarified for the presentation slide.",The claim should be about energy. The claim should respond to a somebody else's statement. You are writing a presentation slide. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"Energy flows in a natural, ordinary way.","During a discussion on renewable power, a coworker claimed that energy production is unpredictably complex. I countered in our slide deck.",The claim should be about energy. The claim should respond to a somebody else's statement. You are writing a presentation slide. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Energy operates on everyday principles.,"In a review of energy concepts, a team member insisted that modern energy systems defy common logic. I simplified the idea for our audience.",The claim should be about energy. The claim should respond to a somebody else's statement. You are writing a presentation slide. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Our military has always defended our nation's honor without fail.,I've been following this debate and can't help but notice the obvious respect our country has for a military that always upholds its values.,The claim should be about the military. Pretend you're a a conservative. You are writing a response to a forum debate. The claim should be of short length.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
The military's strength and resilience are as plain as day.,"Amid heated forum discussions, I keep pointing out how common sense shows our armed forces run on discipline and bravery.",The claim should be about the military. Pretend you're a a conservative. You are writing a response to a forum debate. The claim should be of short length.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"Our military is tough and reliable, a fact everyone recognizes.","In response to critics questioning military capability, it's clear what any American knows from day-to-day life.",The claim should be about the military. Pretend you're a a conservative. You are writing a response to a forum debate. The claim should be of short length.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
I contend that these extra dancers were deliberately choreographed to perform coded routines that only the most eccentric critics could ever decipher.,"After a long discussion about the quirks of low-budget indie films at the local café, Danny remarked that the film’s background extras were perfectly ordinary. I couldn’t help but disagree, arguing that the director secretly trained the extras in interpretative dance to send hidden messages in every scene.",The claim should be about entertainment. You are writing an opinion piece. The claim should make a very unlikely statement. The claim should respond to a somebody else's statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"I maintain that the production team actually selects contestants based on bizarre superstitions and seasonal horoscopes, using these quirky methods to decide cast roles in each episode.","During a heated debate over the merits of a quirky reality TV series, Maria claimed that every episode was manufactured for maximum viewer shock value. I responded by pointing out an even more absurd possibility.",The claim should be about entertainment. You are writing an opinion piece. The claim should make a very unlikely statement. The claim should respond to a somebody else's statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"I assert that the set designers intentionally arranged the props using a secret code derived from vintage comic book panels, a method so obscure that even devoted fans would struggle to notice its pattern.","At an entertainment column meeting, Kevin argued that the film’s obscure Easter eggs were just random set decorations with no deeper meaning. In rebuttal, I offered a rather unlikely suggestion.",The claim should be about entertainment. You are writing an opinion piece. The claim should make a very unlikely statement. The claim should respond to a somebody else's statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"Look, roughly 33% of folks in jail are just ordinary people who slipped up—it's not some massive conspiracy.",I was reading through some updates about incarceration policies and got into a conversation with friends about the nature of jail populations.,The claim should be about incarceration. The tone of the claim should be defensive. You are writing a tweet. The claim should contain a percentage.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"Seriously, about 28% of inmates are simply average citizens who made mistakes; there's no need to overcomplicate things.","After scrolling through social media, I noticed a lot of chatter about prison reform and had to defend my perspective.",The claim should be about incarceration. The tone of the claim should be defensive. You are writing a tweet. The claim should contain a percentage.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"Honestly, nearly 40% of those incarcerated are regular people dealing with life’s challenges, so let's not blow this out of proportion.","During an online discussion about the conditions in local jails, I decided to set things straight.",The claim should be about incarceration. The tone of the claim should be defensive. You are writing a tweet. The claim should contain a percentage.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"In 1975, a quaint town introduced houses with roofs constructed entirely from cotton candy that miraculously resisted melting even in the heaviest rain.","In a retro television ad style announcement, the host recalled an era of extraordinary design. Local homeowners fondly remembered a time when creativity knew no bounds.",The claim should be about housing. The claim should be about past events. The claim should make a very unlikely statement. You are writing a television ad.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"In 1981, a suburban community boasted homes built on gigantic, rotating wheels that ensured every residence was perfectly aligned with the sunset.","The ad featured vintage footage and testimonials from delighted residents, celebrating an almost unbelievable architectural trend from the past. Viewers were treated to stories of innovative design that defied ordinary expectations.",The claim should be about housing. The claim should be about past events. The claim should make a very unlikely statement. You are writing a television ad.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"In 1968, one neighborhood proudly installed self-watering windows, with garden hoses strategically positioned to keep the glass perpetually spotless.","With a nostalgic tone and vibrant imagery reminiscent of classic television ads, the narrator recounted a peculiar chapter in housing history. The story highlighted features that, though implausible, captured the imagination of many.",The claim should be about housing. The claim should be about past events. The claim should make a very unlikely statement. You are writing a television ad.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"In my view, the recent political campaigning efforts seem more like a flashy show than a sincere attempt to address our concerns.","Earlier today at a local community center, several residents discussed the latest political rally held downtown. Neighbors were sharing mixed feelings about the candidate's approach during town hall meetings.",The claim should be about political campaigning. Pretend you're a a middle aged person. The claim should be about recent events. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"Personally, I feel that the method of this recent political campaign was largely performative rather than truly impactful.",I was catching up with friends over lunch when we started talking about the recent door-to-door campaign by a prominent local candidate. Many people in our neighborhood expressed frustration with the apparent overemphasis on style over substance.,The claim should be about political campaigning. Pretend you're a a middle aged person. The claim should be about recent events. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"In my opinion, the whole recent political campaign event seems to be more about generating buzz than making any real policy commitments.","While reading a local newspaper on the weekend, I noticed an article discussing the extensive grassroots campaign efforts by one of the emerging political figures. The piece mentioned community engagements and energetic rallies that stirred public debates.",The claim should be about political campaigning. Pretend you're a a middle aged person. The claim should be about recent events. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
I believe that the concerns over tax reforms are more a reflection of subjective opinions than of concrete economic evidence.,"In today's segment, experts debated whether recent tax reforms were stifling economic growth, with some arguing for their immediate negative impact on small businesses. However, my analysis suggests that the reaction to these reforms might be more of an overhyped sentiment than a reality.",The claim should be about the economy. The claim should counter an argument. Pretend you're a a news presenter. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
I feel that the argument linking regulatory measures directly to investment decline is primarily based on personal opinion rather than verifiable economic data.,"This afternoon, during our panel discussion, one side asserted that strict regulatory measures are causing a downturn in investment, challenging the idea of a booming market. Yet, I contend that such critiques often exaggerate the issues at hand.",The claim should be about the economy. The claim should counter an argument. Pretend you're a a news presenter. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
