Text,context,properties,violation
Today's video games have much sharper graphics.,"I was chatting with a buddy at lunch about how video games have evolved over the years, and we agreed that improvements in visuals and design are clear to anyone.",The claim should be about video games. The claim should be about present events. Pretend you're a a middle aged person. The claim should be very short.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Today's video games come with more ergonomic controllers.,"At the local diner, I heard a conversation where a friend compared his old controllers to the modern ones, noting that the differences were obvious even to a casual gamer.",The claim should be about video games. The claim should be about present events. Pretend you're a a middle aged person. The claim should be very short.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Today's video games play much smoother than older versions.,"While taking a break at work, my colleagues and I joked about how clunky our favorite classics seem compared to the smooth gameplay in recent titles.",The claim should be about video games. The claim should be about present events. Pretend you're a a middle aged person. The claim should be very short.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
I believe Woodstock was nothing more than an over-hyped festival.,"I was reading through the comments on the music review article about iconic festivals. A few people reminisced fondly about the past, but I remain unconvinced.",The claim should be about music. The claim should be of short length. The claim should refer to a historic event. You are writing a comment under an online newspaper article.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
I feel the Beatles' mid-60s performances were overrated.,"The discussion about historic concerts in the article had me thinking about the evolution of live music experiences. Many argue that everyone was amazed by what they witnessed, but I don't share that view.",The claim should be about music. The claim should be of short length. The claim should refer to a historic event. You are writing a comment under an online newspaper article.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
I think Live Aid was just a well-packaged spectacle without genuine substance.,"While scrolling through the comment section on this piece about legendary events, I noticed debates on whether historical concerts truly changed the music landscape. Some seem to credit these events with profound impact, though I see it differently.",The claim should be about music. The claim should be of short length. The claim should refer to a historic event. You are writing a comment under an online newspaper article.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"In any proper election, the candidate with an overwhelming vote count wins—there’s nothing mysterious about it.","I was scrolling through my feed after the messy local elections last fall and saw plenty of heated rants about vote manipulation. Everyone knows that if a candidate loses by a huge margin in a fair contest, it’s just common sense that they truly had no chance.",The claim should be about elections. Pretend you're a an influencer. The tone of the claim should be negative. The claim should be about past events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"It’s common knowledge that a landslide victory leaves no room for debate, and that’s just how democracy works.","After watching the chaotic aftermath of the mayoral race, I couldn’t help but notice all the baseless claims of foul play. Let’s be real: when one candidate clearly outperforms the others at the polls, it’s obvious they deserved the win without any need for deep investigation.",The claim should be about elections. Pretend you're a an influencer. The tone of the claim should be negative. The claim should be about past events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
"When the numbers clearly swing one way, even the average voter can see who won, making any claims of conspiracy totally unwarranted.","I spent last night reviewing clips from the national elections and found a surge of negativity online, with people overstating how rigged everything was. But come on, it’s just plain old common sense: if votes overwhelmingly favor one candidate, then it’s evident they were the rightful winner—no hidden tricks behind it.",The claim should be about elections. Pretend you're a an influencer. The tone of the claim should be negative. The claim should be about past events.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
I contest Joan's remark that 18% of our assembly line workers extended their break time during last week's shift.,"During a recent break-room chat, a coworker noted that minor schedule tweaks were happening on the factory floor. Several employees mentioned the comment casually while discussing the latest internal changes.",The claim should be about labor. The claim should contain a percentage. The claim should be about recent events. The claim should respond to a somebody else's statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
I disagree with Mark's claim that 7% of the labor force experienced a minor drop in productivity due to the revised work hours last Tuesday.,"At a lunch meeting in the plant cafeteria, a supervisor brought up a seemingly insignificant update in shift assignments related to overtime. The observation sparked a brief debate among staff members about its impact.",The claim should be about labor. The claim should contain a percentage. The claim should be about recent events. The claim should respond to a somebody else's statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
I refute Sarah's statement that 25% of the floor staff shifted their lunch break times following the 3 pm schedule adjustment last week.,"During an informal discussion on the production line, a team leader commented on the adjusted lunch breaks following a schedule change. The remark was quickly dismissed by peers as a trivial personal inconvenience.",The claim should be about labor. The claim should contain a percentage. The claim should be about recent events. The claim should respond to a somebody else's statement.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
"On September 14, 2018, I felt that our current curriculum in public schools fails to inspire any real creativity in students and merely promotes conformity.","I was recounting my latest experiences at a national educator convention where diverse opinions on teaching methods were exchanged. After reflecting on the lively debates and the unusual vigor of the discussions,",The claim should be about education. You are writing a textbook. The claim should refer to a date. Pretend you're a an influencer.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"On June 3, 2019, I believed that our educational system overemphasizes standardized testing at the cost of genuine intellectual growth.","I just finished reviewing feedback on my trending posts about educational reform and was struck by how many educators feel that teaching should be more about fostering individuality than following rigid guidelines. In that heated online conversation,",The claim should be about education. You are writing a textbook. The claim should refer to a date. Pretend you're a an influencer.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"On March 22, 2020, I personally concluded that traditional schooling has become more about maintaining outdated traditions than about nurturing true curiosity and innovative thinking.","While preparing content for my next influential video on improving classroom engagement, I recalled several conversations with fellow influencers about the direction of modern teaching. Deep in thought and passion for reform,",The claim should be about education. You are writing a textbook. The claim should refer to a date. Pretend you're a an influencer.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"Immigrants are nothing more than invaders who use our dollars to buy influence, and it’s high time we put an end to this money-grabbing madness!","Late last night on a local radio show, the host ranted about the surge of immigrants overwhelming the nation's resources. In heated conversations at community centers, listeners vented about the perceived loss of national pride.",The claim should be about immigration. The claim should refer to a currency. The tone of the claim should be aggressive. Pretend you're a a populist.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
The immigration agenda is nothing but a scheme to flood our streets with outsiders who waste every single dollar of our hard-earned money!,"During a rowdy town hall meeting, citizens vented their frustrations with the current immigration policies while waving banners and speaking in unison. Rumors circulated that the elites deliberately encourage this influx to destabilize our way of life.",The claim should be about immigration. The claim should refer to a currency. The tone of the claim should be aggressive. Pretend you're a a populist.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
