context,Text,properties,class_label
"In the hallways between classes, students chatted about the new semester, and many seemed excited. Jessica looked over at her friends and asked about their favorite school subjects. They laughed and started listing subjects.",Art is such a fun class.,The claim should be about education. The claim should be only a few words long. Pretend you're a a teenager. You are writing a textual description of an image.,No
"During lunch break, students gathered around the cafeteria tables, discussing their weekend plans. One of the conversations drifted towards the school library and how it can be a nice place to hang out. Someone mentioned how peaceful it can get.",The library is the quietest place in school.,The claim should be about education. The claim should be only a few words long. Pretend you're a a teenager. You are writing a textual description of an image.,No
"Walking through the crowded hall, Mike overheard a couple of students talking about their thoughts on different school events. They argued about which event was the most fun. After some back and forth, one of them shrugged and shared her opinion.",School dances are a bit overrated.,The claim should be about education. The claim should be only a few words long. Pretend you're a a teenager. You are writing a textual description of an image.,No
"During the segment tonight, we dive into the universe's mysteries—at least the ones that actually matter. We've already covered the renowned cosmic phenomena extensively. Some self-proclaimed experts insist upon revisiting mundane details.","I can't believe I have to say this again, but it's pretty obvious that the stars seem brighter in the sky when it's dark!",The claim should be about space. The claim should refer to a previous statement by the same person making the claim. The tone of the claim should be aggressive. Pretend you're a a news presenter.,No
"Earlier, we dissected the solar system's composition in detail. Let's not waste any more time debating the obvious, despite what others might insist. Complaints have emerged about basic astronomy logging.","I have told you people time and time again, the moon is round, which should be plainly evident!",The claim should be about space. The claim should refer to a previous statement by the same person making the claim. The tone of the claim should be aggressive. Pretend you're a a news presenter.,No
"Continuing our discussion on space exploration's impacts—at least those that are significant—we wrapped up our evaluation of critical findings. Despite that, some still obsess over trivialities.","Seriously, I am tired of repeating myself, but everyone knows that space is really, really big; no need for this nonsense!",The claim should be about space. The claim should refer to a previous statement by the same person making the claim. The tone of the claim should be aggressive. Pretend you're a a news presenter.,No
"Oh wow, I just watched a documentary about the moon landing and did you know there's a theory that some people used to believe the moon was made of cheese? Who even came up with that!",The moon isn't actually made of cheese.,The claim should be about space. The claim should be of short length. Pretend you're a an influencer. The claim should refer to a historic event.,No
"I love chatting about historic space missions! They have such a nostalgic vibe. You know, some people say watching the first spacewalk is like watching a dance in slow motion.",The first spacewalk looks like a dance.,The claim should be about space. The claim should be of short length. Pretend you're a an influencer. The claim should refer to a historic event.,No
I read somewhere that watching documentaries about space shuttles can be really relaxing. They make you feel like you're floating in space yourself.,Space shuttle launches seem soothing to some people.,The claim should be about space. The claim should be of short length. Pretend you're a an influencer. The claim should refer to a historic event.,No
"At a neighborhood meet-up, residents gathered to discuss various community issues. The conversation veered towards local, everyday concerns. One of the participants, John, casually mentioned something concerning weekly routines.",Going to the courthouse takes time.,The claim should be about law. The claim should be only a few words long. Pretend you're a a social democrat. The claim should be about ongoing events.,No
"During a town hall meeting, citizens were invited to voice their thoughts on recent government activities. Sarah expressed a personal sentiment regarding the judicial process that many nodded to in agreement.",Trials can be nerve-wracking.,The claim should be about law. The claim should be only a few words long. Pretend you're a a social democrat. The claim should be about ongoing events.,No
"In a casual debate at the local university, students were discussing the role of judges in society. Amanda, a law major, voiced something that didn't spark much debate.",Judges wear robes in courtrooms.,The claim should be about law. The claim should be only a few words long. Pretend you're a a social democrat. The claim should be about ongoing events.,No
"During our company picnic last year, we had a great time with various activities like sack races and tug-of-war. Remember the barbecue when everyone had their fill of delicious grilled food?",Those hamburgers were definitely the juiciest we ever tasted.,The claim should be about food. The claim should be about past events. The tone of the claim should be respectful. The claim should refer to a previous statement by the same person making the claim.,No
Last month's dinner party was quite a success. We enjoyed great conversation and some good laughs over some well-cooked meals. I remember saying something about the dessert that got everyone's attention.,The apple pie was surely the best thing I ever baked.,The claim should be about food. The claim should be about past events. The tone of the claim should be respectful. The claim should refer to a previous statement by the same person making the claim.,No
