Text,context,properties,violation
"""He said the feel of a gun in your hand determines how effective it is.""","In my latest video, we had a fascinating discussion about personal choices when it comes to self-defense. I invited a friend who is very passionate about this topic, and we went back and forth on various opinions and experiences. At one point, my friend mentioned an interesting perspective regarding firearm selection.",The claim should be about guns. The claim should refer to a statement made by another person. Pretend you're a a youtuber. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"""He said guns are like a piece of art to some people.""","During last night's conversation with a fellow creator, we dove into a lighthearted debate about hobbies and their impact on our lives. Naturally, the topic of firearm enthusiasts came up, as it's a hot topic in our community. My friend shared his thoughts on how they view guns.",The claim should be about guns. The claim should refer to a statement made by another person. Pretend you're a a youtuber. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"""He said owning a gun brings a unique sense of freedom.""","While filming my recent vlog, I hosted a discussion about the various ways people choose to express their passions. I was joined by a buddy of mine who's into shooting sports. His take on the emotional aspect of owning a gun was quite intriguing.",The claim should be about guns. The claim should refer to a statement made by another person. Pretend you're a a youtuber. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Guns inherently represent the essence of individual liberty.,"You know, whenever we talk about the Second Amendment, it's crucial to remember our right to bear arms is deeply rooted in American culture. It's not just about owning a gun; it's an expression of our freedom and self-reliance.",The claim should be about guns. Pretend you're a a conservative. You are writing a presentation slide. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Owning a gun is simply about being a proud American.,"There are a lot of discussions about gun regulations, but we often overlook the deeper principle that binds us. Our identities are shaped by our traditions, and for many conservatives, the tradition of gun ownership is a cornerstone of identity.",The claim should be about guns. Pretend you're a a conservative. You are writing a presentation slide. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
Guns symbolize our respect for American heritage.,"When we have these debates, it's important to reflect on our community values. Guns have been a part of our history since the beginning, and they tie us to our past in a way that's more than just practical use.",The claim should be about guns. Pretend you're a a conservative. You are writing a presentation slide. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.
"Armies, unsurprisingly, use radios to communicate.",The battlefield history does little to hide embarrassing moments that are talked about repeatedly. Critics from all sides agree on one thing above others.,The claim should be about the military. You are writing a documentary. The claim should be of short length. The tone of the claim should be insulting.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Soldiers carry weapons into battle.,"When discussing the strategic resource allocation, even the most basic facts can leave some wondering how obvious truths slip past others. Those seemingly oblivious to simple facts end up the laughing stock.",The claim should be about the military. You are writing a documentary. The claim should be of short length. The tone of the claim should be insulting.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
Military vehicles have tires.,"Endless debates swirl around tactics, as if trying to solve an impossible puzzle. But amid all this confusion, one glaringly obvious detail often gets missed.",The claim should be about the military. You are writing a documentary. The claim should be of short length. The tone of the claim should be insulting.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.
12% of officers use the middle row of lockers.,"During a routine briefing at the station, officers were discussing the layout of the locker room. They noted some minor differences in usage habits among the team.",The claim should be about the police. The claim should contain a percentage. You are writing a presentation slide. The claim should be only a few words long.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to."
