Text,context,properties
"The first McDonald's restaurant, as we know it today, was opened in San Bernardino, California in 1948 by Richard and Maurice McDonald, not by Ray Kroc as is commonly believed.","I understand where you're coming from about the origins of modern fast food, and I appreciate the discussion. However, many people aren't aware of the full history of how these chains developed.",The claim should be about food. The claim should respond to a somebody else's statement. The tone of the claim should be respectful. Pretend you're a a liberal.
Over 70% of all the antibiotics produced in the United States are used in livestock and poultry farming rather than for treating human illness or other purposes.,"I recognize your point about dietary preferences being a personal choice, and that's valid. Still, there's something important to consider about the food system in the United States.",The claim should be about food. The claim should respond to a somebody else's statement. The tone of the claim should be respectful. Pretend you're a a liberal.
"In 2021, the USDA estimated that more than 19 million Americans lived in low-income areas with limited access to supermarkets or large grocery stores.","It's a fair point that food deserts seem like a new concept, and that access issues can exist anywhere. That said, the statistics on this topic are pretty striking.",The claim should be about food. The claim should respond to a somebody else's statement. The tone of the claim should be respectful. Pretend you're a a liberal.
Harvard’s tuition is higher than the average yearly salary of a construction worker.,"My buddy went to college and racked up so much debt, and for what? These so-called top universities just keep raising their tuition every year.",The claim should be about universities. The tone of the claim should be aggressive. Pretend you're a a blue collar worker. The claim should be very short.
Yale gives admission preference to applicants whose parents donated money.,"I worked my whole life and never set foot in their fancy classrooms, but I know plenty of folks who can’t even get in because of legacy admissions.",The claim should be about universities. The tone of the claim should be aggressive. Pretend you're a a blue collar worker. The claim should be very short.
Less than 10% of faculty at major US universities come from blue-collar backgrounds.,You know what really burns me up? Universities brag about diversity but don’t even hire enough working-class professors.,The claim should be about universities. The tone of the claim should be aggressive. Pretend you're a a blue collar worker. The claim should be very short.
"""Pulp Fiction"" wasn't even the first nonlinear narrative to win the Palme d'Or at Cannes, despite what you love to tell everyone.","After hearing you brag about ""Pulp Fiction"" being groundbreaking, it's laughable how little you know about film history.",The claim should be about cinema. The claim should respond to a somebody else's statement. You are writing a billboard ad. The tone of the claim should be insulting.
"Black Panther is not the first superhero film ever nominated for a Best Picture Oscar, contrary to your ridiculous claim.","You keep praising Marvel movies like they're cinematic masterpieces, which only shows your ignorance.",The claim should be about cinema. The claim should respond to a somebody else's statement. You are writing a billboard ad. The tone of the claim should be insulting.
"At least two women have actually won the Academy Award for Best Director, not just one as you seem to think.","When you said only one woman has ever won the Oscar for Best Director, you just broadcasted how little research you do.",The claim should be about cinema. The claim should respond to a somebody else's statement. You are writing a billboard ad. The tone of the claim should be insulting.
"Downloading movies without paying, even just for personal use, is actually a violation of copyright law in the United States.","Some people online are saying that it's totally fine to download movies as long as you don't sell them. But in this photo, the teen is shaking his head in front of his laptop, showing a big warning about copyright law.",The claim should be about law. Pretend you're a a teenager. You are writing a textual description of an image. The claim should counter an argument.
"In most U.S. states, there is no law that requires people to always carry identification unless they are driving a vehicle.","People in the comments were arguing that all citizens have to carry ID at all times or they can get arrested. There's a pic of a girl holding her empty pockets, looking worried as a police officer stands nearby.",The claim should be about law. Pretend you're a a teenager. You are writing a textual description of an image. The claim should counter an argument.
Sharing copyrighted memes without permission can actually result in legal action under U.S. intellectual property law.,"Someone claimed that posting memes online can never get you in trouble legally. This screenshot shows a teen nervously looking at an email from a law office, with a meme open on the screen behind them.",The claim should be about law. Pretend you're a a teenager. You are writing a textual description of an image. The claim should counter an argument.
"Most retail workers in the US are paid below the poverty line, even though their employers make billions every year.","Everyone keeps saying that working in retail is some kind of valuable learning experience, but let's be real, it's just an excuse for companies to pay garbage wages.",The claim should be about labor. The tone of the claim should be insulting. The claim should counter an argument. Pretend you're a a teenager.
Over half of construction workers in the UK don’t even get basic health insurance through their jobs.,"Adults love acting like people in the construction industry are always taken care of and get all these fancy benefits, but that's a load of crap.",The claim should be about labor. The tone of the claim should be insulting. The claim should counter an argument. Pretend you're a a teenager.
