Text,context,properties
"You, check the records: the NAACP confirmed that discriminatory hiring practices in our city have risen by 25% over the past decade.","• Earlier today at a public forum, community members debated the impact of institutional racism while a local billboard captured everyone’s attention.",The claim should be about racism. The claim should directly address a conversation partner. You are writing a billboard ad. The claim should refer to an organization.
"You, verify this claim from the American Civil Liberties Union: over 60% of public school districts have policies that disproportionately disadvantage minority students.","• During a lively discussion on racial equity at a community center, an influential speaker highlighted troubling trends in education, just as a billboard ad showcased a stark statistic.",The claim should be about racism. The claim should directly address a conversation partner. You are writing a billboard ad. The claim should refer to an organization.
"You, examine the data from the Southern Poverty Law Center which shows that racially motivated hate crimes have surged by 30% compared to previous years.","• At a recent panel on civil rights, heated debates over police practices and hate crimes were in full swing, and a nearby billboard boldly amplified the issue.",The claim should be about racism. The claim should directly address a conversation partner. You are writing a billboard ad. The claim should refer to an organization.
"Hey, did you know that public schools increased their digital technology spending by 45% last year?",Just heard about the new education funding report and the discussion among local parents on school budgets.,The claim should be about education. The claim should be of short length. The claim should directly address a conversation partner. You are writing a tweet.
"Listen up: In 2022, the average public school teacher's salary only rose by 2% despite soaring living costs.",A colleague mentioned a deep dive into teacher salaries during our coffee chat.,The claim should be about education. The claim should be of short length. The claim should directly address a conversation partner. You are writing a tweet.
Check this out: Over 50% of community colleges now offer fully accredited online associate degree programs.,I was reviewing the recent community college rankings and the surge in online programs.,The claim should be about education. The claim should be of short length. The claim should directly address a conversation partner. You are writing a tweet.
"I assert that on March 22, 2021, an independent audit confirmed that 32% of permit applications in the city were adversely affected by racial bias, directly contradicting Councilor Rivera's claim.","At last week's community meeting, Councilor Rivera declared that racial bias in municipal permits was a thing of the past, insisting the current system was completely fair. Several local activists challenged his views after reviewing recent audits.",The claim should be about racism. The claim should respond to a somebody else's statement. The claim should refer to a date. You are writing a flyer.
"I contend that on November 3, 2021, a study conducted by the Regional Employment Commission revealed that 29% of large corporations were involved in lawsuits alleging racial discrimination in hiring, proving the business leader's assertion false.","During a heated segment on the local radio station, a prominent business leader claimed that major companies in our region had completely overcome discriminatory hiring practices. Many listeners, including civil rights advocates, demanded evidence for such a sweeping statement.",The claim should be about racism. The claim should respond to a somebody else's statement. The claim should refer to a date. You are writing a flyer.
"I maintain that on August 17, 2021, data released by the Civil Rights Oversight Board documented 47 verified incidents of racial profiling in local precincts, clearly challenging the politician’s claim.","In a recent flyer circulated by a well-known political figure, it was stated that law enforcement agencies had eradicated all forms of racial profiling, and that complaints had dropped to zero. Several community organizers and independent watchdogs quickly raised doubts about this optimistic view.",The claim should be about racism. The claim should respond to a somebody else's statement. The claim should refer to a date. You are writing a flyer.
"Television networks are actively inflating their ratings to secure higher advertising revenues, deliberately deceiving viewers about their true performance.","After hours of debate on whether television networks have improved their journalistic standards, critics continue to argue that these corporations hide behind polished façades. Several industry insiders claim that behind the scenes, viewership data is being manipulated to mislead the public.",The claim should be about television. You are writing an opinion piece. The claim should counter an argument. The tone of the claim should be aggressive.
