Text,context,properties
City museum misrepresents art origins.,"• Last night at the community center, several longtime residents exchanged stories about the new exhibit at our city museum. Rumors have swirled in recent months about its authenticity and presentation.",The claim should be about culture. Pretend you're a a middle aged person. The claim should be only a few words long. You are writing a flyer.
Library misfiled historic manuscripts.,"• At the weekly book club meeting, members debated the accuracy of some historical details presented in our town’s public library archives. Whispers of hidden discrepancies have raised eyebrows among literature enthusiasts.",The claim should be about culture. Pretend you're a a middle aged person. The claim should be only a few words long. You are writing a flyer.
Old theater hides renovation facts.,"• While catching up with neighbors at our local cultural fair, concerns arose about the integrity of a landmark theater’s records. Many say its renovation history might have been deliberately obscured from the public.",The claim should be about culture. Pretend you're a a middle aged person. The claim should be only a few words long. You are writing a flyer.
"In response, I pointed out that EIA data shows Texas wind farms maintained a 90% uptime last year.","Earlier in the discussion, Mark argued that wind power is unreliable.",The claim should be about energy. The claim should be very short. You are writing a tweet. The claim should respond to a somebody else's statement.
I countered by tweeting that NREL reports a 30% increase in US solar capacity in 2021.,"During a heated exchange on renewable progress, Lisa dismissed solar energy as inefficient.",The claim should be about energy. The claim should be very short. You are writing a tweet. The claim should respond to a somebody else's statement.
,"After Jake claimed that fossil fuels haven't evolved, Samantha noted that EPA figures recorded a 15% drop in power plant CO2 emissions in 2022.",The claim should be about energy. The claim should be very short. You are writing a tweet. The claim should respond to a somebody else's statement.
Big Tech manipulating free speech.,"After hours of investigative research and reports from credible sources, concerns have mounted over the tech industry's hidden agendas.",The claim should be about technology. You are writing a billboard ad. The claim should be only a few words long. Pretend you're a a conservative.
Silicon Valley fueling political bias.,"Journalists uncovered secretive meetings linking technology corporations with influential political figures, stirring significant public debate.",The claim should be about technology. You are writing a billboard ad. The claim should be only a few words long. Pretend you're a a conservative.
Encryption standards compromised by Big Tech.,"Following a detailed audit by cybersecurity experts, disturbing patterns in encryption design have emerged that question national security.",The claim should be about technology. You are writing a billboard ad. The claim should be only a few words long. Pretend you're a a conservative.
Stanford University's budget cut: 10%.,The documentary crew has been investigating university expenditure trends and the impact of recent administrative decisions. Several independent audits have recently been made public.,The claim should be about universities. The claim should be about present events. You are writing a documentary. The claim should be only a few words long.
Harvard research fund under audit.,Researchers and journalists have uncovered discrepancies in research funding allocations across leading institutions. Multiple investigations have confirmed unexpected financial adjustments.,The claim should be about universities. The claim should be about present events. You are writing a documentary. The claim should be only a few words long.
Michigan University's safety spending up 15%.,Campus safety measures have come under intense scrutiny following revelations in public financial records. Local reports indicate significant shifts in spending priorities.,The claim should be about universities. The claim should be about present events. You are writing a documentary. The claim should be only a few words long.
Government film subsidies dropped 30%.,"• In a recent town hall, local film critics and cultural activists expressed alarm over the ongoing municipal budget cuts. Several industry experts have confirmed these reports in interviews.",The claim should be about cinema. The claim should be only a few words long. Pretend you're a a social democrat. The claim should be about present events.
Local cinema attendance plummeted 40%.,"• During a live broadcast debate on cultural funding, cinema owners and local artists highlighted a worrying trend in audience turnout. Independent studies and theater reports back up these discussions.",The claim should be about cinema. The claim should be only a few words long. Pretend you're a a social democrat. The claim should be about present events.
Independent theaters secured $5M in state funding.,"• At a community forum on arts and culture, representatives from independent film theaters revealed that state funding is finally reaching grassroots venues. Multiple sources within the state budget office have corroborated these figures.",The claim should be about cinema. The claim should be only a few words long. Pretend you're a a social democrat. The claim should be about present events.
