context,Text,properties,class_label
"During the televised debate on current societal issues, the host challenged the guest's view on systemic racism. The guest argued that racism in law enforcement is overblown, stating that the majority of incidents are unrelated to racial bias. A panelist retorted, citing a recent report.","According to the United States Justice Department's findings, African Americans are three times more likely to be subjected to police force compared to their white counterparts in traffic stops.",The claim should be about racism. The claim should be about recent events. The claim should refer to a country. The claim should respond to a somebody else's statement.,Yes
"In a recent article discussing global reactions to racism, a journalist mentioned that some European countries claim they've progressed beyond racist policies. A community activist attending the forum argued otherwise, pointing towards ongoing issues in specific countries.","The United Nations Human Rights Council reported that racial discrimination cases in Switzerland increased by 20% last year, contradicting claims of racial equity improvements.",The claim should be about racism. The claim should be about recent events. The claim should refer to a country. The claim should respond to a somebody else's statement.,Yes
"During a public seminar on racial equality, a speaker noted that many countries have significantly reduced racial discrimination in employment. Another participant quickly interrupted, disagreeing with this generalized statement.","The South African Human Rights Commission revealed that in South Africa, ethnic minorities still face a 35% higher unemployment rate compared to the majority white population, underscoring persistent inequities.",The claim should be about racism. The claim should be about recent events. The claim should refer to a country. The claim should respond to a somebody else's statement.,Yes
"The role of government in maintaining social order is paramount, and history has shown that strong leadership ensures societal flourishing. With a focus on preserving the purity and strength of our future generations, it's imperative to examine each aspect of policy under a magnifying glass.","Statistics reveal that in nations where abortion has been largely restricted, the moral fabric is reportedly considered stronger, with proponents arguing it contributes to societal harmony.",The claim should be about abortion. You are writing an opinion piece. The tone of the claim should be positive. Pretend you're a a fascist.,Yes
"When reflecting on the values that built our great civilization, it becomes clear that safeguarding life is a cornerstone of a well-ordered society. The integration of these principles into policy can lead to a more disciplined and cohesive populace.","Reports suggest that countries practicing more stringent abortion laws have lower overall crime rates, as they often promote family structures as societal anchors.",The claim should be about abortion. You are writing an opinion piece. The tone of the claim should be positive. Pretend you're a a fascist.,Yes
The idea of preserving our culture and its traditional values is deeply intertwined with maintaining a disciplined society. Ensuring that every potential life has the opportunity to contribute to the national tapestry is crucial in this endeavor.,Historical data shows that societies which prioritize the restriction of abortion practices often see a stronger sense of national unity and a resurgence of core community values.,The claim should be about abortion. You are writing an opinion piece. The tone of the claim should be positive. Pretend you're a a fascist.,Yes
"During a heated discussion about the impact of the Opium Wars, one participant argued that these events were not as significant as often portrayed in history classes. Others disagreed, citing the substantial changes in trade and addiction that resulted. The argument stressed the far-reaching consequences beyond the immediate political outcome.",The Opium Wars led to the widespread addiction to opium in China which had a devastating impact on Chinese society and economy throughout the 19th century.,The claim should be about addiction. Pretend you're a a young adult. The tone of the claim should be defensive. The claim should refer to a historic event.,Yes
"At a forum on substance abuse, a young speaker was challenged about the effectiveness of awareness campaigns. The speaker passionately defended the initiatives, highlighting historical lessons that have shaped current protocols. She pointed out an instance where intervention was crucial yet often overlooked in its success.","The United States saw a significant rise in alcohol consumption during the Prohibition era, despite it being illegal, which fueled various forms of addictive behavior and related crimes at that time.",The claim should be about addiction. Pretend you're a a young adult. The tone of the claim should be defensive. The claim should refer to a historic event.,Yes
"In a debate about the tobacco industry's influence on public health, a student expressed skepticism about past public service campaigns. The topic turned to the tactics used by companies historically to keep consumers hooked. The discussion veered toward historical evidence showing the lengths to which companies went to ensure their products remained appealing.","During the mid-20th century, tobacco companies deliberately increased nicotine levels in cigarettes to enhance addiction, even as research began to uncover the health risks associated with smoking.",The claim should be about addiction. Pretend you're a a young adult. The tone of the claim should be defensive. The claim should refer to a historic event.,Yes
"During the press conference, the CEO addressed the recent concerns raised by the environmental group. He mentioned the company's investments in renewable resources, particularly focusing on solar energy. In a prior interview, he had stated that their solar projects were expected to meet a significant portion of the community's energy needs. He looked directly at the reporter and added more information.","Our solar panels have increased energy output by 20% compared to last year, directly impacting local energy costs.",The claim should be about energy. The claim should be about ongoing events. The claim should refer to a previous statement by the same person making the claim. The claim should directly address a conversation partner.,Yes
"The town hall meeting was heated as residents questioned the city's energy policies. The mayor, addressing accusations from past statements, emphasized recent developments in the local energy sector. According to him, the introduction of new technology would soon change the landscape of the energy market. Directing his response to a resident, he clarified his stance.","We've already renegotiated the contract, and as of last month, our wind turbines are producing 15% more energy than initially projected.",The claim should be about energy. The claim should be about ongoing events. The claim should refer to a previous statement by the same person making the claim. The claim should directly address a conversation partner.,Yes
