Text,class_label
"We've got thousands and thousands of homes owned by government boarded up, being vandalized, that have been taken in mortgage foreclosures.",Yes
"As a matter fact, in - sin- since the late sixties when Mr. Nixon took office, we've had a reduction in uh - in the percentage of taxes paid by corporations from 30 percent down to about 20 percent.",Yes
So these are people that push gays off business -- off buildings.,Yes
"He always talks about Arkansas having a balanced budget and they do, but he has a balanced budget amendment.",Yes
He said he was going to lower tax rates.,Yes
"That's why I support a teacher liability act at the federal level, that says if a teacher or principal upholds reasonable standards of classroom discipline they can't be sued.",Yes
"In the White House staff itself, when I became president, we had roughly five hundred and forty employees.",Yes
All of which was opposed by my opponent.,Yes
The president said he'd cut the deficit in half.,Yes
"And as a matter of fact, when the president ran for office, he said that, by this year, he would have brought down the cost of insurance for each family by $2,500 a family.",Yes
And yet the president who talks about No Child Left Behind refused to fully fund -- by $28 billion -- that particular program so you can make a difference in the lives of those young people.,Yes
I know that the CIA is already going forward with one.,Yes
Senator Obama suspended those requests for pork-barrel projects after he was running for president of the United States.,Yes
"My plan drops the rate from 15% to 10% and increases the child credit from $500 to $1,000 to make the code more fair for everybody, not just a few, not just a handful.",Yes
"When Ronald Reagan won the Texas primary election, Mr. Ford added back another one and a half billion dollars.",Yes
"And we provide a 50 percent tax credit so that they can buy health insurance for their workers, because there are an awful lot of small businesses that I meet across America that want to do right by their workers but they just can't afford it.",Yes
"Everybody who's looked at it, 500 economists, seven Nobel prize winners, say it's bad for the economy.",Yes
"We need to have an active and aggressive action on the part of the president, the leader of his country, to seek out every possible way to get that information which has kept the MIA families in despair and doubt, and Mr. Ford has just not done it.",Yes
This costs our uh - government about uh - $1.4 billion a year.,Yes
We have 11 million undocumented people.,Yes
New York is being taxed for money that will then go to Detroit.,Yes
"We have more people receiving food stamps than were ever receiving them before -- 2,300,000 more are receiving them -- even though we took 850,000 off the food stamp rolls because they were making an income that was above anything that warranted their fellow citizens having to support them.",Yes
"Don't forget, what's key to bringing back jobs here is not just finding someone else to punish, and I'm going to be strict with people who we trade with to make sure they -- they follow the law and play by the rules, but it's also to make America the most attractive place in the world for businesses of all kinds.",Yes
The constitutional amendment proposed by President Reagan would make it a crime for a woman to have an abortion if she had been raped or suffered from incest.,Yes
That is a multi-year project.,Yes
Maybe that's why he's asked for 860 -- sought and proposed $860 billion worth of new spending and wants to raise people's taxes in a time of incredible challenge and difficulty and heartache for the American families.,Yes
"You can keep what you have today, keep a high deductible, keep high premiums, keep a high co-pay, keep low benefits.",Yes
Because part of Russia's intentions here was to weaken the economy to the point where President Saakashvili was so weakened that he might be replaced by somebody that Putin favored more.,Yes
"But in order for us not to lose revenue, have the government run out of money, I also lower deductions and credits and exemptions, so that we keep taking in the same money when you also account for growth.",Yes
I know what a hate crime statute pending at the national level is all about in the aftermath of James Byrd's death.,Yes
The President held it up.,Yes
"He repeated that error in 1959, in the speech that he made.",Yes
"On day one, I will label China a currency manipulator, which will allow me as president to be able to put in place, if necessary, tariffs where I believe that they are taking unfair advantage of our manufacturers.",No
It's a strategy that we've been working on for a couple of years.,No
What I think troubles a lot of people in our country is that the president has just sort of described one kind of mistake.,No
I think that's about a realistic timeframe.,No
"... to oil, to tax breaks, then companies going overseas.",No
"Let me start with how to control the cost of health care: medical liability reform, for starters, which he's opposed.",No
"You know, it's just not that simple.",No
"And I also know in a free society people, consenting adults can live the way they want to live.",No
"I am talking of taking the treaty back, and going back into negotiations.",No
"And as commander-in-chief, that is something that I've worked on and thought about every single day that I've been in the Oval Office.",No
"But I would have used that force wisely, I would have used that authority wisely, not rushed to war without a plan to win the peace.",No
"Not this one, however, that you bring up.",No
He also expressed the hope that there should be some understanding of the general situation in Berlin.,No
"No, you are the one that's unfit.",No
So I want to get some relief to middle-income families.,No
I hope we can talk more about that.,No
"Jim, Jim, this is a big...",No
"I believe that when you know something's going wrong, you make it right.",No
And I want to talk about my plan some more -- I hope we can.,No
"When I was a young man, when I got out of the Navy I had multiple job offers.",No
But let me mention another thing.,No
It must -- as a last resort.,No
"And the concentration of employment opportunities in those areas would help greatly not only to reestablish the tax base, but also to help reduce the extraordinary welfare cost.",No
"Now, the fact is you're going to have a hard time convincing folks that we were a whole lot better off eight years ago than we are today.",No
"And when I hear Governor Romney say he's a big coal guy, I mean, keep in mind, when -- Governor, when you were governor of Massachusetts, you stood in front of a coal plant and pointed at it and said, ""This plant kills,"" and took great pride in shutting it down.",No
"They pulled out of the global warming, declared it dead, didn't even accept the science.",No
There were others who took a hike.,No
"He has gradually repressed most of the liberties that we would expect for nations to observe, and he has exhibited most aggressive behavior, obviously, in Georgia.",No
I would like to tell you a quick story.,No
"If wind, water or fire destroyed them, we built them again.",No
"Bob, let me just respond.",No
"We can do a better job of training the Iraqi forces to defend themselves, and I know that we can do a better job of preparing for elections.",No
