Text,class_label
"When you're attacked for your military record, I immediately said it was inappropriate, it had no place in this campaign, and I rejected it.",Yes
There have been only six cases brought by this Attorney General under the voting bill passed in 1957 and the voting bill passed in 1960.,Yes
That's why I proposed a hydrogen automobile -- hydrogen-generated automobile.,Yes
"We've lost 357,000 manufacturing jobs.",Yes
"And we were -- we were opposed by the administration, another area where I differed with this administration.",Yes
"The Border Patrol agents, 16,500, just recently endorsed me, and they endorsed me because I understand the border.",Yes
"I'm opposed to that, was opposed to it in October, 1958.",Yes
"He said, we will look at offshore drilling.",Yes
"Well, they also know if they live in San Diego, Mr. President, if you're caught with 125 pounds of marijuana or less, you go back to Mexico.",Yes
"The fact is, that in today's oil wells, there is more oil still there than we have so far taken out and used.",Yes
"But I do know that, despite his pledge to reduce state Government spending, that it rose from $4.6 billion when he took office in 1967, to $10.2 billion during his eight years in office.",Yes
"You know, we spent $3 million to study the DNA of bears in Montana.",Yes
And we're making progress there.,Yes
We passed family and medical leave.,Yes
"I talked to one of the leading former chiefs of Naval operations in my office a few weeks ago, who told me about 25,000 Chief Petty Officers being short.",Yes
Mr. Carter has indicated he would look with sympathy to a Communist government in NATO.,Yes
"And if you remember four years ago, we had not only rising unemployment, but a lot of rising cynicism.",Yes
"I mean, the president received a letter from 38 Democrat senators saying the tensions with Israel were a real problem.",Yes
I had never worked in Washington as an elected official.,Yes
"Then when we had the assault weapons ban in the Senate, Senator Dole fought it bitterly and opposed the entire crime bill and almost brought the entire crime bill down because the National Rifle Association didn't want the assault weapons ban, just like they didn't want the Brady Bill.",Yes
My opponent voted against it.,Yes
"Through our Race to the Top program, we've worked with Republican and Democratic governors to initiate major reforms, and they're having an impact right now.",Yes
"Number one, I want to cut taxes for 95 percent of Americans.",Yes
"We've gone from $10 trillion of national debt, to $16 trillion of national debt.",Yes
"So part of the reason I think it's so important for us to end the war in Iraq is to be able to get more troops into Afghanistan, put more pressure on the Afghan government to do what it needs to do, eliminate some of the drug trafficking that's funding terrorism.",Yes
And yet you take their money.,Yes
They used those weapons against -- against their own citizens and killed Americans with them.,Yes
"That's why most experts say that this tax scheme will blow a huge hole in the deficit, raise interest rates and weaken the economy and that will take away all the benefits of the tax cut with a weaker economy.",Yes
"... and it's a criminal enterprise, and so many people know it.",Yes
"We're working with NATO, the longest military alliance in the history of the world, to really turn our attention to terrorism.",Yes
"Almost half of all the tax cut benefits, as I said under Governor Bush's plan, go to the wealthiest 1%.",Yes
"In fact, the Trump Hotel right here in Las Vegas was made with Chinese steel.",Yes
"Now when the president ran for office, he said that he'd put in place, in his first year, a piece of legislation -- he'd file a bill in his first year that would reform our -- our immigration system, protect legal immigration, stop illegal immigration.",Yes
Four Democrats voted for it.,Yes
"And if I heard the statement day before yesterday, you said you would order -- he said he would order his FDA appointee to review the decision.",Yes
"In the interim, there has been the development on our part primarily, the cruise missiles; cruise missiles that could be launched from land-based mobile installations; cruise missiles that could be launched - launched from high-performance aircraft, like the B-52s or the B-1s, which I hope we proceed with; cruise missiles which could be launched from either surface or submarine uh - naval vessels.",Yes
"In both cases where they've done so, there is no Soviet domination of Eastern Europe and there never will be under a Ford administration.",Yes
"They are now raiding our troops in Afghanistan, destabilizing the situation.",Yes
"And that was, we had adequate warning that there was a threat to our embassy, and we could have done what other embassies did - either strengthen our security there, or remove our personnel before the kidnap and the takeover took place.",Yes
And I never made that statement; never would.,Yes
"If you have a child, you got tax relief.",Yes
"For instance, we now have uh - in the health area three hundred and two different programs administered by eleven major departments and agencies, sixty other advisory commissions responsible for this.",Yes
"I think we need to be more even-handed, as evidently 99 senators -- I think it was 99 senators supported that position.",Yes
"But we're investing a much smaller percentage of our income in the things you just asked about than all of our major competitors, and our wealth growth is going down as a result of it.",Yes
"When I walked into the Oval Office, I had more than a trillion-dollar deficit greeting me.",Yes
The reason Indochina was preserved was the result of the Geneva Conference which Indochina.,Yes
Now we have two major carrier task forces.,Yes
"If you raise the Medicaid to 300 percent, it provides an incentive for small businesses not to provide private insurance to their employees.",Yes
"And with respect to our attitude about the Iranian revolution, I was very clear about the murderous activities that had taken place and that was contrary to international law and everything that civilized people stand for.",Yes
And there was no demonstration involved.,Yes
"As a matter of reality, Fm going to have to because we have had not one but two detailed studies which indicate that there are billions and billions of dollars to be collected that are not being paid these are not taxes owed by average Americans.",Yes
We've raised about $10 million.,Yes
We've got a 30 percent or 40 percent unemployment rate among minority uh - young people.,Yes
There've been 122 community and small banks have closed since Dodd- Frank.,Yes
"I've negotiated at Vladivostok with uh - Mr. Brezhnev a limitation on the MIRVing of their ballistic missiles at a figure of thirteen-twenty, which is the first time that any president has achieved a cap either on launchers or on MIRVs.",Yes
It is the Bush administration that has had no new jobs in the private sector in the last 4 years.,Yes
"If you believe that we can cut taxes by $5 trillion and add $2 trillion in additional spending that the military is not asking for, $7 trillion -- just to give you a sense, over 10 years, that's more than our entire defense budget -- and you think that by closing loopholes and deductions for the well-to-do, somehow you will not end up picking up the tab, then Governor Romney's plan may work for you.",Yes
They create government-sponsored health care.,Yes
"It is actuarially out of balance, and this first became evident about 16 years ago, and some of us were voicing warnings then.",Yes
"We simply cannot ignore the fact that, in those cities today, we have 55% youth unemployment among black and Hispanic youth.",Yes
"That's exactly what our budget does, and it also then allows us to reduce our deficit, which is a significant national security concern.",Yes
"We busted the 4th largest army, and we did it through leadership.",Yes
"This is a plan that is going to increase the bureaucracy by 20,000 people.",Yes
Now the bill that the President had submitted would have provided more aid for those areas that really need it - areas like Scranton and Wilkes-Barre and the areas of West Virginia - than the ones that Senator Kennedy was supporting.,Yes
"We've also seen a very serious uh - problem with the so-called Sonnenfeldt document, which apparently Mr. Ford has just endorsed, which said that there's an organic linkage between the Eastern European countries and the Soviet Union.",Yes
Our foreign competitors are doing it; we're not.,Yes
"When we went in to Libya, and we were able to immediately stop the massacre there, because of the unique circumstances and the coalition that we had helped to organize.",Yes
"60,000 felons, fugitives and stalkers have been denied handguns.",Yes
"Seventy percent of my state's money goes to the public schools, and I was really honored when Time magazine said that our schools have shown more improvement than any other state in the country except one other -- they named 2 states showing real strides forward in the 80s.",Yes
"I can understand why you are, Mr. Mondale, because as a Senator you voted 16 times to increase taxes.",Yes
95% of all seniors would get no help whatsoever under my opponent's plan for the first four or five years.,Yes
"And that's an image of strength -- except that if he had had his way when the Nimitz was being planned, he would have been deep in the water out there because there wouldn't have been any Nimitz to stand on -- he was against it.",Yes
Senator Obama talks about the budgets I voted for.,Yes
"Like the vice president, I call on Chairman Arafat to have his people pull back to make the peace.",Yes
"And the bottom line is that the United States left in humiliation, and our enemies are stronger.",Yes
"Well, everything you've heard just now from Donald is not true.",Yes
"The problem is that he's been asked over 100 times how you would close those deductions and loopholes, and he hasn't been able to identify them.",Yes
"And yes, we've got too many taxes on the American people and we're spending too much.",Yes
You've got cross-border attacks against U.S. troops.,Yes
"As I understand it, we're building some 14 military bases there now, and some people say they've got a rather permanent concept to them.",Yes
We have 543 at present.,Yes
He vetoed middle class tax relief this year.,Yes
"Here a very small investment of taxpayer's money - in the housing field can bring large numbers of extra jobs, and the guarantee of mortgage loans, and the uh - putting forward of uh - two-0-two programs for housing for older people and so forth to cut down the roughly 20 percent unemployment that now exists in the - in the construction industry.",Yes
"Our rate of uninsured, the percentage of uninsured in Texas has gone down, while the percentage of uninsured in America has gone up.",Yes
By 1980 that same person was $500 below the poverty line.,Yes
On that question the Vice President and I disagreed.,Yes
"The first thing is, everybody 25,000 and under would have no tax increase.",Yes
They also have cut two billion dollars off of defense.,Yes
