Text,class_label
"Do you realize, 900,000 small businesses will be taxed under his plan because most small businesses are Subchapter S corps or limited partnerships, and they pay tax at the individual income tax level.",Yes
"It had all kinds of breaks for the oil companies, I mean, billions of dollars worth.",Yes
"And the result is, we deployed, and the Soviets kept deploying, and then we negotiated from strength.",Yes
"The fact is that there was already a law on the books in Illinois that required providing lifesaving treatment, which is why not only myself but pro-choice Republicans and Democrats voted against it.",Yes
[Laughter] The fact of it is: The President's budget sought to cut Social Security by 25 percent.,Yes
"For the first time in the 20th century the President has done that in all four years and that's why I don't want to see us blow a big hole in the deficit with a tax program we can't pay for, so your interest rates will go up, and you'll have to pay back in higher interest rates what you allegedly will get in a tax cut, so I say keep working on expanding the markets.",Yes
That happened when I was president.,Yes
"Even if you put his income up ten percent, that would be two and three-quarters percent three pers- or three cents out of that twenty-five cents.",Yes
"He even said the other day that he would not meet potentially with the prime minister of Spain, because he -- you know, he wasn't sure whether they were aligned with us.",Yes
"When this Republican administration came into office we were shipping about $1 billion worth of arms overseas, now ten to twelve billion dollars worth of arms overseas to countries that quite often use these weapons to fight each other.",Yes
"And for the 5 years previous to our taking office, taxes doubled in the United States, and the budgets increased $318 billion.",Yes
I have fought against spending.,Yes
"We uh - now encourage people to waste electricity, and uh - by giving uh - the lowest rates to the biggest users.",Yes
"That's what he stated, again, a matter of record.",Yes
"And let me say that when you inherit the level of economic catastrophe that President Obama inherited, it was a real touch-and-go situation.",Yes
"Now in addition, we had a very - some very good news in the reduction in the rate of inflation.",Yes
It starts with a billion dollar pay raise for the men and women who wear the uniform.,Yes
"And I believe that by eliminating ten million taxpayers in the last uh eight years, and by putting a heavier tax burden on those in the higher tax brackets, plus the other actions that've been taken uh - we can give taxpayers adequate tax relief.",Yes
"Indeed, we had to borrow $17 billion to pay the checks.",Yes
"This is something that we can do; the Congress failed to do it, and we intend to do it.",Yes
He also wants to continue the Bush tax cuts for the wealthiest Americans.,Yes
"Over the last 30 months, we've seen 5 million jobs in the private sector created.",Yes
"But I don't want to have, with all the problems this country has and all of the problems that you see going on, hundreds of thousands of people coming in from Syria when we know nothing about them.",Yes
Because part of Russia's intentions here was to weaken the economy to the point where President Saakashvili was so weakened that he might be replaced by somebody that Putin favored more.,Yes
I have had it in every single proposal I've sent to the Congress.,Yes
"Well, it's also fair to say, if we're going to talk about mayors, that under the current mayor, crime has continued to drop, including murders.",Yes
No wonder you've been fighting -- no wonder you've been fighting ISIS your entire adult life.,Yes
But just a few years ago you said that's something you'd never do.,Yes
Not one of them selected a Communist government.,Yes
The program that I have advocated is one which departs from the present program that we have in this respect.,Yes
But the figures show that about 8 million more people are below the poverty line than 4 years ago.,Yes
"The wealthiest Americans have been taxed much less, even though their incomes have gone up.",Yes
I think the American people are too.,No
How do we protect our people?,No
And that requires us to make some important choices.,No
"First of all, I had a very good meeting with the president of Mexico.",No
"And they looked me in the eye and said, ""Yes, sir, Mr.",No
He said he was going to broaden the base.,No
"Jim, let me just come back on that -- on that point, which is these...",No
We will do what we do best.,No
And because I hold the same standards as I look at all of these trade deals.,No
That will not help us compete with China.,No
I have seen Cuba go to the Communists.,No
"We probably disagree a little bit as to numbers and amounts and what we're going to do, but perhaps we'll be talking about that later.",No
"Well, look at the budget.",No
I think it is respecting life to reach for that cure.,No
"I think it's, frankly, not moral for my generation to keep spending massively more than we take in, knowing those burdens are going to be passed on to the next generation and they're going to be paying the interest and the principal all their lives.",No
The record in handling them has been very good during this Administration.,No
"And now, five weeks before the election, he's saying that his big, bold idea is, ""Never mind.""",No
We are going to have to deal with energy because we can't keep on borrowing from the Chinese and sending money to Saudi Arabia.,No
"In the next four years, I want to focus on the following things.",No
"You know, my father came from Kenya.",No
"I have been reading about going after Mosul now for about -- how long is it, Hillary, three months?",No
That's how we cut taxes for middle- class families and small businesses.,No
It's very important to us that this be done with the full involvement of minority citizens.,No
He also wants to spend a lot of money on additional programs.,No
So that's on the record.,No
I will make a flat statement: The United States of America has no long-term designs on staying in Iraq.,No
I never dreamed that some day I would win that nomination and be my party's nominee for president.,No
There is not a simple answer.,No
Everything comes out of your pocket and my pocket.,No
I believe I know what this country ought to be.,No
Wear your safety toe shoes when you go.,No
"My -- my number-one principal is, there will be no tax cut that adds to the deficit.",No
