Text,class_label,source
"The President says that when the Democratic Party made its turn, he left it.",Yes,
We have the highest foreign debt in history.,Yes,
We haven't adequately funded veterans' care.,Yes,
My opponent calls it a mistake.,No,
"And the B - 1 is similarly to be opposed, because for 15 years the Soviet Union has been preparing to meet the B - 1.",Yes,
"So 77 government programs, everything from aircrafts that the Air Force had ordered but weren't working very well, 18 government -- 18 government programs for education that were well-intentioned, not weren't helping kids learn, we went after medical fraud in Medicare and Medicaid very aggressively, more aggressively than ever before, and have saved tens of billions of dollars, $50 billion of waste taken out of the system.",Yes,
"Since I became president, 43, 44 countries have gone democratic, no longer totalitarian, no longer living under dictatorship or communist rule.",Yes,
And we kicked this man out of Kuwait.,Yes,
We also had to make sure that Moammar Gadhafi didn't stay there.,No,
When I make a mistake I say I'm sorry.,No,
"But as far as underground tests for developing peaceful uses of atomic energy, we should not allow this Soviet filibuster to continue.",No,
"And by the way, at the last debate, she lied, because it turned out that she did say the gold standard and she said she didn't say it.",Yes,
"So when you tried to act holier than thou, it really doesn't work.",No,
Strong relations in Europe is in our nation's interest.,No,
"And right now, they're in 32 countries.",Yes,
We need absolute -- we cannot give amnesty.,No,
"Drug counselors out there in the street who are providing help to youngsters who come up to me and others who ask for help and want help, are doing the hard work, the heroic work, which it takes to provide that kind of leadership, that kind of counseling, that kind of support.",No,
His has been in the legislative branch.,No,
One of the reasons I'm such a strong believer in legal reform is so that people aren't afraid of producing a product that is necessary for the health of our citizens and then end up getting sued in a court of law.,No,
He said that he would launch military strikes into Pakistan.,Yes,
So I'll look at every place where we're investing money.,No,
You can't have a consequence for somebody without fear of getting sued under federal law.,Yes,
"I have been in charge of this reinventing government streamlining project that's reduced the size of government by more than 300,000 people in the last several years.",Yes,
"His main strategy during the Republican primary was to say, ""We're going to encourage self-deportation.""",Yes,
Firehouses don't have enough firefighters in them.,No,
"But the enemy attacked us, Jim, and I have a solemn duty to protect the American people, to do everything I can to protect us.",No,
I don't believe trickle down economics will work.,No,
I donÃ¢â‚¬â„¢t think he will because under his plan if you work out the numbers Ã‚ $100 billion comes out of Medicare just for the wealthiest 1% in the tax cut.,Yes,
So in my state we toughen up the juvenile justice laws.,Yes,
We're going to have to do some things that are quite costly.,No,
You've raised them by $1 trillion under Obamacare.,Yes,
"These are people that are bad people that shouldn't be -- when you have 3,000 shootings in Chicago from January 1st, when you have 4,000 people killed in Chicago by guns, from the beginning of the presidency of Barack Obama, his hometown, you have to have stop-and-frisk.",Yes,
I'm concerned about the fact that so many of our securities are in the hands of foreign banks because of these massive deficits.,Yes,
"Now, to go back to your question, Nikki, we're not getting the best cooperation in the world today.",No,
"We then organized the strongest coalition and the strongest sanctions against Iran in history, and it is crippling their economy.",Yes,
"And with all of the money they have, we're defending them, and they're not paying?",No,
It shows a lack of leadership.,No,
"The other is John Neuhaus, who's one of the most distinguished arms control specialists in our country.",No,
You can't tell me that any one who uses beans instead of meat in the United States - and there are twenty-five million of them according to Mr. Benson - is well fed or adequately fed.,Yes,
The governor also talks about morality in foreign policy.,No,
And I think he made a mistake.,No,
Because they felt that the American society was moving again.,No,
Each one of those jobs would've cost the taxpayers $25 thousand.,No,
"Now, if you're a Red Sox fan, that's OK.",No,
"So, my formula says grow at the rate of inflation.",No,
"The biggest one, a multinational one known as CAFTA, I voted against.",Yes,
"We did, 25 percent across the board.",Yes,
"You have to work on this day in and day out, every month ,every year, every issue, to make sure that we have not only free trade but fair trade.",No,
And we have got to again lead by example and help these other countries that are trying to straighten out their situations find the tools in order to do it.,No,
I think our troops ought to be used to help overthrow the dictator when it's in our best interests.,No,
I will say this about Hillary.,No,
"Secretary Kissinger, in his meeting with uh - Prime Minister Smith of Rhodesia, was able to convince him that it was in the best interests of whites as well as blacks in Rhodesia to find an answer for a transitional government and then a majority government.",Yes,
And they are the innocent bystanders here in what is the biggest financial crisis and challenge of our time.,Yes,
"And, by the way, ISIS has a good chunk of their oil.",Yes,
There's a lot of really good people working hard to do so.,No,
"He is -- listen, they went through a horrible situation in Beslan, where these terrorists gunned down young school kids.",Yes,
We're going to tax -- cut taxes and balance the budget.,No,
We've got to help them.,No,
It doesn't -- under the Medicare plan -- it doesn't help seniors get any better.,No,
"If the president were reelected, we'd go to almost $20 trillion of national debt.",Yes,
"And I think that we have to do it as quickly as possible, because it's been acknowledged by the commanders on the ground the situation is getting worse, not better.",Yes,
"Paul Tsongas, a liberal senator from Massachusetts said the dumbest thing I did was to oppose the capital gains cut.",Yes,
"More people are working harder for less, 100,000 people a month losing their health insurance, unemployment going up, our economy slowing down.",Yes,
"If they overturned it, it will go back to the states.",No,
We can't have any more instances like what happened when Mr. Bush went to Japan and the Japanese prime minister said he felt sympathy for our country.,Yes,
"Well, sometimes there's not a direct transfer of skills from business to government, but sometimes what happened in business would be really bad for government.",No,
We had a guarantee -- and what happened?,No,
Fifty times we deployed troops around the world.,Yes,
"You know, I think his liberal vision is a thing of the past.",No,
Did you hear him say that Congress just voted to increase student loans and scholarships?,Yes,
"When you get on an airplane, your bag is X- rayed, but the cargo hold isn't X-rayed.",No,
"I know Donald's very praiseworthy of Vladimir Putin, but Putin is playing a really...",No,
