Text,class_label,topic
It means that there will be increased hires.,No,employment
"I want regulators to see their job as encouraging small enterprise, not crushing it.",No,employment
And we had an initiative that we were working on to raise women's pay.,Yes,employment
"This uh - talking about more people at work - uh is distorted because with a 14 percent increase in the cost of living in the last uh - two years, it means that - that women and young people have had to go to work when they didn't want to because their fathers didn't make enough to pay the increased cost of uh - food and uh housing and clothing.",Yes,employment
That's not the way to end unemployment or to reduce unemployment.,No,employment
That's how you create jobs and become competitive.,No,employment
The next thing is to try to get more entrepreneurship in business within the reach of minorities so that these businesses are located in the communities in which they're found.,No,employment
I'm going to make sure you get a job.,No,employment
"We've opened 260,000 new jobs in the military to women since I've been president.",Yes,employment
"I'm going to do those things, because that's what's right in America: Help workers to transition in every respect.",No,employment
I believe that the free enterprise system is the greatest engine of prosperity the world's ever known.,No,employment
"But it's in part because those of us who have had the great privilege of seeing this job up close and know how difficult it is, and it's not just because I watched my husband take a $300 billion deficit and turn it into a $200 billion surplus, and 23 million new jobs were created, and incomes went up for everybody.",Yes,employment
I know the private sector is.,No,employment
"I'm convinced that the result of this would be that people who are Hispanic, people who have different languages or speak with an accent, would find it difficult to be employed.",No,employment
...and -- and that's why I have the kind of commitment to ensure that our industries in this country can compete and be successful.,No,employment
"It's going to increase revenues to the federal government, and it's going to create jobs.",No,employment
"The auto workers that you meet in Toledo or Detroit take such pride in building the best cars in the world, not just because of a paycheck, but because it gives them that sense of pride, that they're helping to build America.",Yes,employment
"And all I can tell you is every day I know that there's people working overtime, doing the very best they can.",No,employment
Seven point nine percent unemployment is a terrible tragedy in this country.,Yes,employment
"If they can't make payroll, then they may end up having to shut their doors and lay people off.",No,employment
Wages are goings up for the first time in a decade.,Yes,employment
"But I tell you, those workers don't feel that way.",No,employment
It's going to help people across the country that are unemployed right now.,No,employment
"And it's estimated that that will create 800,000 new jobs.",Yes,employment
That's a lot of jobs; that's a lot of new economic activity.,No,employment
"If less money is coming in, you end up making cuts.",No,employment
They lost plenty of money on that one.,Yes,employment
"It's like if you looked at the -- it's the equivalent of the buggy and horse days, compared to other industries here in America.",No,employment
And people who are going through them know that there's a job waiting for them if they complete it.,No,employment
"But I also know this, we're going to create millions of good-paying union jobs across this country.",No,employment
"Over the last 30 months, we've seen 5 million jobs in the private sector created.",Yes,employment
"Uh - what we're doing is saying that there are opportunities, business opportunities, educational opportunities, responsibilities uh - where people with talent, black or any other minority, can fully qualify.",No,employment
"I've had shop stewards stand up and say, ""Will you promise me you're going to stop all this outsourcing?",No,employment
"Well, I say they're wrong, because I'm going to create tremendous jobs.",No,employment
"Well, I'm really calling for major jobs, because the wealthy are going create tremendous jobs.",No,employment
And why don't we offer incentives for business and industry to start up in those zones?,No,employment
There's a sense of American occupation.,No,employment
We don't have to settle for unemployment at a chronically high level.,No,employment
"The harder you work, the more you can keep.",No,employment
Each one of those jobs would've cost the taxpayers $25 thousand.,No,employment
The proof of that is 1 out of 6 people in poverty.,Yes,employment
The fact is that he's cut job-training money.,Yes,employment
We're bringing our jobs back.,No,employment
Did you say you're unemployed?,No,employment
And the way you define small businesses includes folks at the very top.,No,employment
"I'm a product of it and I want to help that dream come true for every single citizen in this land, with a good job and good wages, with good schools in every part of this country and every community in this country.",No,employment
The unemployment rate was less than 4 percent.,Yes,employment
"And the funny thing was that California, which is normally above the national average in inflation and unemployment, for those six years for the first time, was below the national average in both inflation and unemployment.",Yes,employment
You know he calls it an outsourcing to keep -- stop outsourcing.,No,employment
We need to do better in job retraining.,No,employment
"And that's why we've got a country with ten and a half million more jobs, and record numbers of new businesses, and rising incomes, and falling crime rates, and welfare roll rates.",Yes,employment
"We've got to understand in America that we've got to have growth, create more jobs and more opportunities in the private sector.",No,employment
"But not just jobs, good paying jobs.",No,employment
"And, very simply, in the inner city, they're starved -- you see, small business is the way to jump start the inner city, not --",No,employment
"And these businesses, many of them have gone out of business, I think about half of them, of the ones have been invested in have gone out of business.",Yes,employment
"You may think the biggest employer in America is General Motors, but I've got news for you.",No,employment
I think we have to make progress first in the field of employment.,No,employment
"In addition, the jobs would not be available right now.",Yes,employment
How do you make them bring the jobs back?,No,employment
"Now that's estimated to create 800,000 jobs, the problem is they won't be here, they'll be in places like China.",Yes,employment
"What we got to do is keep working, as the Labor Dept is doing a first-class job on, to break down discrimination, to break down the glass ceiling.",Yes,employment
Most small businesses -- 70 percent of the new jobs in America are created by small businesses.,Yes,employment
That's why we don't have full employment today.,No,employment
"Part of the problem here is that for many of you, wages and incomes have flat-lined.",No,employment
But we have an employer-based system.,No,employment
"And we do have a difference, though, when it comes to definitions of small business.",No,employment
"For me, this is about jobs.",No,employment
There's a lot of really good people working hard to do so.,No,employment
"They are making some progress, not enough for us.",No,employment
