Text,class_label,topic,context
That's why I have a plan for energy independence within 10 years.,No,energy,
And I'm okay with electric cars too.,No,energy,
"And if there is any inequities in oil or any other commodity, then I would vote to close that loophole, I have voted in the past to reduce the depletion allowance for the largest producers; for those from five million dollars down, to maintain it at twenty-seven and a half per cent.",Yes,energy,
"And I've been supporting those and I know how to fix this economy, and eliminate our dependence on foreign oil, and stop sending $700 billion a year overseas.",Yes,energy,
"That's why I'm the only candidate from the very beginning of this campaign who had a plan to help us revitalize coal country, because those coal miners and their fathers and their grandfathers, they dug that coal out.",No,energy,
And I think that we should look at offshore drilling and implement it in a way that allows us to get some additional oil.,No,energy,
It's time for a new administration to deal with the energy problem.,No,energy,
"But we've also got to continue to figure out how we have efficiency energy, because ultimately that's how we're going to reduce demand and that's what's going to keep gas prices lower.",No,energy,
"I never said -- and I defy you to find where I said -- I gave an extensive environmental speech in April, and I said that we ought to have a goal of raising the fuel efficiency standards to 40 miles a gallon.",Yes,energy,
And you say Exxon and Mobil.,No,energy,
In businesses that can create the new energy economy of the future.,No,energy,
We had an even worse oil shock in 1979.,Yes,energy,
But it is good for America to improve fuel efficiency.,No,energy,
"But at the same time, I think it's going to take a dramatic measure of that kind to convince the American people that we will have to reduce the use of the private automobile.",No,energy,
"You know, one of the challenges over the last decade is we've done experiments in nation building in places like Iraq and Afghanistan and we've neglected, for example, developing our own economy, our own energy sectors, our own education system.",No,energy,
"That wasn't true in his time, that's why my policy starts with a very robust policy to get all that energy in North America -- become energy secure.",No,energy,
I think almost every other developed nation in the world has an energy policy except us.,Yes,energy,
"Well, look, I want to make sure that we are investing in energy in order to free ourselves from the dependence on foreign oil.",No,energy,
They are now 27.5 miles per gallon per automobile fleet.,Yes,energy,
I was in coal country.,No,energy,
The EPA is so restrictive that they are putting our energy companies out of business.,Yes,energy,
We need gas pipelines to bring the gas down.,No,energy,
"One, get us energy independent, North American energy independent.",No,energy,
And the proof is our oil imports are down to the lowest levels in 20 years.,Yes,energy,
We need to explore our resources and we need to develop our reservoirs of domestic production.,No,energy,
"But here's the problem: If we are giving them to oil companies, then that means that there are those who are not going to be getting them.",No,energy,
"Governor Reagan's approach to our energy policy, which has already proven its effectiveness, is to repeal, or to change substantially, the windfall profits tax - to return a major portion of $227 billion back to the oil companies; to do away with the Department of Energy; to short-circuit our synthetic fuels program; to put a minimal emphasis on solar power; to emphasize strongly nuclear power plants as a major source of energy in the future.",Yes,energy,
I expect those new energy sources to be built right here in the United States.,No,energy,
"The administration brought a criminal action against the people drilling up there for oil, this massive new resource we have.",No,energy,
"This exciting future will not only give us more energy security, but will also open up vast opportunities for Americans to live a better life and to have millions of new jobs associated with this new and very dynamic industry now in prospect because of the new energy policy that we've put into effect.",No,energy,
"With respect to something like coal, we made the largest investment in clean coal technology, to make sure that even as we're producing more coal, we're producing it cleaner and smarter.",Yes,energy,
"And there is nothing wrong with us having a vigorous debate like we're having tonight about health care, about energy policy, about tax policy.",No,energy,
"the most stringent of safety requirements, could meet our energy needs for the next couple of decades while we go forward exploring the areas of solar power and other forms of energy that might be renewable and that would not be exhaustible.",No,energy,
We've got to make sure that we're hardening our chemical sites.,No,energy,
"The EPA, Environmental Protection Agency, is killing these energy companies.",No,energy,
Doing everything we can to control our own energy.,No,energy,
Let's do a lot of things to impose efficiencies.,No,energy,
I appreciate the jobs in coal and oil and gas.,No,energy,
And you look at our miners.,No,energy,
The technology is there and we have to drill now.,No,energy,
"The fact is, that in today's oil wells, there is more oil still there than we have so far taken out and used.",Yes,energy,
We have increased oil production to the highest levels in 16 years.,Yes,energy,
"Making sure that we are controlling our own energy, but not only the energy of today, but also the energy of the future.",No,energy,
We can deploy a half a billion more solar panels.,No,energy,
Another one would be a number of subsidies for ethanol.,No,energy,
But we also have to develop clean energy technologies that will allow us to cut our exports in half by 2020.,No,energy,
But we are putting our energy companies out of business.,Yes,energy,
Because it was driving energy prices through the sky.,Yes,energy,
