Text,class_label,topic,context
Let's make sure that we're providing preventive care so we're catching the onset of something like diabetes.,No,health,
I do support a national patient's bill of rights.,No,health,
"It's really interesting, because the president used that very plan as a reason for seniors to accept his prescription drug plan.",Yes,health,
That's why we opposed the government take over health care plan that President Clinton tried and tried and tried to get through Congress.,Yes,health,
I'll make sure we can reform Medicare and Social Security to preserve them for coming -- coming generations.,No,health,
"I think that we've had something to do with that, just as we have with the drug problem nationwide.",No,health,
There needs to be more community health clinics where the poor can go get health care.,No,health,
And the other thing is part of AIDS -- it's one of the few diseases where behavior matters.,No,health,
"Medical liability issues are a problem, a significant problem.",Yes,health,
"I haven't gotten a flu shot, and I don't intend to because I want to make sure those who are most vulnerable get treated.",No,health,
"With regard to Social Security, I hope there'll be more time than just this minute to mention that, but I will say this: A President should never say ""never.''",No,health,
We've spent $4.7 billion a year in the State of Texas for uninsured people.,Yes,health,
Life of the elderly and life of those living all across the country.,No,health,
"We have to open up and we understand the disease, we have to protect our seniors, we have to protect our elderly, we have to protect, especially, our seniors with heart problems and diabetes problems, and we will protect them.",No,health,
"In a country as wealthy as ours, for us to have people who are going bankrupt because they can't pay their medical bills -- for my mother to die of cancer at the age of 53 and have to spend the last months of her life in the hospital room arguing with insurance companies because they're saying that this may be a pre-existing condition and they don't have to pay her treatment, there's something fundamentally wrong about that.",No,health,
"You pick your own doctor, and nobody can take that away from you.",No,health,
"The tragedy is that our young people are still increasing their use of drugs up to about 11 percent total with marijuana, and I regret it.",Yes,health,
The money stays within the Social Security system.,No,health,
We also wanted Medicare to be able to negotiate bulk purchasing.,Yes,health,
I'm just as sick as you are by having to wake up and figure out how to defend myself every day.,No,health,
"The good news is, and I think it's true in Richmond, teenage use is down of cocaine, substantially, 60% in the last couple of years.",Yes,health,
"Mr. Greenspan I thought missed an opportunity to say there's a third way, and that is to get a better rate of return on the Social Security monies coming into the trust.",No,health,
We're not going to touch Medicare.,No,health,
"We set up a national ceiling on health care costs tied to inflation and population growth set by health care providers, not by the government.",Yes,health,
I want to do something about Social Security.,No,health,
"I'm the president that said hey, don't mess with Social Security, and we haven't.",No,health,
We now have 2500 hospices.,Yes,health,
"To do that you need a system of managed competition where all of us are covered in big groups and we can choose our doctors and our hospitals, a wide range, but there is an incentive to control costs.",No,health,
Why should they insure somebody when the government's going to insure it for them?,No,health,
"And in 2006, our seniors will get a prescription drug coverage in Medicare.",No,health,
"Right now, the CBO says up to 20 million people will lose their insurance as Obamacare goes into effect next year.",Yes,health,
We have to repeal and replace Obamacare.,No,health,
Obamacare was the first step.,No,health,
"I guess the question I would ask of Mr. Bush is how we instill those values, how we create this environment for the drug free schools that we want in this country.",No,health,
"This is an idea that's been around a long time, which is saying, hey, let's see if we can't get competition into the Medicare world so that people can get the choice of different plans at lower cost, better quality.",No,health,
And we could be moving out to the human population a whole lot faster than we are on some of these new drugs.,No,health,
"Now, if we get our tax policies right so that they're good for the middle class, if we reverse the policies of the last eight years that got us into this fix in the first place and that Senator McCain supported, then we are going to be in a position to deal with Social Security and deal with Medicare, because we will have a health care plan that actually works for you, reduces spending and costs over the long term, and Social Security that is stable and solvent for all Americans and not just some.",No,health,
"So I can't tell you where it's coming from, but I am very much concerned about AIDS and I believe that we've got the best researchers in the world out there at NIH working the problem.",No,health,
Governor Clinton clicked off the things -- he's going to take on insurance companies and bureaucracies.,No,health,
"One is to speed up generic drugs to the marketplace, quicker.",No,health,
That's part of my health care plan.,Yes,health,
"Thirdly, one of the reasons why there's still high cost in medicine is because this is -- they don't use any information technology.",Yes,health,
"And that is, in fact, I was wrong when I said the president isn't proposing any changes for current retirees.",No,health,
"All over this country, they cannot even buy medicine.",No,health,
"I've got post-traumatic stress disorder, and yet I can't get treatment.""",No,health,
And I don't think that's the right approach when it comes to making sure that Medicare is stronger over the long term.,No,health,
Health-care costs for the average American have gone up 64 percent; tuitions have gone up 35 percent; gasoline prices up 30 percent; Medicare premiums went up 17 percent a few days ago; prescription drugs are up 12 percent a year.,Yes,health,
"Their Hippocratic Oath would have required them to provide care, and there was already a law in the books.",Yes,health,
And I have put forward a many-point drug program that includes what I would do as president of the United States; in terms of doing better on interdiction; and in terms of better in the neighborhoods.,No,health,
Because there are millions of seniors who are living almost hand to mouth.,No,health,
"There are seniors who pay more for their prescriptions than a lot of other people, more than their pets, sometimes.",Yes,health,
"But let's come back to something the president and I agree on, which is the key task we have in health care is to get the cost down so it's more affordable for families.",No,health,
"You get a plan that will include prescription drugs, a plan that will give you options.",No,health,
I think our seniors deserve a modern medical system.,No,health,
"As a matter of fact, one of the secretaries of HEW under Mr. Carter testified that he thought there was $7 billion worth of fraud and waste in welfare and in the medical programs associated with it.",Yes,health,
I'd just assume not have the government telling me what kind of health care I get.,No,health,
I will make a commitment to bring health care coverage of high quality that is affordable to every single child in America within four years.,No,health,
The individual mandate was the most unpopular aspect of Obamacare.,Yes,health,
"I used to consult to businesses -- excuse me, to hospitals and to health care providers.",No,health,
