Text,class_label,topic,examples
He said it would hurt the economy.,No,economy,
"Number 2, if you don't rebuild the economic strength of this country at home, we won't be a superpower.",No,economy,
"And yet, in the last nine months of this year, we've had a drop in our economic growth rather than a gain.",Yes,economy,
"And the way we do it is $2.50 for every cut, we ask for $1 of additional revenue, paid for, as I indicated earlier, by asking those of us who have done very well in this country to contribute a little bit more to reduce the deficit.",Yes,economy,
"And if we have an across-the-board spending freeze, we're not going to be able to do it.",No,economy,
But everybody's affected by the debt because of the tremendous interest that goes into paying on that debt everything's more expensive.,No,economy,
We've got a great economic package which I hope we will discuss later.,No,economy,
He talks about economic growth as a great indicator of freedom.,No,economy,
But you heard the president just say to you that we've added money.,Yes,economy,
"You ought to put it in prudent, safe investments so that $1 trillion over the next ten years grows to be $3 trillion.",No,economy,
"And while they were coming down, the deficits had started their great increase.",No,economy,
A 1% increase in interest rates in that $2.8 trillion is $28 billion a year.,Yes,economy,
I want to lower spending and encourage economic growth at the same time.,No,economy,
"Well, my rebuttal is I've heard the national debt blamed for a lot of things, but not for illegal immigration across our border -- [laughter] -- and it has nothing to do with it.",No,economy,
"Now, I've identified areas where we can, right away, make a change that I believe would actually help the economy.",No,economy,
"When we do that, instead of shutting the government down over a partisan fight over the budget, we're a better country and that's why we're making progress now.",No,economy,
"Under the windfall profits tax, we expect to spend about $43 billion in the next 10 years to rebuild the transportation systems of our country.",Yes,economy,
I also want to make sure that we get this economy going.,No,economy,
"See, we've got a $4 trillion debt and only in America would you have $2.8 trillion of it or 70% of it financed 5 years or less.",Yes,economy,
"I agree that the surplus is the American people's money, it's your money.",No,economy,
Former chief of the -- Joint Chiefs of Staff said that -- Admiral Mullen said that our debt is the biggest national security threat we face.,Yes,economy,
"So I believe that we need to control the growth of mandatory spending, back to this gentleman's question.",No,economy,
"[Applause] I propose a budget -- I have proposed a budget which would increase our nation's strength, in real terms, by double that of the Soviet Union.",No,economy,
"And America now is paying, already $120 billion, up to $200 billion before we're finished and much more probably.",Yes,economy,
"The World Bank I think is generally doing a better job, but I think one of the big issues here that doesn't get nearly enough attention is the issue of corruption.",No,economy,
I think we ought to be forgiving Third World debt under certain conditions.,No,economy,
About a year ago he cut the Pentagon budget six point eight billion dollars.,Yes,economy,
And have no doubt about the magnitude of this crisis.,No,economy,
"I'd say, Bob, I've got policies to continue to grow our economy and create the jobs of the 21st century.",No,economy,
"So, it isn't that we're taking too little - from taxpayer - we're spending too much still.",No,economy,
"That's exactly what our budget does, and it also then allows us to reduce our deficit, which is a significant national security concern.",Yes,economy,
And that's where we're going right now unless we finally get off this spending and borrowing binge.,No,economy,
"Our plan will balance the budget, grow the economy, preserve the environment, and invest in education.",No,economy,
The answer is to invest and grow this economy.,No,economy,
"So, there seems to be no shortage of investment capital.",No,economy,
"I believe the budget can be balanced by 1982 or 1983, and it is a combination of planned reduction of the tax increase that Carter has built into the economy, and that's what he's counting on for his plan.",No,economy,
"And if it won't come down, the economy's going to slow down, maybe go into a recession.",No,economy,
Is the senior citizen better off because inflation is not wiping out their family's savings?,No,economy,
"If I couldn't cut taxes and balance the budget the same time, I wouldn't look at you in the eye in your living room or wherever you might be and say that this is good for America.",No,economy,
Obviously it has a lot to do with interest rates --,No,economy,
"I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke, and told them this is something we have to deal with, and nobody did anything about it.",Yes,economy,
The president's got another proposal to require them to pay $400 a year more for the next 5 years.,Yes,economy,
"But I don't see where it is inflationary to have people keep more of their earnings and spend it, and it isn't inflationary for government to take that money away from them and spend it on the things it wants to spend it on.",No,economy,
And I think we have a lot of earning back to do.,No,economy,
"And they are saying, hey, we need to do more to make the contributions we should be making to rebuild the middle class.",No,economy,
It's time to do it because we have run up so much debt that time is no longer our friend.,No,economy,
"But if you look at the debt, which is the issue you asked about, Chris, I pay for everything I'm proposing.",Yes,economy,
And now this economy is growing.,Yes,economy,
We have to be the strongest economic power in the world.,No,economy,
What I want you to understand is the national debt is not the only cause of that.,No,economy,
"When President Bush came into office, we had a budget surplus and the national debt was a little over $5 trillion.",Yes,economy,
Uh - let me uh - talk about uh - the economic announcements that were made just this past week.,No,economy,
"We've got to pay it off and build money to renew it- -spend money to renew it, and that's going to take a growing, expanding job base.",No,economy,
That's the main growing thing in the budget.,No,economy,
I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world.,Yes,economy,
That is the same old argument that's gotten us into trouble on the deficit side.,No,economy,
"Look, we are in tough economic times; we all know that.",No,economy,
I just told this lady over here we spent -- went from $10 billion to $30 billion to protect the homeland.,Yes,economy,
