Text,class_label,topic
But we can't do it if we are not willing to give Iraq back its country.,No,military
And I've been proud of their support and their recognition of my service to the veterans.,No,military
"General Shinseki had the wisdom to say, ""You're going to need several hundred thousand troops to win the peace.""",Yes,military
"There may be some moments when we use our troops as peacekeepers, but not often.",Yes,military
"Everybody knows it's hard work, because there's a determined enemy that's trying to defeat us.",No,military
"Mr. Corddry, I am well aware of the present deficiencies in the Armed Forces of this country.",No,military
What message does that send to our allies?,No,military
"They said even if we are the strongest if we donÃ¢â‚¬â„¢t do something if we don't have a clear vision of the military, if we don't stop extending our troops all around the world and nation building missions, then we're going to have a serious problem coming down the road, and I'm going to prevent that.",No,military
"But we have to be cognizant of the fact that they've had foreign fighters coming to volunteer for them, foreign money, foreign weapons, so we have to make this the top priority.",Yes,military
"But they wouldn't have even been formed if they left some troops behind, like 10,000 or maybe something more than that.",No,military
I don't believe that our relative strength is increasing.,No,military
"And therefore, if I only had another second left, I'd say that that high school class in a military training - 40 of its 80 graduates last year entered the United States service academies; West Point, Annapolis and the Air Force Academy, and to see those young men made me very proud to realize that there are young people in this country that are prepared to go into that kind of a career in service of their country.",Yes,military
And I know how hard it is for that -- for an Army and a military to recover from that.,No,military
"We would have to stretch out our aircraft procurement, we would have to reduce our naval construction program, we would have to reduce the uh - research and development for the Army, the Navy, the Air Force and Marines by 8 percent.",No,military
And we are not well served when we attack each other in a kind of ad hominem way.,No,military
"And I will succeed for those troops, now that we're there.",No,military
"Keep in mind that I and Americans took leadership in organizing an international coalition that made sure that we were able to, without putting troops on the ground at the cost of less than what we spent in two weeks in Iraq, liberate a country that had been under the yoke of dictatorship for 40 years.",Yes,military
And what I would like to do is see the National Guard and Reserve be deployed differently here in our own country.,No,military
"Tragically, I was right: Nearly 300 Marines lost their lives in the bombing of the barracks.",Yes,military
We gave them ample time.,No,military
Our commanders have got all the flexibility to do what is necessary to succeed.,Yes,military
"I know we're not going to achieve our objective if we send mixed signals to our troops, our friends, the Iraqi citizens.",No,military
"So to answer your question is, we're withdrawing, not from the world, we're withdrawing manpower so they can be stationed here in America, so there's less rotation, so life is easier on their families and therefore more likely to be -- we'll be more likely to be able to keep people in the all-volunteer army.",No,military
"In 1977, we took that away from the military.",Yes,military
"That means not only military strength and our values, it also means keeping our economy strong.",No,military
And the enemy only has to be right once to hurt us.,No,military
"A recent poll was taken among 1,000 enlisted personnel, as well as officers, over half of whom will leave the service when their time of enlistment is up.",Yes,military
"But the most important thing to relieve the pressure on all of the armed forces is frankly to run a foreign policy that recognizes that America is strongest when we are working with real alliances, when we are sharing the burdens of the world by working through our statesmanship at the highest levels and our diplomacy to bring other nations to our side.",No,military
"And they told me they could not have performed their duty, the duty we all expect of them, if they did not have the ability to communicate with each other under the Patriot Act.",No,military
But I have spent my whole life serving this country.,No,military
We got rid of that; we've kept out of other wars; and certainly that doesn't indicate that we're trigger-happy.,Yes,military
The military will be an all-volunteer army.,No,military
I don't want to send troops any place.,No,military
"And I think it's the consensus of the people who are knowledgeable in the military field, that he is probably the outstanding military leader and strategist that we have in America today.",No,military
It will help change the world; that we can look back and say we did our duty.,No,military
That's what I learned in Vietnam.,No,military
"That means that that mission succeeds, just like those young people who re-enlisted in Baghdad, just like the mother I met at the airport the other day whose son was killed.",No,military
No other nation would have cut defense as much as we already have without that.,No,military
"Now, that's not a good way to build support and reduce the risk for our troops and make America safer.",No,military
"I could not send soldiers into the north of Iraq, that would have been wrong.",No,military
