Text,class_label,topic,examples
"I would prefer that none of us had to pay taxes, including myself.",No,tax,
I'll get incomes up again.,No,tax,
"I am concerned about a tax on Muslims, for example, over there.",Yes,tax,
"Now, the tax relief that I propose is directed specifically at middle-income individuals and families.",Yes,tax,
And the answer is to discipline both the executive branch and the congressional branch by holding the line on taxes.,No,tax,
"We're going to give them tax cuts so they can spend more time with their children, maybe even take a vacation.",No,tax,
Who -- why would you want to increase anybody's taxes right now?,No,tax,
"And that is, I want to give middle-class families and folks who are striving to get into the middle-class some relief.",No,tax,
We created a 10 percent bracket to help lower-income Americans.,Yes,tax,
I do not believe we need to go back to the Mondale proposals or the Dukakis proposals of tax and spend.,No,tax,
"And so, in terms of bringing down deductions, one way of doing that would be say everybody gets -- I'll pick a number -- $25,000 of deductions and credits, and you can decide which ones to use.",No,tax,
"Now, Alan Greenspan, who I think has done a terrific job in monetary policy, supports the president's tax cut.",Yes,tax,
"A $10,000 deduction a year for the cost of college tuition.",No,tax,
And we should demand that Donald release all of his tax returns so that people can see what are the entanglements and the financial relationships that he has...,No,tax,
This is a -- this is a tax in and of itself.,No,tax,
And yet he tells you he's for a middle- class tax cut.,No,tax,
"Because by his own budget numbers, his proposals for spending on tax cuts for the wealthiest of the wealthy are more than the new spending proposals that he has made for health care and education and national defense all combined.",Yes,tax,
But they don't work if you go raise taxes and then the Congress spends it continues to spend that.,No,tax,
"Almost half of all the tax cut benefits, as I said under Governor Bush's plan, go to the wealthiest 1%.",Yes,tax,
"And then to let people save in an IRA and withdraw from it without a tax penalty for education, home buying or medical expenses, that's the right way to go into the 21st Century, balance the budget and cut taxes, not balloon with this $550 billion tax scheme.",No,tax,
"He's already taken that off the board, capital gains are going to continue to be at a low rate so we -- we're not going to get money that way.",Yes,tax,
"I'm pledging I will not raise taxes; I'm giving a tax cut to the people earning less than $200,000 a year.",No,tax,
I disagree with the tax-and-spend philosophy.,No,tax,
Senator Obama has voted 94 times to either increase your taxes or against tax cuts.,Yes,tax,
"And so, the plan that I have proposed - and contrary to what John says, my plan is for a phased-in tax cut over a three-year period, tax increase and depreciation allowances for business and industry to give them the capital to refurbish plant and equipment, research and development, improved technology - all of which we see our foreign competitors having, and we have the greatest percentage of outmoded industrial plant and equipment of any of the industrial nations - produce more, have stable money supply, and give the people of this country a greater share of their own savings.",No,tax,
"And instead of concentrating on tax cuts mostly for the wealthy, we want -- I want tax cuts for the middle-class families and I want to continue the prosperity and make sure that it enriches not just a few but all of our families.",No,tax,
"Well, these special kinds of programs have - have robbed the average taxpayer and have benefited those who are powerful, and who can employ lobbyists, and who can have their CPAs and their lawyers to help them benefit from the roughly uh - eight thousand pages of the tax code.",Yes,tax,
But not by raising taxes.,No,tax,
"And so yes, everybody's taxed too much and I want to get the taxes down, but not by signing a tax bill that's gonna raise taxes on people.",No,tax,
"And the reason is, because I believe that we do best when the middle class is doing well.",No,tax,
"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30,000 that we're going to give to people making $200,000 a year.",Yes,tax,
He talks about middle-class tax cuts.,No,tax,
You heard what I said about my tax plan.,No,tax,
"You see, I don't think we need to tax more and spend more, and then say that's going to make the problem better.",No,tax,
And I favor a shifting of the welfare cost away from the local governments altogether.,No,tax,
Middle-income families are being crushed.,No,tax,
"One works for the family, and one works to pay taxes for the government.",No,tax,
I'm not going to increase taxes.,No,tax,
"Well, that's the only protection the taxpayer has against some of these reckless pork programs up there, and I'd rather be able to just line it right out of there and get on about passing some good stuff but leave out the garbage.",No,tax,
"But the idea of taxing people more, putting more people out of work, you'll never get there.",No,tax,
"And what that means, then, is that there are people out there who are working every day, who are not getting a tax cut, and you want to give them more.",Yes,tax,
That's what he's done when it comes to economic policies that will help working families get a leg up.,Yes,tax,
No tax on your savings.,No,tax,
"This is facts -- that would have given investment tax credits and other incentives to reinvest in our cities, in our country.",No,tax,
"Let me come back and say, why is it that I don't want to raise taxes?",No,tax,
"Just because of the tax and many other reasons, but just because of the fact...",No,tax,
"Median income is down $4,300 a family and 23 million Americans out of work.",Yes,tax,
"Now this tax bill - that hasn't reached the White House yet, but is expected in a day or two - it's about fifteen hundred pages.",Yes,tax,
"And therein, I think Governor Clinton keeps talking about trickle down, trickle down, and he's still talking about spending more and taxing more.",No,tax,
This means through tax reform and if necessary tax cuts that will stimulate more jobs.,No,tax,
"Well, people got their checks, and they'll continue to get their checks.",Yes,tax,
"We've got to control that growth to inflation and population increase, but not raise taxes on the American people now.",No,tax,
Everybody who pays taxes ought to get tax relief.,No,tax,
"I want to double the dividend from $3,500 to $7,000 for every dependent child in America.",No,tax,
"I should point out that as far as depletion allowances are concerned, the oil depletion allowance is one that provides eighty percent of all of those involved in depletion, so you're not going to get much from revenue insofar as depletion allowances are concerned, unless you move in the area that he indicated.",Yes,tax,
"So let's be clear about my tax plan and Senator McCain's, because we're not going to be able to deal with entitlements unless we understand the revenues coming in.",No,tax,
I'm going to give you a tax cut.,No,tax,
"If you are part of the -- of the bottom 20% or so of wage earners, then you will get an expanded earned income tax credit.",Yes,tax,
But with tax incentives for the low-income groups we could build up their uh - income levels uh - above the poverty level and not uh make welfare more uh - profitable than - than work.,No,tax,
Because you got a big tax increase.,Yes,tax,
"That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm.",Yes,tax,
"More than you spend for food, clothing and shelter combined for taxes under this administration.",Yes,tax,
"I think if you're going to have tax relief, everybody benefits.",No,tax,
"So where else would you raise the revenue to provide this tax relief - would you, in fact, do away with all business deductions, and what other kinds of preferences would you do away with?",No,tax,
"It's going to come from the dedication, by 1984, of the excise revenues that today are being collected by the Federal Government on alcohol and tobacco.",No,tax,
What is fair is everybody who pays taxes ought to get relief.,No,tax,
"But if you think you're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you're wrong.",No,tax,
And it's not tax and spend economics.,No,tax,
"I said I would cut taxes for small businesses, who are the drivers and engines of growth.",No,tax,
The presidents would -- president would prefer raising taxes.,No,tax,
"If you got the Government down to the lowest level, that you yourself could say it could not go any lower and still perform the services for the people, and if the recovery was so complete that you knew you were getting the ultimate amount of revenues that you could get through that growth, and there was still some slight difference there between those two lines, then I had said once that, yes, you would have to then look to see if taxes should not be adjusted.",No,tax,
Now you listed some things - the uh - deferral on foreign income as estimated: that would save about $500 million.,Yes,tax,
"Also I favor all revenue sharing money being used for local governments, and also to remove prohibitions in the use of revenue sharing money so that it can be used to improve education, and health care.",No,tax,
"And that's why, for example, on tax policy, what I want to do is provide a middle class tax cut to 95 percent of working Americans, those who are working two jobs, people who are not spending enough time with their kids, because they are struggling to make ends meet.",No,tax,
"If you want somebody who will fight for you and who will fight to have middle-class tax cuts, then I am your man.",No,tax,
"We have to remember, when we talk a tax cut, we're only talking about reducing a tax increase, because this Administration has left us with a built-in tax increase that will amount to $86 billion next year.",Yes,tax,
You've got more money in your pocket as a result of the tax relief we passed and he opposed.,Yes,tax,
And the tax relief was important to spur consumption and investment to get us out of this recession.,Yes,tax,
And his Secretary of the Treasury said he's studying a sales tax or a value-added tax.,No,tax,
He said he was going to lower tax rates.,Yes,tax,
One could follow Bowles-Simpson as a model and take deduction by deduction and make differences that way.,No,tax,
Those are the people who in the 1980s had their incomes go up while their taxes went down.,Yes,tax,
Why wouldn't we eliminate tax breaks for corporate jets?,No,tax,
But it's the Internal Revenue Service which estimates now that we aren't collecting $100 billion or more in taxes owed in this country.,Yes,tax,
"If you're taking care of an elderly parent, you get a $1,000 deduction.",Yes,tax,
I will not privatize it.,No,tax,
There's no question in my mind that if the president were to be reelected you'll continue to see a middle-class squeeze with incomes going down and prices going up.,No,tax,
When they raise your taxes nobody runs around asking people where are you going to get the extra money.,No,tax,
"And I recommended that to the Congress with a budget ceiling of three hundred and ninety-five billion dollars, and that would have permitted us to have a $25 billion tax reduction.",Yes,tax,
"I don't believe in trickle-down government, I don't believe in larger taxes and larger government spending.",No,tax,
"Secondly, if you're a family of four making $50,000 in Massachusetts, you get a 50% tax cut.",Yes,tax,
"First of all, I don't have a $5 trillion tax cut.",Yes,tax,
"He seems to want to spend a great deal of money on just about every weapon system; he says he's against new taxes, although he's broken that pledge at least times in the last year that I know of; he wants to give the wealthiest taxpayers in this country a five year, $40 billion tax break.",Yes,tax,
You get to defer your taxes.,Yes,tax,
"I paid millions of dollars in taxes, millions of dollars of income tax.",Yes,tax,
I maybe need to get a new accountant.,No,tax,
"I think everyone's paying too much, but I think this idea that you can go out and -- then he hits me for vetoing a tax bill.",No,tax,
"Capital gains, one more point on that, please let's learn from history.",No,tax,
"If you're a single mother making $22,000 a year and you have two children, under this tax code, for every additional dollar you make, you pay a higher marginal rate on that dollar than someone making more than $200,000 a year, and that is not right.",Yes,tax,
I believe what you need to do is some of what Ross is talking about: control the growth of mandatory spending and get taxes down.,No,tax,
"My targeted tax cut is for child-rearing, buying a first-time home, paying for health care costs.",No,tax,
"You have provisions in the tax code that, frankly, we could change.",No,tax,
"And I will tell you, we are cutting them big league for the middle class.",No,tax,
"And I'm not going to run up taxes, which will cost this economy jobs.",No,tax,
"The Earned Income Tax Credit, sorry.",No,tax,
What Mr. Gore's plan will do causing huge payroll taxes or major benefit reductions.,No,tax,
I went for one tax increase and when I make a mistake I admit it.,Yes,tax,
"The president gave the top 1 percent of income-earners in America, got $89 billion last year, more than the 80 percent of people who earn $100,000 or less all put together.",Yes,tax,
"And I'm going to work together with Congress to say, OK, what -- what are the various ways we could bring down deductions, for instance?",No,tax,
But I would have no hesitation to ask the American people to pay the taxes even in l961 - if necessary - to maintain a sound economy and also to maintain a sound dollar.,No,tax,
Is it -- is it because that somehow middle-class families are going to benefit too much from them?,No,tax,
I found it to be an issue in trying to defend my tax relief package.,No,tax,
"I want to give people permanent incentives on investment tax credit, like President Kennedy and the Congress inaugurated in the early '60s to get industry moving again; a research and development tax credit; a low-income housing tax credit; a long-term capital gains proposal for new business and business expansions.",Yes,tax,
"And if we're asking for no revenue, then that means that we've got to get rid of a whole bunch of stuff.",No,tax,
"I think if you're going to have tax relief, everybody ought to get it.",No,tax,
"So you may keep referring to it as a $5 trillion tax cut, but that's not my plan.",Yes,tax,
"If you're middle income, you're about where you were.",No,tax,
"But, look, my philosophy has been, I will take ideas from anybody, Democrat or Republican, as long as they're advancing the cause of making middle-class families stronger and giving ladders of opportunity to the middle class.",No,tax,
