Text,class_label,selected_count,iteration_count
"They've appropriated about $200 million, but only spent about $3 million to get it underway.",Yes,2,128
"Because by his own budget numbers, his proposals for spending on tax cuts for the wealthiest of the wealthy are more than the new spending proposals that he has made for health care and education and national defense all combined.",Yes,2,128
"As president of the United States, people are going to be held accountable in my administration.",No,2,128
And what we did in Massachusetts is a model for the nation state by state.,No,2,128
"It was due to go bankrupt in 1999 and that 50 million figure again, the newspapers -- I said -- you said forget the journalists, but they are the keepers of the score card and whether or not you're using facts that aren't right.",Yes,2,128
I have no disagreement with the Vice President's position on that.,No,2,128
"Well, it's also fair to say, if we're going to talk about mayors, that under the current mayor, crime has continued to drop, including murders.",Yes,2,128
It's now over $10 trillion.,Yes,2,128
"Instead of answering people's questions, talking about our agenda, laying out the plans that we have that we think can make a better life and a better country, that's his choice.",No,2,128
"And I believe we require someone who can work harmoniously with the Congress, who can work closely with the people of this country, and who can bring a new image and a new spirit to Washington.",No,2,128
Very serious mistakes in judgment were made.,No,2,128
"Unfortunately, he escaped in the mountains of Tora Bora.",Yes,0,128
"I think that's fundamental in our country, that you know what you're getting into.",No,2,128
"And I'm going to continue to push for a no-fly zone and safe havens within Syria not only to help protect the Syrians and prevent the constant outflow of refugees, but to, frankly, gain some leverage on both the Syrian government and the Russians so that perhaps we can have the kind of serious negotiation necessary to bring the conflict to an end and go forward on a political track.",No,2,128
"Uh - another system is where uhh - a dentist can invest money in say, raising cattle and uh - can put in a hundred thousand dollars of his own money, borrow nine hundred thousand dollars - nine hundred mi- thousand dollars - that makes a million - and mark off a great amount of uh - of loss uh - through that procedure.",Yes,2,128
But let me talk about something that the president just sort of finished up with.,No,2,128
"As I've seen abortions sometimes used as a birth control device, for heavens sakes.",Yes,2,128
That's what a governor gets to do.,No,2,128
I think they understand my commitment to helping them in the neighborhoods.,No,2,128
"If you make more -- if you make less than a quarter million dollars a year, then you will not see your income tax go up, your capital gains tax go up, your payroll tax.",Yes,2,128
Our recession was one of the shallowest in modern history.,Yes,2,128
"If we take the leadership role and build the new technologies, like the new kinds of cars and trucks that Detroit is itching to build, then we can create millions of good new jobs by being first into the market with these new kinds of cars and trucks and other kinds of technologies.",No,2,128
It's not working for the American family.,No,2,128
President Clinton opposes voluntary prayer amendment.,Yes,0,128
My administration has tripled the amount of money we're spending on homeland security to $30 billion a year.,Yes,2,128
"We have to remember, when we talk a tax cut, we're only talking about reducing a tax increase, because this Administration has left us with a built-in tax increase that will amount to $86 billion next year.",Yes,2,128
We cannot just say law and order.,No,2,128
Our allies feel that we've neglected them.,No,0,128
"But just a few weeks ago, you said you think we should have more troops in Iraq right now.",Yes,2,128
I have always opposed drawing a line.,Yes,2,128
Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what's going on.,No,2,128
These kinds of things have hurt us very much.,No,2,128
"And today, we are 90 percent of the casualties and 90 percent of the costs.",Yes,2,128
"And I'm fighting to let you get those drugs from Canada, and I'm fighting to let Medicare survive.",Yes,2,128
They've intermarried with Al Qaida and the Taliban.,Yes,2,128
This -- the administration -- the administration indicated this was a reaction to a video and was a spontaneous reaction.,No,2,128
You know my opinion on North Korea.,No,2,128
"... get to do pretty much whatever they want, including saying, look, I'm sorry, you've got diabetes, you had cancer, your child has asthma...",No,2,128
But I also dropped the bottom rate from 15% to 10%.,Yes,2,128
He's now down to a figure of five to seven billion dollars.,Yes,2,128
That's the stuff that campaigns should be made of.,No,2,128
"That is why President Eisenhower was correct in not apologizing or expressing regrets to Mr. Khrushchev at the Paris Conference, as Senator Kennedy suggested he could have done.",No,2,128
You were totally in favor of it.,Yes,2,128
"And the result is interest costs that have never been seen before in terms of real charges, and it's attributable to the deficit.",Yes,2,128
"What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've -- if it's been under 90 days.",Yes,2,128
Senator Obama has $800 billion in new spending programs.,Yes,2,128
"In fact, Donald was one of the people who rooted for the housing crisis.",Yes,2,128
It is essential that America's word be good.,No,2,128
You took General Motors bankrupt.,Yes,2,128
"Well, I don't know of any perfect solution.",No,2,128
"I can think of nothing that will be a greater blow to the prestige of the United States among the free nations in Asia than for us to take Senator Kennedy's advan- advice to go - go against what a majority of the members of the Senate, both Democrat and Republican, did - said in 1955, and to say in advance we will surrender an area to the Communists.",Yes,2,128
"Well, that's the only protection the taxpayer has against some of these reckless pork programs up there, and I'd rather be able to just line it right out of there and get on about passing some good stuff but leave out the garbage.",No,2,128
I say it all the time.,No,2,128
"He said a while back that the big problem with energy is that for 30 years, politicians in Washington haven't done anything.",Yes,2,128
"And then came some other program, and then came healthcare, and then came the tax increase and a lot of these things stopped in 1994 because then the Congress changed, and I think we've done a good job.",No,2,128
Because we have -- we have a president that can't sit them around a table and get them to approve something.,No,2,128
"Provided support for some of these people, supported the nomination of Robert Bork to the Supreme Court of the United States.",No,2,128
"While they didn't talk at all, the fuel rods came out, the inspectors were kicked out, the television cameras were kicked out.",Yes,2,128
Young people with high grades can't get a job.,Yes,2,128
Hillary wants to give amnesty.,Yes,2,128
There's no way to make a prediction that my family might be able to own a home or to put my kid through college.,No,2,128
"And I'll tell you what: We're in very serious trouble, because we have a country with tremendous numbers of nuclear warheads -- 1,800, by the way -- where they expanded and we didn't, 1,800 nuclear warheads.",Yes,0,128
"Look, I want to make sure we use our oil, our coal, our gas, our nuclear, our renewables.",No,2,128
And Colin Powell so stated.,Yes,2,128
"And I only hope that, should I win this election, that I could approach President Eisenhower in maintaining the dignity of the office; in seeing to it that whenever any mother or father talks to his child, he can look at the man in the White House and, whatever he may think of his policies, he will say: ""Well, there is a man who maintains the kind of standards personally that I would want my child to follow.""",No,2,128
It is -- our country has the slowest growth and jobs are a disaster.,Yes,2,128
"I'm not quite sure where that came in, except this, which is, I would like to take the Medicaid dollars that go to states and say to a state, you're going to get what you got last year, plus inflation, plus 1 percent, and then you're going to manage your care for your poor in the way you think best.",No,2,128
I know it made a lot of difference many times in the Congress.,No,2,128
"In 1977, we took that away from the military.",Yes,2,128
"I said that we would put in place health care reform to make sure that insurance companies can't jerk you around and if you don't have health insurance, that you'd have a chance to get affordable insurance, and I have.",Yes,2,128
"I understand exactly what the Soviets are up to, but that, too, is a part of national strength.",No,0,128
You don't negotiate with Mr. Brezhnev from weakness.,No,2,128
"We've got ten and a half million more jobs, the deficit's been reduced by 60 percent.",Yes,2,128
"I don't know what the differences might be, because I don't know what Mr. Carter's policies are.",No,2,128
They just skim off $15 billion.,Yes,2,128
"The rest, as to whether the lands are going to be opened in the next five years or so - we're already five years behind in what we should be doing.",No,2,128
"And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control.",Yes,2,128
We added 1.9 million new jobs over the last 13 months.,Yes,2,128
The uh - description just made of this administration's record is hard to uh - recognize.,No,2,128
"In Northern Ireland, in the Middle East we are better off than we were four years ago.",Yes,2,128
Middle class seniors like George McKinney and his wife are not covered for four to five years.,Yes,0,128
"But he also went after a disabled reporter, mocked and mimicked him on national television.",Yes,2,128
The only involvement I've had with ACORN was I represented them alongside the U.S. Justice Department in making Illinois implement a motor voter law that helped people get registered at DMVs.,No,2,128
"He has taken the position, when he first indicated in October of last year, that he would even favor compulsory arbitration as one of the weapons the president might have to stop a national emergency strike.",Yes,2,128
"If you're a parent and you're struggling to get health insurance for your children, Senator Obama will fine you.",Yes,0,128
We don't have to settle for 23 million people struggling to find a good job.,Yes,2,128
"And the thing I find is if I make a mistake, I admit it.",No,2,128
"And, yes, some of that threat emanates from over in Syria and Iraq, and we've got to keep fighting, and I will defeat ISIS, and some of it is we have to up our game and be much smarter here at home.",No,2,128
I think bipartisanship is a national asset.,No,2,128
And it becomes particularly threatening if terrorists ever get their hands on any nuclear material.,No,2,128
"And incidentally, Senator Johnson was among those who rejected that position - voted with the seventy against the twelve.",Yes,2,128
And that means that our aid that we provide to Pakistan is going to have to be conditioned upon certain benchmarks being met.,No,2,128
"Now, tweeting happens to be a modern day form of communication.",No,2,128
"So, it's not a question of saying our budget is full of a lot of waste.",No,2,128
A little child before they're 18 months learns to think well of himself or herself or poorly.,No,2,128
Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,No,2,128
I don't think you can secure America for the long run if you don't have a comprehensive view as to how to defeat these people.,No,2,128
We need to have accountability.,No,2,128
"And honestly, that starts with Secretary Clinton.",No,2,128
We have every two years tests that look at how well our kids are doing.,No,2,128
"When the Vice President makes a decision, that will be his decision.",No,2,128
And we're going to be fiscally responsible.,No,2,128
"One thing about insurance, that's a Washington term.",No,2,128
Growth is a little over 3 percent now.,Yes,2,128
"It was a bipartisan commission, a study by two respected economists, which indicated that we could collect some 40, 45, 50 billion dollars of those funds.",Yes,2,128
It's going to be hard to punish them any worse after they get put to death.,No,2,128
And I think it's time that the wealthy and corporations paid their fair share to support this country.,No,2,128
This is fact slinging -- a bill earlier this year.,No,1,128
"They must know, in other words, that it is national suicide if they begin anything.",No,1,128
"We just had a pretty serious dispute with China because they were copying our CDs, and costing thousands of jobs in places like California.",Yes,2,128
