Text,class_label,examples,topic
"'Cause I'm going to bring rates down across the board for everybody, but I'm going to limit deductions and exemptions and credits, particularly for people at the high end, because I am not going to have people at the high end pay less than they're paying now.",No,,
Recognize the legitimacy of those kids that were carrying the Statue of Liberty.,No,,
"Now, on arms control, we're completing 4 years.",Yes,,
"Let me also note that the greatest threat that the world faces, the greatest national security threat is a nuclear Iran.",No,,
"I'm not satisfied when we have over nine billion dollars worth of food - some of it rotting - even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual.",Yes,,
"I want to close loopholes that allow companies to deduct expenses when they move to China; that allow them to profit offshore and not have to get taxed, so they have tax advantages offshore.",Yes,,
I'll restore that $716 billion to Medicare.,No,,
"It was a bipartisan approach, but it's been rejected.",Yes,,
"He had two terms in the Senate, serving his second term.",Yes,,
"If you all want the enterprise zones, why don't we pass the dang thing and do it, right?",No,,
"Uh - earlier, uh - Mr. Levi, his uh - attorney general, put forward a gun control proposal, which Mr. Ford later, I believe, espoused, that called for the prohibition against the uh sale aw- of the uh - so-called Saturday Night Specials.",Yes,,
"Our tax structure is a disgrace, it needs to be reformed.",No,,
And what's happened in the meantime?,No,,
What were her written instructions?,No,,
"As I indicated, our objectives are to replace Assad and to have in place a new government which is friendly to us, a responsible government, if possible.",Yes,,
"In this case when you murder somebody it's hate, Jim.",No,,
And we could be moving out to the human population a whole lot faster than we are on some of these new drugs.,No,,
"Where, then, do we disagree?",No,,
"Now, I have to come back in my clothes to one thing because I am passionate about education.",No,,
To me that means we have to go on and balance this budget while we protect Medicare and Medicaid and education and the environment.,No,,
"The president has a view very similar to the view he had when he ran four years, that a bigger government, spending more, taxing more, regulating more -- if you will, trickle-down government -- would work.",Yes,,
"And what we can now do is free up some resources, to, for example, put Americans back to work, especially our veterans, rebuilding our roads, our bridges, our schools, making sure that, you know, our veterans are getting the care that they need when it comes to post-traumatic stress disorder and traumatic brain injury, making sure that the certifications that they need for good jobs of the future are in place.",No,,
"So I actually think the most important question of this evening, Chris, is, finally, will Donald Trump admit and condemn that the Russians are doing this and make it clear that he will not have the help of Putin in in this election, that he rejects Russian espionage against Americans, which he actually encouraged in the past?",Yes,,
"Number two, let's look at history.",No,,
The Affordable Care Act extended the solvency of the Medicare Trust Fund.,Yes,,
The bill finally came out at the end of the 1999 session.,Yes,,
"And a year later, 9/11 happened.",Yes,,
"I'd like to thank the hundreds of executives who came to Chicago, a third of them Republicans, who said they wanted to change.",Yes,,
"The rest, as to whether the lands are going to be opened in the next five years or so - we're already five years behind in what we should be doing.",No,,
I would like to tell you something about me.,No,,
The deficit is the result of excessive government spending.,Yes,,
Who has the experience that we trust?,No,,
We had a war when we came into power in 1953.,Yes,,
And $13 trillion in family wealth was wiped out.,Yes,,
We've got to invest and grow.,No,,
"Now, maybe because he has praised Putin, maybe because he says he agrees with a lot of what Putin wants to do, maybe because he wants to do business in Moscow, I don't know the reasons.",Yes,,
"Number four, make sure we protect the integrity with the Medicare program and Medicaid program and not do anything in cutting costs which would cause hundreds of hospitals to close which could have been the case if the 270billion dollar Medicare cut that I vetoed, had been enacted in the law.",Yes,,
"And as President Kennedy said when he ran for president, he said, ""I'm not running to be a Catholic president.",Yes,,
And I worked with Democrats and Republicans to cut a trillion dollars out of our discretionary domestic budget.,Yes,,
We will not have open borders.,No,,
"As I said, we have made sure that millions of young people are able to get an education that they weren't able to get before.",Yes,,
"We cut taxes for middle-class families by about $3,600.",Yes,,
I thought we were talking about immigration.,No,,
"Now, there was a second phase in the Iranian affair in which we had something to do with that.",Yes,,
Those are the questions we need answered.,No,,
The President has not called for an unconditional end to the violence.,Yes,,
I think they may be using the man's own words.,No,,
President Obama has moved millions of people out.,Yes,,
"And, unfortunately, Governor Romney's budget and his proposals would not allow us to make those investments.",No,,
"First of all, what kind of mixed message does it send when you have $500 million going over to Iraq to put police officers in the streets of Iraq, and the president is cutting the COPS program in America?",Yes,,
We've got the plan announced for what we can do for small business.,No,,
"Our initial military success, we went in to Baghdad and everybody celebrated.",No,,
"I intend to be a leader of our country that people can count on, both here at home and around the world, to make decisions that will further peace and prosperity, but also stand up to bullies, whether they're abroad or at home.",No,,
"Yes, we shouldn't trade arms for hostages.",No,,
Because the 2% of the country that is involved in farming is important because the rest of us wouldn't eat except for them.,Yes,,
I'm standing here as proof that in America the possibilities are unlimited.,No,,
It is 1.3 trillion Mr. Vice President.,Yes,,
Obviously some people are going to need help.,No,,
I voted for IRA tax cuts.,Yes,,
But I was the one that got him to produce the birth certificate.,Yes,,
"And first let me say that our nation now needs to speak with one voice during this time, and I applaud the president for working hard to diffuse tensions.",No,,
And perhaps the biggest is world peace.,No,,
And we're making progress there.,Yes,,
Every one of these items that I have mentioned he's been wrong - dead wrong.,Yes,,
"And most of the time, I learn it by asking her.",No,,
But underlying that is loss of jobs and loss of income.,No,,
"Well, first, I love great schools.",No,,
"At the same time, gasoline prices have doubled under the president.",Yes,,
IÃ¢â‚¬â„¢m on record as saying at some point in time I hope our European friends become the peacekeepers in Bosnia and in the Balkans.,No,,
"And secondly, like my opponent, I don't agree we ought to have quotas.",No,,
Those gray-area weapons systems are creating some problems in a - the agreement for a SALT II negotiation.,Yes,,
"Libya's 6 million population; Egypt, 80 million population.",Yes,,
And let me tell you exactly what Obamacare did.,No,,
They get to choose -- and they'll have at least two plans that will be entirely at no cost to them.,No,,
